,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,,5202.000,,,11000.000,13300.000,12800.000,5500.000
AccountsPayableCurrent,315.000,315.000,315.000,0.000,0.000,,2070.000,1810.000,0.000,100.000,0.000,,,,,,,,
AdditionalPaidInCapital,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000,73687.000
Assets,12500.000,12500.000,12500.000,0.000,,,,,,,0.000,0.000,17841.000,0.000,443.000,498.000,352.000,232.000,387.000
AssetsCurrent,12500.000,12500.000,12500.000,0.000,0.000,,0.000,0.000,0.000,0.000,,,,,,,,,
AssetsNet,,,,-386857.000,,,,,,,,,,,,,,,
Cash,,,,,,,,,,,,,,,443.000,,,,
CashAndCashEquivalentsAtCarryingValue,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,,,,,443.000,498.000,352.000,232.000,387.000
CashFDICInsuredAmount,,,,,,,,,,,,250000.000,,,,250000.000,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000,393169.000
