,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AcceleratedShareRepurchasesSettlementPaymentOrReceipt,,,,50000000.000,,,,75000000.000,,,,,,,,,,,,,,
AccountsPayableCurrent,124228000.000,148427000.000,143203000.000,175550000.000,137979000.000,156146000.000,144064000.000,250588000.000,223843000.000,177646000.000,165110000.000,236018000.000,209219000.000,160086000.000,138123000.000,168633000.000,165336000.000,147209000.000,119148000.000,184010000.000,145387000.000,126654000.000
AccountsReceivableNetCurrent,21100000.000,21072000.000,22276000.000,41246000.000,43035000.000,47872000.000,44263000.000,58331000.000,56006000.000,60908000.000,58624000.000,50296000.000,56223000.000,44968000.000,32787000.000,48590000.000,36644000.000,33432000.000,23748000.000,38464000.000,31683000.000,25386000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,,,,,,,,,,,,21573000.000,18043000.000,16668000.000,16080000.000,17094000.000,15591000.000
AccruedIncomeTaxesCurrent,,,,2876000.000,,,,826000.000,,,,0.000,12798000.000,,,,17107000.000,267000.000,6526000.000,16000.000,20787000.000,13372000.000
AccruedInsuranceCurrent,,,,4172000.000,,,,8714000.000,,,,13379000.000,13411000.000,13259000.000,13682000.000,9615000.000,9852000.000,9906000.000,9745000.000,13594000.000,13783000.000,13549000.000
AccruedLiabilitiesCurrent,,,,,,,,146125000.000,,,,134127000.000,146775000.000,131044000.000,129873000.000,137126000.000,146921000.000,134566000.000,147908000.000,141437000.000,159782000.000,155347000.000
AccruedProfessionalFeesCurrent,,,,4816000.000,,,,4822000.000,,,,930000.000,6333000.000,4728000.000,3338000.000,,,,,,,
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,,,,,,,,,,100000.000,,,,,,,
AccruedRentCurrent,,,,3794000.000,,,,3191000.000,,,,5713000.000,5892000.000,5878000.000,5848000.000,6162000.000,3537000.000,3925000.000,1642000.000,1728000.000,1983000.000,2044000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,481721000.000,511000000.000,540366000.000,577578000.000,610597000.000,648016000.000,684946000.000,726175000.000,766613000.000,809984000.000,848296000.000,889376000.000,924342000.000,959742000.000,983449000.000,1008506000.000,1035994000.000,1060675000.000,1075532000.000,1098453000.000,1122597000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1656000.000,-1706000.000,-2538000.000,-2671000.000,-1944000.000,-2806000.000,-1329000.000,-1623000.000,-3537000.000,-3779000.000,-1927000.000,-767000.000,108000.000,-228000.000,-923000.000,-310000.000,2544000.000,3017000.000,1366000.000,374000.000,-175000.000,-1855000.000
AcquiredFiniteLivedIntangibleAssetAmount,,,,,,46960000.000,46960000.000,46960000.000,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,1048000.000,1193000.000,1160000.000,1586000.000,1863000.000,1764000.000,1373000.000,2003000.000,1874000.000,1591000.000,1525000.000,1826000.000,1710000.000,1493000.000,1700000.000,2223000.000,1128000.000,979000.000,816000.000,1272000.000,1015000.000,806000.000
AssetRetirementObligation,,7993000.000,8533000.000,8841000.000,9174000.000,13256000.000,13651000.000,14020000.000,13373000.000,12444000.000,12689000.000,13086000.000,13277000.000,13389000.000,13466000.000,13576000.000,12663000.000,9577000.000,9497000.000,9412000.000,9416000.000,9438000.000
AssetRetirementObligationCurrent,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
