,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,24851000.000,,,,27629000.000,,,,30194000.000,,,,31394000.000,,,,32941000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,4716000.000,5747000.000,5462000.000,5427000.000,5889000.000,6264000.000,5421000.000,4943000.000,-182000.000,-99000.000,-2217000.000,-170000.000,1034000.000,622000.000,2085000.000,3946000.000,1313000.000,3105000.000,632000.000,3946000.000,5450000.000,4441000.000,-1499000.000,-725000.000
AdditionalPaidInCapitalCommonStock,13810000.000,14121000.000,14599000.000,15959000.000,16452000.000,17046000.000,17731000.000,19118000.000,30328000.000,31618000.000,33255000.000,34614000.000,35242000.000,36711000.000,38191000.000,39352000.000,41213000.000,42217000.000,44180000.000,45733000.000,21962000.000,24050000.000,26682000.000,29002000.000
AdvancesFromFederalHomeLoanBanks,60437000.000,60434000.000,60431000.000,60428000.000,60426000.000,60423000.000,31882000.000,31872000.000,31859000.000,32422000.000,34329000.000,34288000.000,36067000.000,36919000.000,36832000.000,36744000.000,38855000.000,43699000.000,43468000.000,43236000.000,43002000.000,51366000.000,51075000.000,50755000.000
AllowanceForCreditLossesChangeInMethodOfCalculatingImpairment,,,,,,,,,,,,,,,,,,188000.000,177000.000,330000.000,319000.000,314000.000,207000.000,339000.000
Assets,1943384000.000,1987954000.000,2053097000.000,2040589000.000,2083628000.000,2102589000.000,2148262000.000,2121066000.000,2258600000.000,2289755000.000,2389262000.000,2354238000.000,2411375000.000,2407871000.000,2563868000.000,2512263000.000,2482687000.000,2624607000.000,2816801000.000,2824107000.000,2909519000.000,2938665000.000,3039481000.000,3033343000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,509276000.000,,,498633000.000,564391000.000,561906000.000,557735000.000,533872000.000,571936000.000,556947000.000
AvailableForSaleEquitySecuritiesAmortizedCostBasis,,,,,,,,,,,,756000.000,756000.000,756000.000,756000.000,756000.000,756000.000,756000.000,653000.000,653000.000,653000.000,653000.000,653000.000,653000.000
AvailableForSaleSecurities,258280000.000,286985000.000,352185000.000,348699000.000,333143000.000,360946000.000,386440000.000,362904000.000,402807000.000,401063000.000,490031000.000,440184000.000,414490000.000,449572000.000,513056000.000,471702000.000,412866000.000,504366000.000,565876000.000,569012000.000,567307000.000,541681000.000,570074000.000,556144000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,4924000.000,5829000.000,7726000.000,4850000.000,6792000.000,3954000.000,7721000.000,9789000.000,8131000.000,2264000.000,2508000.000
