,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsReceivableNet,424397.000,497368.000,263469.000,252898.000,281686.000,226030.000,288014.000
AccountsReceivableNetCurrent,,,,,258426.000,16919.000,95587.000
AccruedIncomeTaxesCurrent,256894.000,293391.000,221212.000,175441.000,682891.000,525361.000,580540.000
AccruedLiabilitiesCurrent,511292.000,469158.000,454868.000,446731.000,545305.000,999363.000,1260058.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,227274.000,102865.000,107050.000,113988.000,118802.000,-416631.000,-486834.000
AcquisitionCostsCumulative,750929.000,750929.000,,,,,
AdditionalPaidInCapital,9560267.000,10079926.000,10765877.000,10803077.000,13166171.000,14169062.000,14187181.000
AllowanceForDoubtfulAccountsReceivable,,,390490.000,408340.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,388134.000,392245.000
AllowanceForDoubtfulAccountsReceivableNoncurrent,750929.000,750929.000,,,,,
Assets,4109904.000,3980650.000,3629837.000,3382729.000,7147865.000,7431077.000,7049879.000
AssetsCurrent,1085628.000,1095149.000,772045.000,626655.000,2594396.000,2793697.000,2492222.000
AssetsNoncurrent,3024276.000,2885501.000,2857792.000,2756074.000,4553469.000,4637380.000,4557657.000
AvailableForSaleSecuritiesCurrent,224460.000,225120.000,,,,,
BusinessCombinationContingentConsiderationLiabilityCurrent,422811.000,344434.000,219378.000,131931.000,133021.000,125375.000,126703.000
CashAndCashEquivalentsAtCarryingValue,142591.000,143196.000,178188.000,121130.000,1678671.000,2230422.000,1829153.000
CashFDICInsuredAmount,,,,,,250000.000,250000.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000
CommonStockSharesIssued,23264800.000,23758650.000,24336473.000,24376473.000,30428173.000,37009295.000,37009295.000
CommonStockSharesOutstanding,23264800.000,23758650.000,24336473.000,24376473.000,30428173.000,37009295.000,37009295.000
CommonStockValue,2327.000,2376.000,2434.000,2438.000,3043.000,3701.000,3701.000
ConvertibleDebtCurrent,246663.000,294179.000,137612.000,240931.000,428724.000,616517.000,889181.000
DebtInstrumentFaceAmount,,,192706.000,292136.000,461026.000,629914.000,902736.000
DebtInstrumentUnamortizedDiscount,,106976.000,-55094.000,-51205.000,-32302.000,-13397.000,-13555.000
DebtInstrumentUnamortizedPremium,,,390490.000,408430.000,411807.000,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,3276183.000,3377995.000,3584959.000,3949432.000,4106025.000
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,22606.000,2122.000,11874.000,145497.000
DerivativeLiabilitiesCurrent,69997.000,85611.000,464843.000,269415.000,346510.000,211262.000,152105.000
DueToRelatedPartiesCurrent,133012.000,54901.000,55662.000,318078.000,358470.000,318078.000,318078.000
EquityMethodInvestments,,,,,,882188.000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,-638429.000,-756190.000,-869373.000,-968344.000,-1079428.000
FiniteLivedIntangibleAssetsGross,,,2897583.000,2895511.000,4665805.000,4659322.000,4660448.000
Goodwill,260318.000,260318.000,260318.000,260318.000,260318.000,260318.000,260318.000
IntangibleAssetsNetExcludingGoodwill,2634119.000,2499072.000,2259154.000,2139321.000,3796432.000,3690978.000,3581020.000
Investments,37426.000,37536.000,6975.000,6848.000,6905.000,6508.000,91.000
Liabilities,2317706.000,2260278.000,2532160.000,2415345.000,3775853.000,4938449.000,5451453.000
LiabilitiesAndStockholdersEquity,4109904.000,3980650.000,3629837.000,3382729.000,7147865.000,7431077.000,7049879.000
LiabilitiesCurrent,2271673.000,2214110.000,2462237.000,2332867.000,3196243.000,4196260.000,4723809.000
LiabilitiesFairValueDisclosure,,,464843.000,269415.000,346510.000,211262.000,152104.000
LinesOfCreditCurrent,95483.000,212319.000,242063.000,289614.000,11128.000,726.000,61322.000
LoansPayableToBank,,,,,489296.000,426610.000,386732.000
LoansPayableToBankCurrent,,,,,71704.000,102140.000,122245.000
LongTermDebt,46033.000,46168.000,69923.000,82478.000,90314.000,315579.000,340912.000
NotesPayableCurrent,270855.000,111780.000,392573.000,115980.000,114045.000,111285.000,112515.000
OperatingLossCarryforwards,8000000.000,8400000.000,9300000.000,9700000.000,10400000.000,10400000.000,11700000.000
OperatingLossCarryforwardsValuationAllowance,,,-3276183.000,-3400601.000,-3587081.000,-3961306.000,-4251522.000
OtherAssetsCurrent,179228.000,46323.000,35380.000,30944.000,238652.000,228749.000,219141.000
OtherLiabilitiesCurrent,3991.000,7265.000,,,,7376.000,
PreferredStockParOrStatedValuePerShare,0.000,0.000,,,,,
PreferredStockSharesAuthorized,20000000.000,20000000.000,,,,,
PrepaidExpenseCurrent,114952.000,183142.000,295008.000,221683.000,136961.000,91577.000,60327.000
PropertyPlantAndEquipmentNet,92413.000,88575.000,90844.000,85710.000,153108.000,203660.000,235311.000
RestrictedCashAndInvestmentsNoncurrent,,,240501.000,263877.000,336706.000,475916.000,480917.000
RetainedEarningsAccumulatedDeficit,-7997670.000,-8464795.000,-9777684.000,-9952119.000,-9916004.000,-11263504.000,-12105622.000
StockholdersEquity,1792198.000,1720372.000,1097677.000,967384.000,3372012.000,2492628.000,1598426.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1792198.000,1720372.000,1097677.000,967384.000,3372012.000,2492628.000,1598426.000
