,2011-06-30,2011-09-29,2011-12-29,2012-03-29,2012-06-28,2012-09-27,2012-12-27,2013-03-28,2013-06-27,2013-09-26,2013-12-26,2014-03-27,2014-06-26,2014-09-25,2015-01-01,2015-03-31
AccountsPayableCurrent,10400000.000,6400000.000,9600000.000,8100000.000,5800000.000,4700000.000,5100000.000,4300000.000,9700000.000,4800000.000,8200000.000,8600000.000,3800000.000,7800000.000,10100000.000,7600000.000
AccruedLiabilitiesCurrent,5200000.000,4000000.000,4000000.000,3300000.000,3900000.000,3400000.000,6300000.000,5500000.000,6700000.000,6700000.000,7400000.000,5700000.000,6600000.000,5900000.000,6400000.000,5600000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,92500000.000,93600000.000,91900000.000,88300000.000,83200000.000,82200000.000,74200000.000,76100000.000,74900000.000,76600000.000,78200000.000,79400000.000,80800000.000,82300000.000,80700000.000,82500000.000
AdditionalPaidInCapitalCommonStock,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000,93200000.000
Assets,108300000.000,105100000.000,110700000.000,108800000.000,108200000.000,104300000.000,108100000.000,112500000.000,121000000.000,123100000.000,128200000.000,129100000.000,130800000.000,137500000.000,151300000.000,152600000.000
AssetsCurrent,55600000.000,53200000.000,60900000.000,59800000.000,60100000.000,56400000.000,59500000.000,60700000.000,71200000.000,74400000.000,79900000.000,81600000.000,83600000.000,90700000.000,100600000.000,104000000.000
BorrowedFunds,,,,,1100000.000,1000000.000,1100000.000,1000000.000,900000.000,900000.000,800000.000,700000.000,600000.000,600000.000,,
CapitalLeaseObligations,,,,,1100000.000,1000000.000,1100000.000,1000000.000,900000.000,900000.000,800000.000,700000.000,600000.000,600000.000,500000.000,400000.000
CashAndCashEquivalentsAtCarryingValue,53000000.000,47400000.000,54800000.000,50900000.000,56200000.000,50100000.000,54700000.000,51100000.000,66900000.000,67000000.000,75000000.000,74400000.000,79100000.000,82900000.000,96200000.000,98400000.000
CommonStockParOrStatedValuePerShare,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
CommonStockSharesAuthorized,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesIssued,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
CommonStockSharesOutstanding,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
CommonStockValue,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DebtAndCapitalLeaseObligations,,,,,,,,,,,,,,,500000.000,400000.000
DebtCurrent,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,300000.000,300000.000,300000.000,300000.000,300000.000,300000.000,300000.000,300000.000,300000.000,300000.000
DebtInstrumentInterestRateStatedPercentage,,,,,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,50300000.000,
DeferredRevenueNoncurrent,24600000.000,24500000.000,24400000.000,24400000.000,24300000.000,24100000.000,24100000.000,23900000.000,23700000.000,23500000.000,23400000.000,23200000.000,23000000.000,22800000.000,22700000.000,22500000.000
DeferredTaxAssetsDeferredIncome,,,,,,,9600000.000,,,,9500000.000,,,,9300000.000,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,,,,,,,,10800000.000,
DeferredTaxAssetsGross,,,,,,,36800000.000,,,,34300000.000,,,,30000000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,-21800000.000,,,,-21200000.000,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,2000000.000,1200000.000,,2300000.000,2100000.000,2100000.000,,2000000.000,2000000.000,2000000.000,,2100000.000
DeferredTaxAssetsNet,,,,,,,34400000.000,,,,31900000.000,,,,27900000.000,
DeferredTaxAssetsNetCurrent,400000.000,400000.000,3700000.000,3500000.000,,,2300000.000,,,,2000000.000,,,,2100000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,11600000.000,,,,9800000.000,,,,7700000.000,
DeferredTaxAssetsOther,,,,,,,1400000.000,,,,1400000.000,,,,2200000.000,
DeferredTaxAssetsValuationAllowance,,,,,2600000.000,2600000.000,2400000.000,2400000.000,2400000.000,2400000.000,2400000.000,2400000.000,2400000.000,2400000.000,2100000.000,2100000.000
DeferredTaxLiabilities,,,,,,,56200000.000,,,,53100000.000,,,,22400000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,,27900000.000,,,,28000000.000,,,,28000000.000,
DeferredTaxLiabilitiesNoncurrent,19900000.000,19300000.000,22900000.000,22600000.000,21400000.000,20400000.000,24100000.000,24000000.000,23900000.000,23400000.000,23200000.000,23200000.000,23200000.000,22900000.000,24500000.000,24100000.000
DeferredTaxLiabilitiesOther,,,,,,,1900000.000,,,,2400000.000,,,,100000.000,
DeferredTaxLiabilitiesTaxDeferredIncome,,,,,,,,,,,,,,,3000000.000,
DueFromRelatedParties,85400000.000,86200000.000,87100000.000,88900000.000,89000000.000,93400000.000,95600000.000,93000000.000,93300000.000,89300000.000,89100000.000,88000000.000,84000000.000,84300000.000,78500000.000,76900000.000
Goodwill,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000,7100000.000
