,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,22998.000,,,,38052.000
AmortizationOfIntangibleAssets,,,,,,,,,,,46257.000,,,,46257.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,1973219.000,,,,-3282975.000,,,,13705.000,,,,-2327963.000
ComprehensiveIncomeNetOfTax,,,-53537.000,515718.000,631264.000,43261.000,34219.000,-113514.000,458221.000,358006.000,-615508.000,210545.000,91651.000,644912.000,-749085.000
CostOfRevenue,2468422.000,3098989.000,2310589.000,4027666.000,4080121.000,4794057.000,3808969.000,3987068.000,4247587.000,4380503.000,3337551.000,4689578.000,3879341.000,4008258.000,3173231.000
DeferredIncomeTaxExpenseBenefit,,,-12000.000,,,,23000.000,,,,-373877.000,,,,-426768.000
DeferredTaxExpenseFromStockOptionsExercised,,,,,,,,,,,0.000,,,,
Depreciation,,,,,,,,,,,113562.000,,,,135630.000
DepreciationAndAmortization,,,99182.000,,,,129925.000,,,,,,,,
EarningsPerShareBasic,0.000,0.120,-0.020,0.120,0.130,0.010,0.010,-0.010,0.100,0.060,-0.120,0.040,0.020,0.160,-0.140
EarningsPerShareDiluted,0.000,0.110,-0.020,0.110,0.120,0.020,0.010,-0.010,0.100,0.060,-0.120,0.040,0.020,0.150,-0.140
EffectOfExchangeRateOnCashAndCashEquivalents,,,35621.000,,,,4017.000,,,,-28032.000,,,,-14009.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,3093.000,,,,12996.000,,,,0.000,,,,
GrossProfit,1380086.000,2316241.000,1426592.000,2776502.000,3198878.000,2615114.000,2646141.000,2356172.000,2877004.000,2904860.000,1561794.000,2925962.000,2679040.000,3161874.000,1329347.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-48372.000,848000.000,-120109.000,816670.000,939395.000,-204156.000,45202.000,-81170.000,676975.000,626882.000,-964131.000,303242.000,196275.000,861391.000,-1157228.000
IncomeTaxExpenseBenefit,-27000.000,307000.000,-44000.000,265000.000,314000.000,-246000.000,15000.000,-28000.000,190000.000,294984.000,-376655.000,97477.000,78501.000,112546.000,-422152.000
IncreaseDecreaseInAccountsPayable,,,105867.000,,,,-60198.000,,,,192051.000,,,,-323379.000
IncreaseDecreaseInAccountsReceivable,,,,,,,1448011.000,,,,-200513.000,,,,171993.000
