,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-49887000.000,-31970000.000,-16977000.000,-21105000.000,-29048000.000
AdjustmentForAmortization,32067000.000,29635000.000,26798000.000,24184000.000,
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,-400000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,376000.000,,,,
AdvertisingExpense,,,8937000.000,11225000.000,10938000.000
AllocatedShareBasedCompensationExpense,,13100000.000,14000000.000,12900000.000,14300000.000
AmortizationOfIntangibleAssets,32067000.000,29470000.000,26797000.000,24184000.000,19781000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,449377.000,916756.000,621327.000,798623.000,572512.000
AssetImpairmentCharges,0.000,0.000,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,1552000.000,105000.000,,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,2000000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,200000.000
BankOwnedLifeInsuranceIncome,12807000.000,11223000.000,11774000.000,9789000.000,13596000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,10544000.000,-100051000.000,8015000.000,-52581000.000,68815000.000
CashFlowHedgeGainLossReclassifiedToInterestExpenseNet,300000.000,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,20271000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsToFromNonaccretableDifference,,,,,10135000.000
CommonStockDividendsPerShareCashPaid,,,,,0.960
CommonStockDividendsPerShareDeclared,0.960,0.960,0.960,0.960,
Communication,,,,,13146000.000
CommunicationsAndInformationTechnology,49935000.000,48367000.000,51369000.000,55590000.000,
ComprehensiveIncomeNetOfTax,155327000.000,150902000.000,161027000.000,100940000.000,109359000.000
CostOfGoodsAndServicesSoldDepreciationAndAmortization,32856000.000,32063000.000,30310000.000,28763000.000,
CurrentFederalTaxExpenseBenefit,11195000.000,14797000.000,41441000.000,17378000.000,43777000.000
CurrentIncomeTaxExpenseBenefit,13148000.000,11590000.000,42928000.000,21619000.000,45466000.000
CurrentStateAndLocalTaxExpenseBenefit,1953000.000,-3207000.000,1487000.000,4241000.000,1689000.000
DebtInstrumentIncreaseAdditionalBorrowings,50000000.000,,,,
DebtInstrumentPeriodicPaymentPrincipal,8800000.000,,,,
DeferredFederalIncomeTaxExpenseBenefit,34219000.000,37403000.000,21483000.000,15457000.000,-6127000.000
DeferredIncomeTaxExpenseBenefit,32465000.000,40920000.000,23537000.000,16685000.000,-7839000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,-1754000.000,3517000.000,2054000.000,1228000.000,-1712000.000
