,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccrualForEnvironmentalLossContingenciesPeriodIncreaseDecrease,,2500000.000,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-2200000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1400000.000,,,,2500000.000,,,,2600000.000,,,,2000000.000,,,,2100000.000,,,,2600000.000,,,,3000000.000,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,1300000.000,,,,800000.000,,,,700000.000,,,,1000000.000,,,,,,,,,
AllocatedShareBasedCompensationExpense,,1200000.000,1200000.000,,2500000.000,1100000.000,1600000.000,400000.000,2600000.000,1900000.000,1400000.000,700000.000,2000000.000,2300000.000,900000.000,1600000.000,2100000.000,2400000.000,2200000.000,2600000.000,2600000.000,3000000.000,3100000.000,3000000.000,3000000.000,3400000.000
AmortizationOfFinancingCostsAndDiscounts,1900000.000,,,,2300000.000,,,,2700000.000,,,,2900000.000,,,,3200000.000,,,,300000.000,,,,300000.000,
AmortizationOfIntangibleAssets,600000.000,,,,,,400000.000,,400000.000,,,,400000.000,,,,400000.000,,,,400000.000,,,,400000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,840000.000,0.000,0.000,101000.000,50000.000,2000.000,3000.000,-5000.000,66000.000,55000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,,,,,500000.000,,300000.000,,200000.000,200000.000,0.000,,300000.000,200000.000,0.000,,0.000,300000.000,100000.000,,700000.000,700000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,0.240,,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,0.240,,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,4500000.000,,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,338800000.000,,,,,,,,,,,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,1800000.000,,,,2700000.000,,,,3400000.000,,,,1300000.000,,,,2000000.000,,,,3700000.000,
CapitalLeaseObligationsIncurred,,,,,,,,,100000.000,,,,0.000,,,,,,,,,,,,,
CashAcquiredFromAcquisition,4900000.000,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-79700000.000,,,,27500000.000,,,,-25400000.000,,,,16100000.000,,,,43200000.000,,,,-1800000.000,,,,,
CashDividendsPaidToParentCompany,,,,,,,,,,,,,,,,,,,,,0.000,,,,,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,,,,,,,,,,,,,,,0.000,,,,100000.000,
CommonStockDividendsPerShareCashPaid,,,,,0.250,0.250,0.250,0.250,0.300,0.300,0.300,0.300,0.350,0.350,,,0.400,,,,0.450,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,,,,,,,0.400,,0.450,0.450,0.450,0.450,0.500,0.500
ComprehensiveIncomeNetOfTax,11000000.000,,,,27600000.000,22500000.000,30100000.000,64600000.000,34700000.000,19900000.000,26000000.000,29500000.000,16700000.000,26600000.000,17200000.000,-64100000.000,-225300000.000,20600000.000,22200000.000,10300000.000,27200000.000,26900000.000,16000000.000,16600000.000,37300000.000,5800000.000
