,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31
AccountsPayableAndAccruedLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,,,,,20000.000
AccountsPayableCurrent,556421.000,5479951.000,3434079.000,4769028.000,27860573.000,14117258.000,37042949.000,18512000.000,35098000.000,49275000.000,53066000.000,30499000.000,72849000.000,101752000.000,,,,,,,,
AccountsReceivableNetCurrent,,,3929465.000,2988672.000,26683171.000,26827223.000,28541209.000,37978000.000,38815000.000,71436000.000,84973000.000,85128000.000,122382000.000,166668000.000,,,,,,,,
AccruedLiabilitiesCurrent,1960759.000,7745658.000,,,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,85122.000,166460.000,644065.000,1911025.000,1618202.000,4713000.000,,,12799000.000,,,,35189000.000,44998000.000,54121000.000,10488000.000,14939000.000,15229000.000,17961000.000,7788000.000
AdditionalPaidInCapitalCommonStock,309979889.000,312050475.000,314199952.000,315714469.000,317189954.000,318981413.000,323641545.000,380302000.000,381924000.000,569523000.000,571702000.000,572551000.000,572933000.000,535739000.000,545017000.000,547488000.000,551236000.000,554018000.000,557757000.000,559527000.000,562253000.000,563517000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,0.000,,,,,,,,,,,
AssetRetirementObligation,,,,,1574646.000,1852395.000,3422350.000,3177000.000,3047000.000,4546000.000,4629000.000,4824000.000,,,8578000.000,,,,10073000.000,,,
AssetRetirementObligationCurrent,,1732121.000,1539872.000,1547609.000,1448790.000,1448790.000,2948790.000,2783000.000,2464000.000,2465000.000,3333000.000,3400000.000,3400000.000,3457000.000,5391000.000,,,,560000.000,,,
AssetRetirementObligationsNoncurrent,1508889.000,77893.000,83418.000,81421.000,125856.000,403605.000,473560.000,394000.000,583000.000,2081000.000,1296000.000,1424000.000,2374000.000,2878000.000,3187000.000,,,,9513000.000,,,
Assets,222824751.000,237765768.000,230586704.000,231163837.000,384671352.000,382608439.000,428320866.000,540579000.000,616915000.000,889088000.000,1027584000.000,1142521000.000,1408454000.000,1550371000.000,1654870000.000,1397773000.000,1209957000.000,850458000.000,753148000.000,741416000.000,154562000.000,55657000.000
AssetsCurrent,111519848.000,99209004.000,79546724.000,45108578.000,149681755.000,82633393.000,81212427.000,114956000.000,119824000.000,205817000.000,194881000.000,219162000.000,264651000.000,278464000.000,309509000.000,210499000.000,197653000.000,116740000.000,191487000.000,269005000.000,55308000.000,19139000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,,,,,,,,,2782000.000
AvailableForSaleEquitySecuritiesAmortizedCostBasis,,,,,,,,4900000.000,4600000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesEquitySecuritiesCurrent,,,,,,,,5473955.000,5800000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGainLoss,,,,,,,204000.000,408631.000,,,,,,,,,,,,,,
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,0.167,,,,,,,,,,,,,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,16666001.000,,,,67657000.000,,,,,,,,,,,
CapitalizedCostsOilAndGasProducingActivitiesGross,,,,,212085590.000,262486314.000,313701452.000,378296000.000,,,750444000.000,,,,,,,,,,,
CapitalizedCostsOilAndGasProducingActivitiesNet,107462664.000,127317098.000,,,,,297035451.000,,,,682787000.000,,,,,,,,,,,
CapitalizedCostsProvedProperties,,,33172419.000,39924357.000,107054256.000,150409697.000,219172577.000,281276000.000,367648000.000,510712000.000,629051000.000,723445000.000,924419000.000,1054382000.000,1153584000.000,1239328000.000,1302145000.000,1332121000.000,1372480000.000,1385852000.000,,
CapitalizedCostsUnprovedProperties,,,111716360.000,127645929.000,105031334.000,112076617.000,94528875.000,97020000.000,84773000.000,131428000.000,121393000.000,114909000.000,144023000.000,150652000.000,142896000.000,124518000.000,112918000.000,107226000.000,78367000.000,77238000.000,,
Cash,110661161.000,93861258.000,69567674.000,34141379.000,116357033.000,45035443.000,33116535.000,54448000.000,49380000.000,100163000.000,81750000.000,105282000.000,107527000.000,53236000.000,67871000.000,50277000.000,45870000.000,36250000.000,115769000.000,197648000.000,30296000.000,
CashAndCashEquivalentsAtCarryingValue,,,,,,,,54448000.000,49380000.000,100163000.000,81750000.000,105282000.000,107527000.000,53236000.000,67871000.000,50277000.000,45870000.000,36250000.000,115769000.000,197648000.000,30296000.000,10751000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,,,,,,,,106400000.000,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,70000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000,140000000.000
