,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,467000.000,,330000.000,,,,-1104000.000,,,,-185000.000,,,,-898000.000,,,,-83000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,31000.000,,32000.000,,,,73000.000,,,,20000.000,,,,7000.000,,,,57000.000
AllowanceForDoubtfulAccountsReceivableChargeOffs,,,,2252000.000,2062000.000,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,,,4933000.000,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,73000.000,,,347000.000,757000.000,915000.000,1571000.000,457000.000,403000.000,252000.000,477000.000,,,,,
AllowanceForLoanAndLeaseLossesLoansAcquired,,,,,,,,,1590000.000,1141000.000,-2549000.000,-459000.000,,,,,,,,,
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,1916000.000,1142000.000,,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,361000.000,697000.000,,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,2613000.000,2759000.000,5006000.000,,,2216000.000,1785000.000,1118000.000,1362000.000,1578000.000,673000.000,689000.000,805000.000,1141000.000,691000.000,772000.000,2572000.000,357000.000
AllowanceForLoanAndLeaseLossesWriteoffsNet,,,,,,,,,1869000.000,1028000.000,203000.000,-209000.000,1121000.000,270000.000,437000.000,328000.000,962000.000,80000.000,312000.000,2185000.000,-18000.000
AmortizationOfFinancingCosts,,,,,,,,,,,3047000.000,,,1702000.000,,,,,,,
AmortizationOfIntangibleAssets,261000.000,250000.000,233000.000,191000.000,179000.000,183000.000,183000.000,184000.000,175000.000,178000.000,179000.000,255000.000,277000.000,279000.000,281000.000,281000.000,278000.000,277000.000,316000.000,265000.000,261000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,255244.000,,,,,,148344.000,130165.000,127789.000,-295427.000,53022.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,315000.000,155000.000,152000.000,,,223000.000,1288000.000,746000.000,0.000,15000.000,251000.000,26000.000,71000.000,132000.000,9000.000,203000.000,413000.000,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,87000.000,38000.000,39000.000,39000.000,38000.000,178000.000,1347000.000,426000.000,1691000.000,38000.000,38000.000,65000.000,78000.000,131000.000,88000.000,178000.000,25000.000,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,,,,,,,,0.000,,,,,,
BusinessCombinationIntegrationRelatedCosts,,,163000.000,645000.000,49000.000,8000.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,62318000.000,,22194000.000,,,,22435000.000,,,,-30636000.000,,,,-12200000.000,,,,76544000.000
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldDisposalsOfLoans,,,,,1122000.000,,,,279000.000,,,,1174000.000,,,,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,1812000.000,,,,2137000.000,,,,2232000.000,,,,1943000.000,,,,1565000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,,,,,73000.000,,,,8000.000,,,,2000.000,,,,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,,,,-10134000.000,,,,9325000.000,,,,,,,,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsToFromNonaccretableDifference,,,,,,,,,,,,,3551000.000,,,,-493000.000,,,,1879000.000
CommonStockDividendsPerShareCashPaid,0.100,0.100,0.100,0.110,0.120,0.120,0.120,0.120,0.120,0.120,0.130,0.130,,,,,,,,,
CommonStockDividendsPerShareDeclared,,,0.100,,0.120,,,,0.120,,,,0.130,0.130,0.140,0.140,0.140,0.140,0.160,0.160,0.160
ComprehensiveIncomeNetOfTax,,,6434000.000,12418000.000,6046000.000,-3723000.000,4745000.000,3329000.000,9778000.000,10957000.000,7332000.000,6558000.000,6972000.000,4568000.000,8719000.000,4639000.000,5598000.000,8971000.000,9770000.000,4023000.000,6732000.000
DepreciationNonproduction,,,937000.000,,1227000.000,,,,1105000.000,,,,1056000.000,,,,937000.000,,,,874000.000
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,,,28000.000,27000.000,31000.000,30000.000,22000.000
DividendsCommonStockCash,,,1786000.000,,2407000.000,,,,2208000.000,,,,2403000.000,,,,2508000.000,,,,2719000.000
DividendsPreferredStockCash,,,283000.000,,258000.000,,,,228000.000,,,,105000.000,,,,,,,,
