,2011-06-30,2012-06-30,2013-06-30,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,638.000,,,,
CashAcquiredFromAcquisition,,,,9530.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,62180.000,-39105.000,-3532.000,881565.000,-883591.000,-11315.000,5141.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,79529.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,-67765.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,-875294.000,
CostOfGoodsAndServicesSold,,,,1210802.000,,,
CostOfGoodsSoldAmortization,,,,245761.000,,,
CostOfGoodsSoldDirectLabor,,,,54401.000,,,
CostOfGoodsSoldDirectMaterials,,,,889551.000,,,
CostsIncurredExplorationCosts,4598.000,2850.000,,,,,
DebtConversionConvertedInstrumentSharesIssued1,,,,100310000.000,,,
DeferredForeignIncomeTaxExpenseBenefit,,0.000,,,,,
DeferredOtherTaxExpenseBenefit,,,,223000.000,517000.000,417000.000,135000.000
Depreciation,,,,,1783.000,1574.000,1102.000
DepreciationAndAmortization,76.000,47.000,352.000,245761.000,1783.000,1574.000,1102.000
DiscontinuedOperationAmountOfContinuingCashFlowsAfterDisposal,,,,,-67765.000,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,343498.000,,
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,,,102668.000,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,-617284.000,,
EarningsPerShareBasicAndDiluted,,,,,-0.020,-0.010,0.000
EffectiveIncomeTaxRateContinuingOperations,,0.340,0.340,,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,,0.260,0.340,0.340,0.340
ExplorationCosts,,2850.000,,,,,
ExplorationExpense,,,,,,7411.000,70600.000
ForeignCurrencyTransactionGainLossBeforeTax,,,,523904.000,19142.000,,10863.000
GeneralAndAdministrativeExpense,1710.000,1139.000,1255.000,143797.000,217089.000,47681.000,37298.000
GrossProfit,,,,-451766.000,,,
IncomeLossFromContinuingOperations,,,,,-1779495.000,-883032.000,-439563.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.010,-0.000,-0.010,-0.040,-0.020,-0.010,0.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,-385125.000,7738.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,0.000,0.000,
IncomeTaxReconciliationNondeductibleExpenseOther,,,,126000.000,208000.000,-116000.000,-5000.000
IncreaseDecreaseInAccountsPayable,,,,-94445.000,-23365.000,-42269.000,34712.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,834.000,-9001.000,28480.000,,,,
IncreaseDecreaseInAccountsReceivable,,,,25831.000,63826.000,,
IncreaseDecreaseInDeposits,10334.000,1202.000,19544.000,,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,3756.000,-3587.000,-169.000,,,,
IncreaseDecreaseInIncomeTaxesReceivable,,-8200.000,-26678.000,,,,
IncreaseDecreaseInInterestPayableNet,,,,-130431.000,,,
IncreaseDecreaseInOtherLoans,,,,-97064.000,,,
IncreaseDecreaseInPrepaidExpense,,2500.000,-1505.000,6391.000,-39296.000,-3648.000,3792.000
IncreaseDecreaseInRoyaltiesPayable,,,,17204.000,-8470.000,-1361.000,-1406.000
IncreaseDecreaseInTimeDeposits,51846.000,21873.000,,,,,
InterestAndOtherIncome,33.000,27.000,1.000,,,,
InterestExpense,,,,202499.000,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,45249.000,,,115423.000,,,
LaborAndRelatedExpense,,,,11814.000,,,
LiabilitiesAssumed1,,,,104681.000,,,
NetCashProvidedByUsedInFinancingActivities,4506.000,-3587.000,44831.000,1606868.000,34734.000,271509.000,461837.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,4506.000,-3587.000,44831.000,1606868.000,34734.000,271509.000,461837.000
NetCashProvidedByUsedInInvestingActivities,,,-925.000,7362.000,-76989.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-925.000,7362.000,-156518.000,,
NetCashProvidedByUsedInOperatingActivities,-31907.000,35518.000,47437.000,-732665.000,-841336.000,-282824.000,-456696.000
