,2014-09-30,2015-09-30,2016-12-31
AdvertisingExpense,56882.000,7919.000,
AmortizationOfIntangibleAssets,,,7527.000
CashAndCashEquivalentsPeriodIncreaseDecrease,29669.000,-32349.000,-88279.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-1693337.000
CostOfGoodsAndServicesSold,,,992736.000
CostOfRevenue,23132.000,9936.000,
CurrentFederalTaxExpenseBenefit,-25487.000,,
CurrentIncomeTaxExpenseBenefit,,,267353.000
DebtInstrumentDecreaseForgiveness,,,339622.000
Depreciation,,,1006113.000
DepreciationDepletionAndAmortization,,,1013640.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,2557.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,0.340,
EquityIssuancePerShareAmount,0.010,,
GrossProfit,22344.000,12374.000,1241679.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-1019111.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,25487.000,20994.000,-267353.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-20994.000,
IncreaseDecreaseInAccountsPayable,4501.000,599.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,4554748.000
IncreaseDecreaseInAccountsReceivable,,,-62118.000
IncreaseDecreaseInAccruedTaxesPayable,,,-42074.000
IncreaseDecreaseInCustomerAdvancesAndDeposits,,2665.000,
IncreaseDecreaseInInterestPayableNet,,,1023238.000
IncreaseDecreaseInOtherDeposits,,,-43692.000
IncreaseDecreaseInOtherOperatingLiabilities,,,-1107263.000
IncreaseDecreaseInOtherReceivables,-3720.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,9610.000,
IncreaseDecreaseInPrepaidExpense,3850.000,,
IncreaseDecreaseInPrepaidExpensesOther,,,10643637.000
InterestCostsCapitalized,,,208902.000
InterestExpense,,,1088952.000
InterestIncomeExpenseNet,,,1088952.000
InterestPaid,,,65715.000
NetCashProvidedByUsedInFinancingActivities,100000.000,,12320831.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,100000.000,,12320831.000
NetCashProvidedByUsedInInvestingActivities,,,-6209634.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-6209634.000
NetCashProvidedByUsedInOperatingActivities,-70331.000,-32349.000,-6202033.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-70331.000,-32349.000,-6202033.000
NetIncomeLoss,-74962.000,-61748.000,-1019111.000
NonoperatingIncomeExpense,,,-1646390.000
OperatingExpenses,97306.000,74122.000,614400.000
OperatingIncomeLoss,-74962.000,-61748.000,627279.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,-674226.000
OtherComprehensiveIncomeLossNetOfTax,,,-674226.000
OtherNonoperatingIncomeExpense,,,-419.000
PaymentsForAdvanceToAffiliate,,,1651710.000
PaymentsToAcquirePropertyPlantAndEquipment,,,4855924.000
ProceedsFromCollectionOfAdvanceToAffiliate,,,298000.000
ProceedsFromIssuanceOfCommonStock,70000.000,,
ProceedsFromLoans,,,4516374.000
ProceedsFromRelatedPartyDebt,30000.000,,9309915.000
ProfessionalFees,24092.000,49381.000,157131.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,32821.000,
RepaymentsOfDebt,,,1505458.000
Revenues,45476.000,22310.000,2234415.000
SalariesWagesAndOfficersCompensation,,,172500.000
SalesRevenueNet,45476.000,22310.000,2234415.000
SellingGeneralAndAdministrativeExpense,73214.000,24741.000,457269.000
StockIssuedDuringPeriodValueIssuedForCash,70000.000,,
StockholdersEquityNoteStockSplitConversionRatio1,,20.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,15649240.000,340000000.000,340000000.000
