,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-11-30,2016-02-29,2017-02-28
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,28855.000,33396.000,73097.000
CashAndCashEquivalentsPeriodIncreaseDecrease,23.000,,,,-35.000,,,8190.000,,,,,,
CostsAndExpenses,,,,,,,,,34328.000,52273.000,,80015.000,108214.000,144648.000
CurrentFederalTaxExpenseBenefit,,,,,,,0.000,0.000,,,,0.000,0.000,0.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,6000.000,,0.000,,,,,,,
EarningsPerShareBasicAndDiluted,-0.750,0.000,0.000,0.140,-0.000,-0.000,0.000,0.000,,,,-0.000,-0.010,-0.000
EntityWideRevenueMajorCustomerPercentage,,,,,1.000,,,,,,,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,,,,,,,,,-205601.000,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInOtherComprehensiveIncomeLoss,,,,,,,,,,,,-854.000,,
GainsLossesOnExtinguishmentOfDebt,,,,,,-2926.000,25802.000,,,,,,,
GeneralAndAdministrativeExpense,606.000,598.000,599.000,767.000,616.000,622.000,616.000,18951.000,,,,,,
IncomeLossFromContinuingOperations,,,,,,,,,-34228.000,-51706.000,,-79967.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,-19590.000,-78468.000,-52978.000,-70456.000,-441861.000,-119782.000,-517856.000,-248612.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-11439034.000,-40016.000,-11322.000,-37496.000,-48681.000,-44017.000,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,-0.000,-0.000,,,,
IncomeTaxExpenseBenefit,0.000,0.000,0.000,0.000,,,,,,,,,,
IncomeTaxesPaid,0.000,,,,,,,0.000,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,12262.000,,,,,,
IncreaseDecreaseInAccountsPayableTrade,37887.000,,,,34134.000,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,0.000,,,,,,,,,,,,,
IncreaseDecreaseInDerivativeLiabilities,,,,,,,,,,,,,,-22051.000
IncreaseDecreaseInInventories,,,,,,,,-54.000,,,,,,
IncreaseDecreaseInNotesPayableRelatedParties,,,,,,,,5000.000,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,-550.000,,,,,,
