,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableAndOtherAccruedLiabilitiesCurrent,96236000.000,112814000.000,94982000.000,111518000.000,125636000.000,137990000.000,85962000.000,90179000.000,121464000.000,116992000.000,88757000.000,111953000.000,107653000.000,122799000.000,95040000.000,114978000.000,114626000.000,130355000.000,111405000.000,104520000.000
AccountsPayableCurrent,101319000.000,99233000.000,65764000.000,77961000.000,143369000.000,92568000.000,81099000.000,115180000.000,157845000.000,145192000.000,89628000.000,81660000.000,85980000.000,84307000.000,54910000.000,92699000.000,99871000.000,87339000.000,72027000.000,98967000.000
AccountsReceivableNetCurrent,237090000.000,216877000.000,172852000.000,188141000.000,310098000.000,288479000.000,230757000.000,211763000.000,337530000.000,275349000.000,207990000.000,160806000.000,244470000.000,188380000.000,131436000.000,105414000.000,192516000.000,142683000.000,123824000.000,115994000.000
AccruedEmployeeBenefitsCurrentAndNoncurrent,,,,28288000.000,15811000.000,16179000.000,14138000.000,12605000.000,16972000.000,11575000.000,12661000.000,21325000.000,16053000.000,18327000.000,23066000.000,28116000.000,16180000.000,18551000.000,23851000.000,29874000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,112243000.000,,,,91535000.000,,,,102570000.000,,,,128829000.000,,,,146869000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,169000.000,-502000.000,187000.000,939000.000,597000.000,-770000.000,-1310000.000,-1681000.000,-2163000.000,1165000.000,1142000.000,1925000.000,-46000.000,571000.000,710000.000,-1660000.000,-750000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,997000.000,2219000.000,2066000.000,-160000.000,-5007000.000,-2814000.000,-4900000.000,-3941000.000,-2622000.000,-8909000.000,-12139000.000,-17482000.000,-16540000.000,-19935000.000,-20579000.000,-19421000.000,-20038000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1548000.000,1536000.000,3149000.000,1166000.000,1717000.000,2253000.000,779000.000,-4410000.000,-3584000.000,-6210000.000,-5622000.000,-4785000.000,-7744000.000,-10997000.000,-15557000.000,-16586000.000,-19364000.000,-19869000.000,-21081000.000,-20788000.000
AdditionalPaidInCapital,329822000.000,336744000.000,339761000.000,337740000.000,342920000.000,346869000.000,348604000.000,349060000.000,349530000.000,352358000.000,353840000.000,356260000.000,371272000.000,372848000.000,374201000.000,375796000.000,377441000.000,378741000.000,380182000.000,381536000.000
Assets,1031495000.000,954736000.000,910237000.000,1066754000.000,1265621000.000,1168683000.000,1104335000.000,1103732000.000,1319144000.000,1196665000.000,1157954000.000,1061653000.000,1143610000.000,1011223000.000,922133000.000,813224000.000,901829000.000,815291000.000,793930000.000,799539000.000
AssetsCurrent,686691000.000,614492000.000,571041000.000,624497000.000,823163000.000,726480000.000,662761000.000,657679000.000,858558000.000,736995000.000,698934000.000,607758000.000,696914000.000,611519000.000,525385000.000,423900000.000,523770000.000,445896000.000,420505000.000,429224000.000
AssetsFairValueDisclosure,,,,586000.000,423000.000,775000.000,1200000.000,658000.000,523000.000,884000.000,299000.000,,1465000.000,1924000.000,2228000.000,767000.000,1095000.000,946000.000,694000.000,564000.000
BusinessAcquisitionContingentConsiderationPotentialCashPayment,,,,,,,,2000000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,73000.000,,,,55000.000,,,,37000.000,,,,216000.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,18000.000,,,,18000.000,,,,18000.000,,,,117000.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,19000.000,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,18000.000,,,,19000.000,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,18000.000,,,,18000.000,,,,19000.000,,,,99000.000
CashAndCashEquivalentsAtCarryingValue,34450000.000,62340000.000,58207000.000,59080000.000,35917000.000,46003000.000,31442000.000,61674000.000,45152000.000,43894000.000,54096000.000,56308000.000,50828000.000,94144000.000,91817000.000,46085000.000,37252000.000,54484000.000,41130000.000,45049000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,,,20.390,,,,20.390
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,33373763.000,33633070.000,33705412.000,33788871.000,34018754.000,34134569.000,34154728.000,34338422.000,34405674.000,34533840.000,34543465.000,34599106.000,34652963.000,34652963.000,34652963.000,34652963.000,34762395.000,34790625.000,34790625.000,34790625.000
CommonStockValue,334000.000,336000.000,337000.000,338000.000,340000.000,341000.000,341000.000,343000.000,344000.000,345000.000,345000.000,346000.000,346000.000,346000.000,347000.000,347000.000,348000.000,348000.000,348000.000,348000.000
ContractualObligation,,,,118052000.000,,,,122940000.000,,,,890033000.000,,,,836529000.000,,,,857232000.000
ContractualObligationDueAfterFifthYear,,,,22582000.000,,,,25870000.000,,,,414549000.000,,,,386265000.000,,,,26892000.000
ContractualObligationDueInFifthYear,,,,8612000.000,,,,8320000.000,,,,34104000.000,,,,34057000.000,,,,378667000.000
ContractualObligationDueInFourthYear,,,,11357000.000,,,,11207000.000,,,,46505000.000,,,,38068000.000,,,,37748000.000
ContractualObligationDueInNextTwelveMonths,,,,21332000.000,,,,23007000.000,,,,242874000.000,,,,254413000.000,,,,309166000.000
ContractualObligationDueInSecondYear,,,,28057000.000,,,,29622000.000,,,,83396000.000,,,,68874000.000,,,,58722000.000
ContractualObligationDueInThirdYear,,,,26112000.000,,,,24914000.000,,,,68605000.000,,,,54852000.000,,,,46037000.000
CostMethodInvestments,,,,,,,,,,,,9700000.000,,,,,,,,
CostMethodInvestmentsAggregateCarryingAmount,,,,,5500000.000,,,7600000.000,,,,,,,,,,,,
CumulativeDividends,,,,,,,,,,,,,,,,,2825458.000,3494527.000,4118330.000,
DebtInstrumentCarryingAmount,,,,,,,,,,,,,,,,350000000.000,,,,350000000.000
DebtInstrumentFaceAmount,,,,,,,,,250000000.000,250000000.000,350000000.000,,350000000.000,350000000.000,350000000.000,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,0.074,,,,0.074,,0.074,0.074,,0.074,,,,,,,
DebtInstrumentUnamortizedPremium,,,,,,,,,,,6623000.000,6432000.000,6232000.000,6033000.000,5833000.000,5634000.000,5422000.000,5209000.000,4997000.000,4785000.000
DebtLongtermAndShorttermCombinedAmount,,,,,,,,,,,,,,,,350000000.000,,,,350000000.000
DebtWeightedAverageInterestRate,,,,0.022,0.023,0.020,0.021,0.021,0.021,0.021,0.020,0.021,0.027,0.028,0.027,,,,,
DeferredFinanceCostsNet,8430000.000,8120000.000,7809000.000,7903000.000,7564000.000,7221000.000,6879000.000,6536000.000,6193000.000,5851000.000,7657000.000,7225000.000,6804000.000,8103000.000,7754000.000,,,,,
DeferredFinanceCostsNoncurrentNet,,,,,,,,,,,,,,,,7396000.000,7037000.000,6960000.000,7018000.000,6557000.000
