,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,61777.000,43150.000,49029.000,41752.000,40650.000,46150.000,73790.000,519881.000,777215.000,908699.000,1053406.000,1039799.000,1021153.000
AccountsPayableCurrent,84750.000,84750.000,50207.000,43151.000,43150.000,77998.000,77998.000,77998.000,83497.000,83498.000,77998.000,77998.000,77998.000,77998.000,,,,
AccountsPayableRelatedPartiesCurrent,376476.000,401476.000,401476.000,77998.000,77998.000,,,,,,,,,,,,,
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,,,,,,,,,,,63633.000
AccruedLiabilitiesCurrent,,,,,,,,,,,,,,,,293413.000,314281.000,335148.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,293414.000,314281.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,-2364.000,-5505.000,-8258.000,-12387.000,-16516.000,-20645.000,-24819.000,-30919.000
AdditionalPaidInCapitalCommonStock,689115.000,985982.000,1182182.000,1934793.000,2055017.000,2073878.000,2026771.000,2189057.000,4309157.000,5753957.000,5898957.000,6522437.000,6564737.000,6846770.000,6953870.000,7006830.000,7021305.000,7299655.000
AdvancesToAffiliate,,,,,,,,,,,,,,,,,1064874.000,357000.000
Assets,,,,,4096.000,2902.000,3273.000,52599.000,20425.000,62899.000,80690.000,409848.000,165964.000,52385.000,55657.000,100625.000,951251.000,824138.000
AssetsCurrent,12845.000,22476.000,38119.000,35755.000,4096.000,2902.000,3273.000,52599.000,20425.000,35065.000,43151.000,363590.000,122459.000,13009.000,20410.000,69507.000,908179.000,787166.000
AssetsNoncurrent,,,,,,,,,,27834.000,37539.000,46258.000,43505.000,39376.000,,31118.000,43072.000,36972.000
Cash,179.000,21643.000,38119.000,34507.000,4096.000,2902.000,3273.000,37049.000,4875.000,19515.000,43151.000,25170.000,16876.000,13009.000,20410.000,69507.000,551179.000,41152.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,,,11570.000,,,,,,,,,,,,
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,1000000000.000
CommonStockSharesIssued,75899999.000,122049999.000,146249999.000,165472820.000,173889475.000,177751145.000,180301125.000,212365065.000,314615065.000,395415065.000,438615065.000,486975065.000,491675065.000,485241815.000,496141815.000,487581815.000,489356815.000,507306815.000
CommonStockSharesOutstanding,75899999.000,122049999.000,146249999.000,148549999.000,173889475.000,177751145.000,180301125.000,212365065.000,314615065.000,395415065.000,438615065.000,486975065.000,491675065.000,485241815.000,496141815.000,487581815.000,489356815.000,507306815.000
CommonStockValue,75900.000,122050.000,148250.000,165473.000,173889.000,177751.000,180301.000,212365.000,314615.000,395415.000,438615.000,486975.000,491675.000,485242.000,496142.000,487582.000,489357.000,507307.000
ConvertibleDebt,,,,,,132382.000,132382.000,,,,,,,,,,,
ConvertibleDebtCurrent,20000.000,20000.000,20000.000,,,,,,,,,,,,,,,
ConvertibleDebtNoncurrent,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,25000.000,25000.000,25000.000,30000.000,30000.000,30000.000,28000.000,,,,
DebtCurrent,,,,,,,,108699.000,111387.000,114075.000,116762.000,119450.000,122138.000,124526.000,127514.000,130202.000,130202.000,135577.000
DebtLongtermAndShorttermCombinedAmount,,,,,,,,,,,,,,,100833.000,,,
DeferredRevenue,,,,,,,,,,,,,,,,159663.000,156913.000,154163.000
DeferredRevenueCurrent,,,,,,,,,,,,,,,11000.000,11000.000,1075874.000,1075874.000
DeferredRevenueNoncurrent,,,,,,,,,,,,,,,162413.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,1315476.000,,4342857.000,,2404356.000,,,,578136.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,-1315476.000,,-4342857.000,,-2404356.000,,,,-578136.000,,,
DepositAssets,,,,,,,,15550.000,15550.000,15550.000,,,,,,,357000.000,631750.000
DepositContractsLiabilities,,,,,,,,,,,,,,,50000.000,,,
DepositLiabilitiesAccruedInterest,,,,,,84737.000,105604.000,,147340.000,168207.000,189075.000,209943.000,230810.000,251678.000,272546.000,58303.000,61967.000,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,1619788.000,1987375.000,2449237.000,3244336.000,3432645.000,3497668.000,3461437.000,3660297.000,5888450.000,7449756.000,7575617.000,8026779.000,9046292.000,9651035.000,,,,
DueToAffiliateNoncurrent,,,,,,,,,,,,,,,,,,75000.000
FinancingReceivableRecordedInvestmentPastDue,,,,,,,,,,,,,,,,,75000.000,
FurnitureAndFixturesGross,,,,,,,,,,25334.000,25913.000,25913.000,25913.000,25913.000,,25912.000,25912.000,25912.000
InterestPayableCurrent,,,,,,,,,,,,,,,,,2000.000,
InterestReceivable,,,,,,,,17435.000,21161.000,24887.000,39791.000,43517.000,47243.000,50971.000,54637.000,,,
LeaseholdImprovementsGross,,,,,,,,,,2500.000,,,,,,,,
