,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AcceleratedShareRepurchasesFinalPricePaidPerShare,,,,,,,,,,,,,,,,,,,,,,,,,37.140
AdditionsToNoncurrentAssets,,2271000.000,6273000.000,,3270000.000,4760000.000,7587000.000,4485000.000,4226000.000,6433000.000,5707000.000,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,19000.000,,54000000.000,85000.000,99000.000,-54085000.000,85000.000,11000.000,1000.000,-82000.000,107000.000,326000.000,362000.000,-505000.000,259000.000,0.000,6000.000,-239000.000,363000.000,382000.000,383000.000,-754000.000,304000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,-45000.000,,,,14000.000,,,,-89000.000,,263000.000,,-2000.000,-2000.000,-674000.000,1000.000,-96000.000,0.000,0.000,29000.000,-779000.000,0.000,-3000.000,121000.000,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,,,,,,,,,,,,,,,,,,,-26000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,,,,,,,,,,,,,,,,,,,,-6000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,,,,,,,,,356000.000,,,,296000.000,,,,109000.000
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,,,,,,,,,135000.000,,,,443000.000,,,,208000.000
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,,,,,,,,,,,,,,,,,,,,,,2000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,,,,,,,,,-3483000.000,,,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-5797000.000,,,,-40877000.000,,,,-14080000.000,,,,-27205000.000,,,,-30995000.000,,,,-1509000.000,,,,-31854000.000
ComprehensiveIncomeNetOfTax,,24189000.000,31267000.000,,22523000.000,26645000.000,38479000.000,32682000.000,22946000.000,23720000.000,44973000.000,32248000.000,22096000.000,32415000.000,34948000.000,16346000.000,13943000.000,25566000.000,34830000.000,19938000.000,26650000.000,23015000.000,42106000.000,28802000.000,22493000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,-43000.000,,59000.000,-11000.000,-83000.000,-27000.000,132000.000,547000.000,90000.000,509000.000,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,31224000.000,,22464000.000,26656000.000,38562000.000,32709000.000,22814000.000,23173000.000,44883000.000,34295000.000,22489000.000,32552000.000,35002000.000,16511000.000,14054000.000,25827000.000,35036000.000,20077000.000,26887000.000,23120000.000,42042000.000,28887000.000,22857000.000
CostOfGoodsAndServicesSold,96623000.000,,,,,,,,,,,,,,,,,,,,,,,,
CostOfGoodsSold,,125057000.000,204434000.000,,169877000.000,184438000.000,225668000.000,191387000.000,176318000.000,187056000.000,255088000.000,213385000.000,196276000.000,188655000.000,255895000.000,225125000.000,212567000.000,207436000.000,264691000.000,220053000.000,213155000.000,204357000.000,253876000.000,206180000.000,233669000.000
DebtInstrumentBasisSpreadOnVariableRate1,,,,,,,,,,,,,,,,,,0.005,0.005,,0.005,0.005,0.005,,0.005
DebtInstrumentDecreaseForgiveness,,,,,,,,,,,,,,,,,102000.000,,,,,,,,
