,2011-09-30,2011-12-31,2012-03-31,2012-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,172504.000,184940.000,195111.000,183713.000
AccountsPayableRelatedPartiesCurrent,503373.000,734798.000,625172.000,513162.000
AccountsReceivableNetCurrent,13100.000,17788.000,10000.000,0.000
AdditionalPaidInCapital,19174507.000,20474730.000,21092066.000,23716941.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000,0.000,0.000,3750.000
Assets,56918.000,55493.000,70744.000,145666.000
AssetsCurrent,41037.000,43084.000,61662.000,143033.000
CashAndCashEquivalentsAtCarryingValue,11724.000,8083.000,47324.000,527.000
CommitmentsAndContingencies,,,,0.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,54169129.000,58094129.000,59049129.000,292147392.000
CommonStockSharesOutstanding,54169129.000,58094129.000,59049129.000,292147392.000
CommonStockValue,2533.000,3711.000,4011.000,73927.000
ConvertibleLongTermNotesPayable,8958.000,10208.000,,12708.000
DebtInstrumentUnamortizedDiscount,16042.000,14792.000,,862298.000
DeferredRevenueCurrent,,5833.000,10208.000,0.000
DerivativeLiabilitiesNoncurrent,3815.000,1701.000,948093.000,2487508.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,21073540.000,22704468.000,23399745.000,27850093.000
DueToOfficersOrStockholdersCurrent,1260062.000,1339334.000,,830030.000
EquityIssuanceDollarAmountPerShare,,,0.070,
LiabilitiesAndStockholdersEquity,56918.000,55493.000,70744.000,145666.000
LiabilitiesCurrent,1935939.000,2264905.000,830491.000,4187477.000
LiabilitiesNoncurrent,12773.000,11909.000,1539215.000,12708.000
OtherNotesPayableCurrent,,,,173064.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,46961636.000,46961636.000,46961636.000,46961636.000
PreferredStockSharesOutstanding,46961636.000,46961636.000,46961636.000,46961636.000
PreferredStockValue,4706.000,4706.000,4706.000,4706.000
PrepaidExpenseCurrent,16213.000,17213.000,4338.000,142506.000
PropertyPlantAndEquipmentNet,15881.000,12409.000,9082.000,2633.000
StockholdersEquity,-1891794.000,-2221321.000,-2298962.000,-4054519.000
