,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,50000.000,14000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1736000.000,6194000.000,10766000.000,11131000.000
AllocatedShareBasedCompensationExpense,,6194000.000,10766000.000,11131000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2930381.000,3822012.000,4693757.000,4900321.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,0.000,0.000,0.000,0.000
CapitalExpendituresIncurredButNotYetPaid,,,,301000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,192668000.000,-180793000.000,10306000.000,
CashPeriodIncreaseDecrease,,,,-1491000.000
CommonStockDividendsPerShareDeclared,0.000,0.000,,
ComprehensiveIncomeNetOfTax,-26072000.000,-50041000.000,-85370000.000,-102862000.000
ContractsRevenue,37779000.000,39559000.000,25216000.000,21277000.000
CurrentFederalTaxExpenseBenefit,12275000.000,-10841000.000,19000.000,13000.000
CurrentIncomeTaxExpenseBenefit,12276000.000,-10840000.000,20000.000,14000.000
CurrentStateAndLocalTaxExpenseBenefit,1000.000,1000.000,1000.000,1000.000
DeferredFederalIncomeTaxExpenseBenefit,-10331000.000,10331000.000,,
DeferredIncomeTaxExpenseBenefit,-10331000.000,10331000.000,,
DeferredStateAndLocalIncomeTaxExpenseBenefit,,0.000,,
DepreciationDepletionAndAmortization,1378000.000,1430000.000,1643000.000,1764000.000
EarningsPerShareBasicAndDiluted,-1.930,-1.690,-2.840,-3.140
EffectiveIncomeTaxRateContinuingOperations,-0.080,0.010,0.000,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350,0.350,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,-0.540,-0.450,-0.460,-0.420
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,-0.010,-0.010,-0.010,-0.020
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.000,0.030,0.010
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,0.060,0.120,0.090,-0.080
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,462000.000,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,280000.000,,,
GainLossOnSaleOfPropertyPlantEquipment,,113000.000,,
GeneralAndAdministrativeExpense,11630000.000,13753000.000,18583000.000,18827000.000
ImpairmentOfLongLivedAssetsHeldForUse,0.000,0.000,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-85387000.000,-103088000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-24127000.000,-50519000.000,,
IncomeTaxExpenseBenefit,1944000.000,-509000.000,20000.000,14000.000
IncomeTaxesPaidNet,,8200000.000,,
IncreaseDecreaseInAccountsAndOtherReceivables,,,70657000.000,-68184000.000
IncreaseDecreaseInAccountsPayable,4857000.000,-1278000.000,2212000.000,-1770000.000
IncreaseDecreaseInAccountsReceivableRelatedParties,-4000000.000,-2000.000,,
IncreaseDecreaseInAccruedLiabilities,7952000.000,3643000.000,3662000.000,-3115000.000
IncreaseDecreaseInDeferredIncomeTaxes,10331000.000,-10331000.000,,
IncreaseDecreaseInDeferredRevenue,151884000.000,-35059000.000,52284000.000,-21272000.000
IncreaseDecreaseInIncomeTaxes,10758000.000,-10758000.000,,
IncreaseDecreaseInIncomeTaxesReceivable,,7102000.000,-7102000.000,
IncreaseDecreaseInOtherOperatingAssets,1096000.000,781000.000,-121000.000,-379000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,229000.000,372000.000,1577000.000,-782000.000
LeaseAndRentalExpense,1300000.000,1300000.000,1300000.000,1600000.000
LegalFees,151000.000,158000.000,65000.000,69000.000
NetCashProvidedByUsedInFinancingActivities,105918000.000,2082000.000,1778000.000,65148000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,105918000.000,2082000.000,1778000.000,65148000.000
NetCashProvidedByUsedInInvestingActivities,-57794000.000,-98364000.000,83666000.000,-29703000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-57794000.000,-98364000.000,83666000.000,-29703000.000
NetCashProvidedByUsedInOperatingActivities,144544000.000,-84511000.000,-75138000.000,-36936000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,144544000.000,-84511000.000,-75138000.000,-36936000.000
NetIncomeLoss,-26071000.000,-50010000.000,-85407000.000,-103102000.000
OperatingExpenses,61678000.000,90183000.000,111456000.000,128540000.000
OperatingIncomeLoss,-23899000.000,-50624000.000,-85557000.000,-103387000.000
OperatingLeasesRentExpenseMinimumRentals,,,,13800000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-1000.000,-31000.000,37000.000,240000.000
OtherSalesRevenueNet,,,683000.000,3876000.000
PaymentsOfDividendsCommonStock,0.000,0.000,,
PaymentsToAcquirePropertyPlantAndEquipment,557000.000,1809000.000,1364000.000,1158000.000
PaymentsToAcquireShortTermInvestments,132537000.000,436856000.000,128806000.000,207283000.000
ProceedsFromIssuanceInitialPublicOffering,85149000.000,,,
ProceedsFromIssuanceOfCommonStock,20519000.000,,,
ProceedsFromSaleMaturityAndCollectionOfShorttermInvestments,75300000.000,340271000.000,213836000.000,178738000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,30000.000,,
ProceedsFromStockOptionsExercised,250000.000,2082000.000,1778000.000,1239000.000
ResearchAndDevelopmentExpense,50048000.000,76430000.000,92873000.000,109713000.000
Revenues,37779000.000,39559000.000,25899000.000,25153000.000
SalesRevenueNet,37779000.000,39559000.000,25899000.000,25153000.000
ShareBasedCompensation,1736000.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,294000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,0.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0.018,0.021,0.021,0.015
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,0.683,0.663,0.626,0.719
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,3100000.000,8900000.000,4200000.000,800000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,3000.000,47000.000,63000.000,207000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,597000.000,1027000.000,1139000.000,225000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,15.100,13.900,12.990,8.230
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,2.190,2.830,3.050,3.190
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,6.750,22.280,13.610,20.340
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,15.100,22.500,21.970,13.190
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,1500000.000,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,,2011000.000,2343000.000,2991000.000
StockIssuedDuringPeriodSharesStockOptionsExercised,113000.000,382000.000,196000.000,101000.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,182773000.000,,,
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,,1002000.000,1181000.000,917000.000
StockIssuedDuringPeriodValueNewIssues,82668000.000,,,
StockIssuedDuringPeriodValueOther,20519000.000,,,
StockIssuedDuringPeriodValueRestrictedStockAwardGross,13000.000,10000.000,10000.000,4000.000
StockIssuedDuringPeriodValueStockOptionsExercised,250000.000,1080000.000,597000.000,322000.000
UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions,2000.000,,,
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,,569000.000,90000.000,
