,2012-02-29,2012-05-31,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AccountsPayable,994410.000,677042.000,1332491.000,,,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilities,,,2462124.000,,,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,1626680.000,2865340.000,1119422.000,1956618.000,2090594.000,1314755.000,1327603.000,954013.000,,2009313.000,2097999.000,,2698740.000,2313764.000,1748861.000,1352487.000,2017.000
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,,,2462124.000,1626680.000,,,,,,,,,,,,,,,,
AccountsPayableCurrent,,,,410948.000,1715458.000,453525.000,1190980.000,962733.000,240825.000,377496.000,189777.000,626523.000,984955.000,955516.000,753336.000,1304549.000,839972.000,618293.000,302684.000,891623.000
AccountsReceivableFairValueDisclosure,,,7295224.000,4820700.000,,,,,,,,,,,,,,,,
AccountsReceivableNet,,5173954.000,3092842.000,4820700.000,,,,,,,,,,,,4382438.000,3342204.000,3386389.000,4547741.000,5532541.000
AccountsReceivableNetCurrent,3954043.000,,7295224.000,4820700.000,3344777.000,2237734.000,4256286.000,4923144.000,2442928.000,2720614.000,5034076.000,4926096.000,3688247.000,4319826.000,3784595.000,4382438.000,3342204.000,3386389.000,4547741.000,5532541.000
AccruedIncomeTaxes,228358.000,204170.000,,,,,,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,,,,,,,,317074.000
AccruedLiabilities,891752.000,1199343.000,1129633.000,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,1215732.000,1149882.000,665897.000,765638.000,1127861.000,1073930.000,950107.000,764236.000,959037.000,1024358.000,1142483.000,970877.000,1394191.000,1473792.000,1130568.000,1049803.000,1710069.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-3147294.000,-3199245.000,3235458.000,-3266962.000,-3301821.000,-3347854.000,-3398761.000,-3451184.000,-3468218.000,-3520910.000,-3569901.000,-3522489.000,-3587290.000,-3618420.000,-3668884.000,,-3454381.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,,,,-508888.000,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000,600804.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1308.000,0.000
Assets,18446381.000,18960263.000,21409227.000,21586208.000,23657857.000,22233293.000,22728478.000,20559706.000,19691820.000,18737034.000,19509376.000,18616166.000,19658419.000,20285494.000,19950357.000,21054135.000,19869772.000,20098598.000,19698888.000,22478004.000
AssetsCurrent,16011182.000,16581162.000,19014969.000,19205796.000,21047245.000,19635473.000,20182732.000,18068205.000,17248477.000,16361494.000,17191019.000,16298477.000,17203458.000,17895520.000,17591477.000,18746615.000,16764634.000,16836478.000,16409696.000,19231074.000
AssetsNoncurrent,,,,,,,,,,,,2317689.000,,,,,,,,
BankLoans,,,,,,,,,,,875386.000,,,,,,,,,
BuildingsAndImprovementsGross,,,,2382448.000,2681989.000,2695810.000,2688616.000,2688616.000,2688616.000,2688616.000,2690949.000,2686887.000,2878849.000,2878849.000,2878849.000,2878849.000,3697100.000,3913613.000,3990308.000,3990308.000
Cash,,,4342588.000,7678879.000,8308445.000,8096072.000,5816854.000,4240397.000,4327540.000,1984977.000,12193.000,1836849.000,4416297.000,4360625.000,5627987.000,6285575.000,4519922.000,4899362.000,2018532.000,4872068.000
CashAndCashEquivalentsAtCarryingValue,4310547.000,,4342588.000,7678879.000,8308445.000,8096072.000,5816854.000,4240397.000,,,,,,,,,,,,
CashAndCashEquivalentsFairValueDisclosure,,,4342588.000,7678879.000,,,,,,,,,,,,,,,,
CashEquivalentsAtCarryingValue,4310547.000,4639288.000,,,,,,,,,,,,,,,,,,
