,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-278000.000,,,,216000.000,,,,199000.000,,,,2007000.000,,,,1670000.000,,,,8470000.000,,,,1216000.000
AllowanceForLoanAndLeaseLossesPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,-2416000.000,,,,,,,,
AmortizationOfIntangibleAssets,7385000.000,7144000.000,6089000.000,5448000.000,5159000.000,4920000.000,4855000.000,4710000.000,4421000.000,4181000.000,4117000.000,3065000.000,2323000.000,2082000.000,2019000.000,1873000.000,1584000.000,1345000.000,1280000.000,1135000.000,846000.000,606000.000,542000.000,397000.000,154000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2617993.000,744838.000,8918493.000,-5979022.000,5247328.000,4981879.000,2579585.000,-10266565.000,253500.000,253500.000,62040.000,-508740.000,57400.000,58560.000,,,32400.000,10000.000,,,0.000,,,,0.000
AssumptionForFairValueOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesDiscountRate,,,,,0.100,,,,0.105,,,,0.105,,,,0.100,,,,0.100,,,,0.101
AvailableForSaleSecuritiesGrossRealizedGains,2941000.000,,,,718000.000,,,,5070000.000,,,,4873000.000,,,,211000.000,,,,163000.000,,,,1979000.000
AvailableForSaleSecuritiesGrossRealizedLosses,11000.000,,,,,,,,,,,,,,,,0.000,,,,0.000,,,,
BankOwnedLifeInsuranceIncome,6889000.000,7564000.000,6890000.000,7041000.000,9585000.000,6802000.000,6781000.000,7334000.000,7253000.000,7337000.000,7916000.000,7432000.000,6829000.000,6813000.000,6888000.000,6620000.000,6704000.000,6774000.000,7117000.000,6946000.000,9336000.000,6843000.000,7029000.000,7807000.000,6337000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,424187000.000,,,,354047000.000,,,,-372200000.000,,,,28322000.000,,,,18408000.000,,,,113206000.000,,,,426446000.000
ComprehensiveIncomeNetOfTax,118350000.000,119578000.000,118377000.000,97517000.000,121461000.000,135785000.000,135253000.000,118812000.000,117852000.000,127240000.000,112463000.000,143204000.000,116622000.000,121229000.000,120409000.000,107944000.000,122239000.000,122800000.000,114871000.000,-408401000.000,132326000.000,128994000.000,126096000.000,108293000.000,104611000.000
