,2012-03-31,2012-09-30,2013-03-31,2013-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-48.000,,-23.000,,26.000,,,,-24.000,,
DebtInstrumentDecreaseForgiveness,,,,,,-33959.000,0.000,,,-31122.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,,,0.000
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,,,,,,,,,,,0.000
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,,,0.000
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,,,,,,,,0.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,,,,,0.000
DisposalGroupIncludingDiscontinuedOperationOtherIncome,,,,,,,,,,,0.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,0.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GeneralAndAdministrativeExpense,3899.000,6051.000,98.000,38239.000,474.000,376.000,6061.000,16574.000,12524.000,58264.000,53312.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,-12687.000,-27142.000,-53312.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,0.000
IncomeTaxExpenseBenefit,,,,,,,,,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayable,-5074.000,,,,,,,,-12500.000,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,,,,163.000,,
IncreaseDecreaseInAccruedLiabilities,,,,,146.000,,,,,,
InterestExpense,,,,,,,,,163.000,,
InterestIncomeExpenseNet,,,,,,,,,,0.000,
NetCashProvidedByUsedInFinancingActivities,8925.000,,75.000,,354.000,,,,25000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,8925.000,,75.000,,354.000,,,,25000.000,,
NetCashProvidedByUsedInOperatingActivities,-8973.000,,-98.000,,-328.000,,,,-25024.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-8973.000,,-98.000,,-328.000,,,,-25024.000,,
NetIncomeLoss,-3899.000,-6051.000,-98.000,-38239.000,-474.000,33583.000,-6061.000,-50533.000,-12687.000,-27142.000,-53312.000
OperatingExpenses,3899.000,6051.000,98.000,38239.000,474.000,376.000,6061.000,16574.000,,,
OperatingIncomeLoss,,,,,,,,,,,-53312.000
OtherNonoperatingIncomeExpense,,,,,,,,,,31122.000,
ProceedsFromRelatedPartyDebt,,,,,354.000,,,,25000.000,,
ProceedsFromRepaymentsOfRelatedPartyDebt,8925.000,,75.000,,,,,,,,
Revenues,,,,,0.000,0.000,0.000,,0.000,0.000,0.000
SalesRevenueNet,,,,,0.000,0.000,0.000,,0.000,0.000,0.000
WeightedAverageNumberOfSharesOutstandingBasic,,31187585.000,31187585.000,31187585.000,31187585.000,31187585.000,31187585.000,-62375170.000,31187585.000,36102758.000,57808466.000
