,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableCurrent,5474000.000,4835000.000,6394000.000,3146000.000,5433000.000,4698000.000,3754000.000,3205000.000,3879000.000,4668000.000,5797000.000,4971000.000,5326000.000
AccountsReceivableGrossCurrent,,,,36020000.000,,,,31255000.000,,,,36520000.000,
AccountsReceivableNetCurrent,38110000.000,37268000.000,32718000.000,35686000.000,32575000.000,34342000.000,33317000.000,30921000.000,35340000.000,35737000.000,35671000.000,36186000.000,39141000.000
AccruedIncomeTaxesCurrent,6496000.000,,,,8840000.000,245000.000,,584000.000,4373000.000,239000.000,206000.000,193000.000,1314000.000
AccruedSalesCommissionCurrent,1452000.000,1012000.000,1251000.000,1619000.000,1504000.000,1622000.000,1337000.000,1645000.000,1586000.000,1695000.000,1732000.000,1567000.000,1194000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,39455000.000,,,,47309000.000,,,,54787000.000,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,-1046000.000,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,85000.000,-12000.000,-769000.000,-1046000.000,-662000.000,-1057000.000,-747000.000,-464000.000,-1018000.000,-1530000.000,-1392000.000,-823000.000,-853000.000
AdditionalPaidInCapitalCommonStock,164948000.000,168030000.000,170776000.000,174093000.000,177787000.000,181186000.000,184757000.000,189273000.000,194058000.000,197721000.000,201199000.000,204803000.000,208221000.000
AllowanceForDoubtfulAccountsReceivableCurrent,334000.000,334000.000,334000.000,334000.000,334000.000,334000.000,334000.000,334000.000,334000.000,334000.000,334000.000,334000.000,334000.000
Assets,434244000.000,448298000.000,473592000.000,488565000.000,519880000.000,528266000.000,554678000.000,573563000.000,602050000.000,619715000.000,642282000.000,656488000.000,672877000.000
AssetsCurrent,384400000.000,398669000.000,425284000.000,440660000.000,471842000.000,478588000.000,504615000.000,525388000.000,554758000.000,571937000.000,591264000.000,607140000.000,622108000.000
AvailableForSaleSecuritiesDebtSecuritiesCurrent,,,,,,,50092000.000,140069000.000,190028000.000,189972000.000,238097000.000,353947000.000,319971000.000
CashAndCashEquivalentsAtCarryingValue,311764000.000,325622000.000,351130000.000,353667000.000,373875000.000,375387000.000,342726000.000,269157000.000,239325000.000,248197000.000,219232000.000,118600000.000,172385000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,31337000.000,31354000.000,31343000.000,31448000.000,31513000.000,31523000.000,31516000.000,31563000.000,31574000.000,31525000.000,31519000.000,31390000.000,31376000.000
CommonStockSharesOutstanding,31337000.000,31354000.000,31343000.000,31448000.000,31513000.000,31523000.000,31516000.000,31563000.000,31574000.000,31525000.000,31519000.000,31390000.000,31376000.000
CommonStockValue,313000.000,314000.000,313000.000,314000.000,315000.000,315000.000,315000.000,316000.000,316000.000,315000.000,315000.000,314000.000,314000.000
CustomerAdvancesCurrent,,,541000.000,,,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,,1422000.000,,,,1074000.000,
DeferredRevenueCurrent,6720000.000,3704000.000,2350000.000,1814000.000,2483000.000,2082000.000,1510000.000,2790000.000,2380000.000,2370000.000,2801000.000,2816000.000,2278000.000
DeferredTaxAssetsDeferredIncome,,,,178000.000,,,,515000.000,,,,1176000.000,
DeferredTaxAssetsInventory,,,,2730000.000,,,,3445000.000,,,,2272000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,15251000.000,,,,14892000.000,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,,,14988000.000,14557000.000,14213000.000,13451000.000,13399000.000,10152000.000
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,466000.000,,,,709000.000,1210000.000,1700000.000,2066000.000,1725000.000,2006000.000
DeferredTaxAssetsNet,,,,,,,,16673000.000,,,,15966000.000,
DeferredTaxAssetsNetCurrent,8868000.000,9528000.000,11078000.000,10296000.000,11097000.000,12184000.000,13281000.000,,,,,,
DeferredTaxAssetsNetNoncurrent,,924000.000,473000.000,466000.000,1176000.000,2059000.000,2453000.000,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,4070000.000,,,,5441000.000,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,2941000.000,,,,,,,,,
DeferredTaxAssetsOther,,,,297000.000,,,,264000.000,,,,468000.000,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,,,,,55000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsCompensatedAbsences,,,,428000.000,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,5239000.000,,,,7145000.000,,,,5189000.000,
DeferredTaxAssetsTaxDeferredExpenseOther,,,,1026000.000,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,,1159000.000,,,,1315000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,125000.000,,,,75000.000,,,,50000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,,,,311000.000,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,,,,439000.000,,,,,,,,,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,446000.000,576000.000,521000.000,348000.000,232000.000,33000.000
DeferredTaxLiabilitiesOther,,,,,,,,182000.000,,,,310000.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,2772000.000,,,,1240000.000,,,,764000.000,
EmployeeRelatedLiabilitiesCurrent,3510000.000,3845000.000,4877000.000,3286000.000,3976000.000,4056000.000,4890000.000,3726000.000,4860000.000,4756000.000,5235000.000,4059000.000,4926000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,9657000.000,,,,13568000.000,,,,16131000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,2563000.000,,,,2108000.000,
