,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilities,,,,,,,53505.000,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,29657.000,35736.000,37512.000,39696.000,45511.000,,52569.000,35448.000,41789.000,46298.000,49593.000,54052.000,58834.000,68865.000,62464.000,67779.000,80097.000,67561.000,78851.000,82960.000,93750.000
AccruedLiabilitiesCurrent,,,,,18370.000,,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,109021.000,110029.000,111037.000,112035.000,114029.000,114914.000,115780.000,116656.000,117542.000,124428.000,536894.000,545805.000,551641.000,554926.000,717681.000,742681.000,742681.000,742681.000,857481.000,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,,,,,857481.000,879499.000,1238432.000
Assets,30879.000,6763.000,1398.000,20.000,0.000,0.000,0.000,0.000,8500.000,4524.000,809.000,149.000,22.000,256.000,389.000,10325.000,1389.000,83.000,56660.000,35168.000,31422.000,378842.000
AssetsCurrent,,,,,,,,,,,,,,,,,,,43160.000,20723.000,16977.000,2797.000
Cash,,5763.000,1398.000,20.000,,0.000,0.000,0.000,8500.000,4524.000,809.000,149.000,22.000,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,30879.000,5763.000,1398.000,20.000,0.000,0.000,0.000,,8500.000,4524.000,809.000,149.000,22.000,256.000,389.000,10325.000,1389.000,83.000,22327.000,4535.000,7540.000,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,45612559.000,45612559.000,45612559.000,45612559.000,90512559.000,90512559.000,90512559.000,90512559.000,90712559.000,90712559.000,90712559.000,98712559.000
CommonStockSharesOutstanding,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,41412559.000,45612559.000,45612559.000,45612559.000,45612559.000,90512559.000,90512559.000,90512559.000,90512559.000,90712559.000,90712559.000,90712559.000,98712559.000
CommonStockValue,41412.000,41412.000,41412.000,41412.000,41412.000,41412.000,41412.000,41412.000,41412.000,41412.000,45612.000,45612.000,45612.000,45612.000,90512.000,90512.000,90512.000,90512.000,90712.000,90712.000,90712.000,98712.000
DebtInstrumentInterestRateEffectivePercentage,,,,,0.060,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscountCurrent,,,,,,,,,,,,,,,,,,,,62151.000,55322.000,28927.000
