,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableCurrent,3336590.000,4568149.000,5025000.000,7297000.000,11008000.000,9374000.000,12024000.000,12969000.000,10836000.000,9280000.000,17914000.000,15108000.000,11794000.000,15458000.000,13322000.000,10674000.000,11071000.000,12731000.000,15249000.000,13709000.000,15501000.000
AccountsPayableTradeCurrent,,,,,,,5400000.000,5600000.000,4100000.000,3200000.000,5800000.000,,,,5400000.000,,,,6100000.000,,
AccountsReceivableNetCurrent,15248062.000,11336947.000,14953000.000,18601000.000,21443000.000,16919000.000,25225000.000,32328000.000,33596000.000,30305000.000,28052000.000,41335000.000,36487000.000,37428000.000,38041000.000,36566000.000,35648000.000,34968000.000,35570000.000,29472000.000,38698000.000
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,,,,,1296000.000,1186000.000,1212000.000,1037000.000,1317000.000,2253000.000,,,,,,,,,,,
AccruedBonusesCurrent,,,,,,,,,,,6600000.000,2100000.000,4100000.000,5800000.000,7900000.000,2400000.000,4900000.000,5700000.000,8000000.000,2200000.000,5200000.000
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,,,,,,,200000.000,,
AccruedLiabilitiesCurrent,,,,,,,,,,,35276000.000,38454000.000,35348000.000,38004000.000,36589000.000,33671000.000,32416000.000,47463000.000,45889000.000,35521000.000,35025000.000
AccruedLiabilitiesForCommissionsExpenseAndTaxes,,,,,1023000.000,1429000.000,1890000.000,2547000.000,3388000.000,4116000.000,,,,,,,,,,,
AccruedMarketingCostsCurrent,,,,,,,,,,,,,3018000.000,2597000.000,1888000.000,1088000.000,612000.000,8884000.000,8503000.000,7552000.000,4175000.000
AccruedPayrollTaxesCurrentAndNoncurrent,,,,,2500000.000,3800000.000,5900000.000,1800000.000,3100000.000,4600000.000,,,,,,,,,,,
AccruedProfessionalFeesCurrent,,,,,2217000.000,949000.000,1340000.000,1341000.000,1778000.000,3037000.000,2428000.000,3006000.000,1388000.000,1236000.000,1624000.000,,,,2685000.000,2002000.000,2940000.000
AccruedSalariesCurrentAndNoncurrent,,,,,4854000.000,6934000.000,8818000.000,5682000.000,7013000.000,,,,,,,,,,,,
AccumulatedAmortizationDeferredFinanceCosts,,,,,,,,,,900000.000,1000000.000,,,,1400000.000,,,,900000.000,,
AccumulatedAmortizationOfOtherDeferredCosts,,,,,500000.000,500000.000,600000.000,700000.000,800000.000,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,8348000.000,9629000.000,11080000.000,12103000.000,13393000.000,13205000.000,14710000.000,15996000.000,17321000.000,18557000.000,19993000.000,21109000.000,22594000.000,23981000.000,25258000.000,26757000.000,28054000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,9075.000,12230.000,-23000.000,-9000.000,-3000.000,,-24000.000,-56000.000,-68000.000,-29000.000,-15000.000,18000.000,-41000.000,-142000.000,-261000.000,-141000.000,-153000.000,-86000.000,-160000.000,-35000.000,-27000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-7457261.000,-7717949.000,-7631000.000,-7733000.000,-7701000.000,-7890000.000,-8039000.000,-7587000.000,-7197000.000,-7835000.000,-7859000.000,-8099000.000,-8427000.000,-8177000.000,-8112000.000,-8272000.000,-8519000.000,-8199000.000,-8085000.000,-8063000.000,-7671000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-7448186.000,-7705719.000,-7654000.000,-7742000.000,-7704000.000,-7890000.000,-8063000.000,-7643000.000,-7265000.000,-7864000.000,-7874000.000,-8081000.000,-8468000.000,-8319000.000,-8373000.000,-8413000.000,-8672000.000,-8285000.000,-8245000.000,-8098000.000,-7698000.000
AdditionalPaidInCapitalCommonStock,309569724.000,313186481.000,316748000.000,320854000.000,327868000.000,340953000.000,346301000.000,492631000.000,498376000.000,507098000.000,535817000.000,545873000.000,552673000.000,559273000.000,565609000.000,571616000.000,607077000.000,613204000.000,618219000.000,622606000.000,626814000.000
AllowanceForDoubtfulAccountsReceivable,,,,,750000.000,750000.000,750000.000,750000.000,750000.000,544000.000,495000.000,495000.000,495000.000,495000.000,671000.000,645000.000,630000.000,618000.000,676000.000,522000.000,743000.000
Assets,258526262.000,255364755.000,240732000.000,229975000.000,220538000.000,212013000.000,206499000.000,338047000.000,332921000.000,335955000.000,429827000.000,425497000.000,422211000.000,428862000.000,423813000.000,413720000.000,490650000.000,488466000.000,457576000.000,431314000.000,429372000.000
AssetsCurrent,241271475.000,234365676.000,214647000.000,202919000.000,193132000.000,179436000.000,172401000.000,304076000.000,298725000.000,303480000.000,280609000.000,275174000.000,272658000.000,277653000.000,276543000.000,269060000.000,343291000.000,337230000.000,329702000.000,267992000.000,267191000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,16504000.000,5743000.000,16911000.000,20076000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,,,,,,,,,,,,,10600000.000,34700000.000,34500000.000,,
AvailableForSaleSecuritiesDebtSecuritiesCurrent,79998132.000,90291868.000,91925000.000,70059000.000,16501000.000,5743000.000,16887000.000,20020000.000,31148000.000,35875000.000,37596000.000,34188000.000,36104000.000,66617000.000,75535000.000,70354000.000,69574000.000,63391000.000,68531000.000,74952000.000,55981000.000
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,0.000,0.000,0.000,,,,,,1225000.000,1225000.000,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,-3000.000,,25000.000,56000.000,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,0.000,,1000.000,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,,,8000000.000,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,,67000000.000,70140000.000,56440000.000,52820000.000,43740000.000,45840000.000,48080000.000,50440000.000,12330000.000,12910000.000,13510000.000
CashAndCashEquivalentsAtCarryingValue,118843674.000,99124304.000,71257000.000,74396000.000,114501000.000,111883000.000,85921000.000,208878000.000,190024000.000,187906000.000,162880000.000,145588000.000,146595000.000,113648000.000,102946000.000,102525000.000,181222000.000,184882000.000,175047000.000,113256000.000,129241000.000
CashCashEquivalentsAndShortTermInvestments,,,,,,,,228900000.000,222400000.000,225000000.000,201700000.000,181000000.000,183900000.000,181500000.000,179700000.000,174100000.000,252000000.000,249500000.000,244600000.000,189200000.000,185000000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,83000.000,,3782000.000,,,,3425000.000,,,,3186000.000,,,,5455000.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,25000000.000,25000000.000,25000.000,25000000.000,25000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,13925984.000,14053526.000,14114.000,14135000.000,14181.000,14423000.000,14582000.000,16345000.000,16397000.000,16458000.000,16878000.000,16978000.000,16997000.000,17018000.000,17156000.000,17245000.000,17291000.000,17315000.000,17405000.000,17536000.000,17552000.000
CommonStockSharesOutstanding,13925984.000,14053526.000,13879.000,14135000.000,14181.000,14423000.000,14582000.000,16345000.000,16397000.000,16458000.000,16877646.000,16978000.000,16997000.000,17018000.000,17155833.000,17245000.000,17291000.000,17315000.000,17405000.000,17536000.000,17552000.000
CommonStockValue,13926.000,14054.000,14000.000,14000.000,14000.000,14000.000,15000.000,16000.000,16000.000,16000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,18000.000,18000.000
CommonStockValueOutstanding,,,,,,,120700000.000,,,,,,,,,,,,,,
ConvertibleDebtFairValueDisclosures,,,,,166900000.000,174700000.000,145300000.000,169800000.000,174800000.000,160300000.000,174100000.000,175800000.000,168300000.000,157900000.000,154000000.000,164100000.000,,,,,
ConvertibleLongTermNotesPayable,,,,,,,,,,,,,110849000.000,112796000.000,114803000.000,116871000.000,186565000.000,188790000.000,191062000.000,189572000.000,192107000.000
DebtInstrumentCarryingAmount,,,,,143750000.000,143750000.000,100315000.000,101942000.000,,,,,,,,,,,,,
DebtInstrumentConvertibleCarryingAmountOfTheEquityComponent,,,,,55038000.000,55038000.000,55038000.000,55038000.000,55038000.000,55038000.000,55038000.000,55038000.000,55038000.000,55038000.000,55038000.000,55038000.000,,,,,
DebtInstrumentConvertibleConversionPrice1,,,,,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,,,,,
DebtInstrumentFaceAmount,,,,,97205000.000,98737000.000,143750000.000,143750000.000,143750000.000,143750000.000,143750000.000,143750000.000,143750000.000,143750000.000,143750000.000,143750000.000,,,,3000000.000,
DebtInstrumentInterestRateAtPeriodEnd,,,,,,,,,,0.035,0.035,0.035,0.035,,,,,,,,
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,,0.035,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,,,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,
DebtInstrumentUnamortizedDiscount,,,,,-46545000.000,45013000.000,43435000.000,41808000.000,40132000.000,38405000.000,36625000.000,34791000.000,32901000.000,30954000.000,28947000.000,26879000.000,,,,,
DeferredFinanceCostsNet,2800497.000,2727671.000,2653000.000,2575000.000,2496000.000,2413000.000,2329000.000,2242000.000,2152000.000,2059000.000,1964000.000,1865000.000,1764000.000,1660000.000,1552000.000,1441000.000,4316000.000,4160000.000,3973000.000,,3600000.000
DeferredRentCreditNoncurrent,,,,,,,,,,2600000.000,2500000.000,,,,3500000.000,,,,3200000.000,,
DeferredTaxAssetsGross,,,,,,,90229000.000,,,,198620000.000,,,,154280000.000,,,,173057000.000,,
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,,,,,,,,2114000.000,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,,,,,,0.000,,,,120000.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,80429000.000,,,,184542000.000,,,,132443000.000,,,,141534000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,73280000.000,,,,179503000.000,,,,128216000.000,,,,137825000.000,,
