,2011-07-02,2011-10-01,2011-12-31
AccountsPayableCurrent,166600000.000,166300000.000,180400000.000
AccountsReceivableNetCurrent,293800000.000,267200000.000,299600000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,17400000.000,15100000.000,8200000.000
AdditionalPaidInCapital,438300000.000,439200000.000,439800000.000
Assets,2964000000.000,3044200000.000,3203700000.000
AssetsCurrent,848800000.000,956800000.000,904500000.000
CashAndCashEquivalentsAtCarryingValue,226200000.000,356300000.000,220100000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010
CommonStockSharesAuthorized,3000000.000,3000000.000,3000000.000
CommonStockSharesOutstanding,1000000.000,1000000.000,1000000.000
CommonStockValue,100000.000,100000.000,100000.000
DeferredTaxLiabilitiesNoncurrent,207300000.000,207500000.000,221900000.000
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,5100000.000,5700000.000,6300000.000
EmployeeRelatedLiabilitiesCurrent,50100000.000,48800000.000,55800000.000
Goodwill,1023800000.000,1023300000.000,1115900000.000
InsuranceSettlementsReceivableNoncurrent,65000000.000,65000000.000,65000000.000
IntangibleAssetsNetExcludingGoodwill,639800000.000,627400000.000,649700000.000
InterestPayableCurrent,37000000.000,51800000.000,36300000.000
InventoryNet,290800000.000,292100000.000,329600000.000
Liabilities,2998900000.000,3076000000.000,3237200000.000
LiabilitiesAndStockholdersEquity,2964000000.000,3044200000.000,3203700000.000
LiabilitiesCurrent,359400000.000,378100000.000,395800000.000
LiabilityForAsbestosAndEnvironmentalClaimsGross,65000000.000,65000000.000,65000000.000
LongTermDebtCurrent,9700000.000,7300000.000,3300000.000
LongTermDebtNoncurrent,2209200000.000,2283000000.000,2400800000.000
MinorityInterest,,,-1000000.000
OtherAssetsCurrent,38000000.000,41200000.000,55200000.000
OtherAssetsNoncurrent,28300000.000,26200000.000,48100000.000
OtherLiabilitiesCurrent,89800000.000,97700000.000,113800000.000
OtherLiabilitiesNoncurrent,46000000.000,35700000.000,42600000.000
PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities,6200000.000,6200000.000,6200000.000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,112000000.000,106700000.000,111100000.000
PropertyPlantAndEquipmentNet,353200000.000,339800000.000,414200000.000
RetainedEarningsAccumulatedDeficit,-490700000.000,-486200000.000,-480600000.000
StockholdersEquity,-34900000.000,-31800000.000,-32500000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-34900000.000,-31800000.000,-33500000.000
