,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AmortizationOfDeferredCharges,-62202.000,,,,-70019.000,,,,-94297.000,,,,-94392.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,70000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-1287661.000,,,,1367196.000,,,,-3610935.000,,,,-2393718.000
CostsAndExpenses,14852836.000,13910445.000,20797390.000,14072906.000,33922513.000,31835555.000,31168382.000,29188831.000,30483022.000,32715398.000,39880650.000,,36564271.000
DeferredIncomeTaxExpenseBenefit,,,,,586000.000,,,,111000.000,,,,-218000.000
DepreciationDepletionAndAmortization,241412.000,,,,238439.000,,,,256001.000,,,,163112.000
EarningsPerShareBasic,0.140,0.150,0.180,0.190,0.030,0.070,0.190,-0.140,0.060,0.140,0.050,0.030,-0.960
EarningsPerShareDiluted,0.070,0.080,0.090,0.100,0.020,0.040,0.090,-0.080,0.030,0.070,0.030,0.000,-0.960
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,-12187.000,,,,14546.000,,,,20336.000
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,157985.000,272282.000,587680.000,-1180851.000,-611702.000,-196809.000,755319.000,-1606383.000,313830.000,739362.000,-90426.000,15958.000,-7632979.000
GeneralAndAdministrativeExpense,1666286.000,1586403.000,1640759.000,1836483.000,1795721.000,1862813.000,1811750.000,1853830.000,1875270.000,1915087.000,1960879.000,2149862.000,2777106.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1135899.000,1266571.000,1562474.000,-138560.000,902568.000,966255.000,2040578.000,-873900.000,632211.000,1415424.000,818090.000,943547.000,-8355266.000
IncomeTaxExpenseBenefit,45000.000,45000.000,60000.000,-1723026.000,646000.000,393000.000,504000.000,277587.000,126000.000,270000.000,362000.000,758000.000,-288000.000
IncomeTaxesPaid,246670.000,,,,58778.000,,,,88036.000,,,,67927.000
IncreaseDecreaseInAccountsPayable,-100787.000,,,,712215.000,,,,118155.000,,,,1365704.000
IncreaseDecreaseInAccountsReceivable,1585956.000,,,,2194536.000,,,,-2065815.000,,,,2730524.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,-174000.000,,,,1222.000,,,,-31686.000,,,,0.000
IncreaseDecreaseInDeferredCharges,-416446.000,,,,-397198.000,,,,-140664.000,,,,15736.000
IncreaseDecreaseInDeferredRevenue,1144415.000,,,,1010024.000,,,,-5658136.000,,,,-2403440.000
IncreaseDecreaseInEmployeeRelatedLiabilities,-1207414.000,,,,-1071782.000,,,,-1345875.000,,,,88946.000
IncreaseDecreaseInOtherAccruedLiabilities,-180830.000,,,,-41155.000,,,,-393212.000,,,,36339.000
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,1520.000,,,,-147.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,80252.000,,,,-6990.000,,,,149217.000,,,,423216.000
IncreaseDecreaseInUnbilledReceivables,-61821.000,,,,-1131550.000,,,,-1255036.000,,,,-2008856.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,,,2453329.000,2453982.000,2453963.000,-4907320.000,2454344.000,2454070.000,2454070.000,,0.000
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,,,,5319149.000,5319149.000,5319149.000,-10638298.000,5319149.000,5319149.000,5319149.000,-10638299.000,0.000
InterestIncomeExpenseNet,-96315.000,-97457.000,-39788.000,,256.000,260.000,-188.000,,,,,,
InterestIncomeOperating,,,,,,,,,253.000,277.000,-145.000,930.000,
InterestPaid,102843.000,,,,,,,,,,,,
LaborAndRelatedExpense,6587887.000,6465344.000,6848600.000,7598802.000,7730929.000,7587441.000,7536154.000,8012551.000,7727556.000,7846666.000,9014732.000,8532333.000,8665599.000
NetCashProvidedByUsedInFinancingActivities,,,,,2860.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,2860.000,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,-83372.000,,,,-167475.000,,,,-262507.000,,,,-165281.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-83372.000,,,,-167475.000,,,,-262507.000,,,,-165281.000
NetCashProvidedByUsedInOperatingActivities,-1204289.000,,,,1549718.000,,,,-3362974.000,,,,-2248773.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1204289.000,,,,1549718.000,,,,-3362974.000,,,,-2248773.000
NetIncomeLoss,1090899.000,1221571.000,1502474.000,1584466.000,256568.000,573255.000,1536578.000,-1151487.000,506211.000,1145424.000,456090.000,185547.000,-8067266.000
OperatingCostsAndExpenses,,,,,18119290.000,16636429.000,15900309.000,14263698.000,14554979.000,15789759.000,21759219.000,17266869.000,18150616.000
OperatingExpenses,30254456.000,27315693.000,35163316.000,28529020.000,,,,,,,,,
OperatingIncomeLoss,1074229.000,1091746.000,1014582.000,1042033.000,1514014.000,1162804.000,1285447.000,732232.000,318128.000,675785.000,908661.000,927437.000,-722287.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,-7471.000,18689.000,646.000,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,8728.000,30058.000,17769.000,10920.000,12202.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,514939.000,1175482.000,473859.000,196467.000,-8055064.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,,,249097.000,591944.000,1537224.000,,,,,,
OtherCostAndExpenseOperating,7147447.000,5353501.000,5876567.000,5020829.000,6276573.000,5748872.000,5920169.000,5058752.000,6325217.000,7163886.000,7145820.000,5170818.000,6970950.000
PaymentsForProceedsFromLongtermInvestments,,,,,,,,,150000.000,,,,0.000
PaymentsForRepurchaseOfCommonStock,,,,,-2860.000,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,83372.000,,,,167475.000,,,,112507.000,,,,165281.000
ProceedsFromPaymentsForOtherFinancingActivities,0.000,,,,,,,,,,,,
SalesRevenueServicesNet,31328685.000,28407439.000,36177898.000,29571053.000,35436527.000,32998359.000,32453829.000,29921063.000,30801150.000,33391183.000,40789311.000,34047319.000,35841984.000
ShareBasedCompensation,102081.000,,,,112632.000,,,,109080.000,,,,190499.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,,,,,-28500.000,,,,,,,,5000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,,,,,,,,,,,,,0.710
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,,,,160000.000,,,,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,0.900,,,,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,,,,,-56564.000,,,,-132814.000,,,,104750.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,,,,,2.570,,,,1.980,,,,0.970
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageRemainingContractualTerm,,,,,4.620,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,,,-144437.000,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,,,,0.410,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,,,,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,,,143730.000,,,,,,0.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,,,,,,,,,0.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,,,,,,,,,0.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,,,,,,,,,0.000
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,,,,,,,,0.000
TemporaryEquityAccretionOfInterest,,,,,137472.000,138850.000,145753.000,141460.000,142075.000,146199.000,206515.000,,228699.000
WeightedAverageNumberOfDilutedSharesOutstanding,15852912.000,15955742.000,15944895.000,-31790241.000,16069314.000,16210304.000,16275351.000,-32127468.000,17294985.000,17267193.000,17270952.000,-34486995.000,8377862.000
WeightedAverageNumberOfSharesOutstandingBasic,8079744.000,8150595.000,8161451.000,-16250846.000,8202076.000,8325891.000,8298871.000,-16537706.000,8196635.000,8312891.000,8319929.000,-16545799.000,8377862.000
WeightedAverageNumberOfSharesRestrictedStock,,,,,94760.000,111282.000,59638.000,-112838.000,104927.000,49316.000,46145.000,-73799.000,0.000
