,2011-06-30,2011-09-30
AccountsPayableCurrent,2185150.000,2003122.000
AccountsReceivableNetCurrent,690043.000,448855.000
AdditionalPaidInCapitalCommonStock,275097762.000,276997361.000
Assets,80653484.000,34892224.000
AssetsCurrent,6766774.000,3122689.000
BillingsInExcessOfCostCurrent,3572.000,22865.000
CashAndCashEquivalentsAtCarryingValue,5376784.000,2026219.000
CommonStockParOrStatedValuePerShare,0.010,0.010
CommonStockSharesAuthorized,200000000.000,200000000.000
CommonStockSharesIssued,28107318.000,30325288.000
CommonStockValue,281073.000,303253.000
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,110950.000,86213.000
DeferredCompensationEquity,,0.000
DeferredFinanceCostsNoncurrentNet,3407866.000,3409681.000
DeferredRentCreditCurrent,177183.000,183621.000
DeferredRentCreditNoncurrent,490399.000,442348.000
DeferredRevenueCurrent,,212919.000
DeferredRevenueNoncurrent,,799075.000
EmployeeRelatedLiabilitiesCurrent,1430920.000,1302096.000
FiniteLivedIntangibleAssetsNet,268256.000,309706.000
Liabilities,51641398.000,
LiabilitiesAndStockholdersEquity,80653484.000,34892224.000
LiabilitiesCurrent,10177831.000,7457790.000
LiabilitiesNoncurrent,41463567.000,42489335.000
LongTermDebtCurrent,688410.000,702962.000
LongTermDebtNoncurrent,40973168.000,41247912.000
OtherAccruedLiabilitiesCurrent,2089783.000,1487409.000
PreferredStockParOrStatedValuePerShare,0.010,0.010
PreferredStockSharesAuthorized,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,588997.000,561402.000
PropertyPlantAndEquipmentNet,66528904.000,24530136.000
ProvisionForLossOnContracts,940508.000,849362.000
RestrictedCashAndCashEquivalentsNoncurrent,3202856.000,3009970.000
RetainedEarningsAccumulatedDeficit,-245653910.000,-291642051.000
SharesSubjectToMandatoryRedemptionSettlementTermsAmountCurrent,529545.000,24525.000
StockholdersEquity,,-15054901.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,29012086.000,
TreasuryStockShares,42169.000,42699.000
TreasuryStockValue,712839.000,713464.000
WarrantsAndRightsOutstanding,2132760.000,668909.000
