,2011-11-30,2012-05-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,-84000.000,,,,,344000.000
AmortizationOfDebtDiscountPremium,42000.000,,122000.000,,,,26000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,17920021.000,,,,68765670.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-77000.000,,0.000,,,,0.000,
CostOfGoodsSold,261000.000,200000.000,163000.000,132000.000,122000.000,263000.000,206000.000,222000.000
DebtConversionConvertedInstrumentAmount1,,,88000.000,,,,,
DepreciationDepletionAndAmortization,36000.000,,25000.000,,,,16000.000,
DirectOperatingCosts,305000.000,265000.000,205000.000,234000.000,308000.000,250000.000,339000.000,414000.000
EarningsPerShareBasicAndDiluted,-0.030,-0.060,-0.030,-0.010,-0.010,-0.020,-0.020,-0.010
GeneralAndAdministrativeExpense,369000.000,569000.000,460000.000,295000.000,267000.000,407000.000,536000.000,577000.000
GrossProfit,127000.000,4000.000,36000.000,143000.000,127000.000,155000.000,181000.000,220000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-599000.000,-1584000.000,-1049000.000,-386000.000,-473000.000,-552000.000,-694000.000,-771000.000
IncreaseDecreaseInAccountsPayable,176000.000,,-82000.000,,,,201000.000,
IncreaseDecreaseInAccruedLiabilities,160000.000,,75000.000,,,,,
IncreaseDecreaseInInventories,29000.000,,-15000.000,,,,-23000.000,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,,,,316000.000,
IncreaseDecreaseInOtherAccruedLiabilities,,,474000.000,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,-31000.000,,-35000.000,,,,-25000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,72000.000,
InterestExpense,194000.000,148000.000,290000.000,177000.000,316000.000,747000.000,313000.000,558000.000
InterestPaid,3000.000,,2000.000,,,,2000.000,
IssuanceOfStockAndWarrantsForServicesOrClaims,98000.000,,237000.000,,,,,
LitigationSettlementExpense,,754000.000,420000.000,0.000,25000.000,50000.000,0.000,0.000
NetCashProvidedByUsedInFinancingActivities,96000.000,,200000.000,,,,113000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,96000.000,,200000.000,,,,113000.000,
NetCashProvidedByUsedInInvestingActivities,,,,,,,-7000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,-7000.000,
NetCashProvidedByUsedInOperatingActivities,-173000.000,,-200000.000,,,,-106000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-173000.000,,-200000.000,,,,-106000.000,
NetIncomeLoss,-793000.000,-1732000.000,-1339000.000,-563000.000,-789000.000,-854000.000,-1007000.000,-1329000.000
NumberOfOperatingSegments,,,1.000,,,,,
OperatingExpenses,726000.000,1588000.000,1085000.000,529000.000,600000.000,707000.000,875000.000,991000.000
OtherSellingGeneralAndAdministrativeExpense,52000.000,,,,,,,
PaymentsOfStockIssuanceCosts,,,,,,,,82000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,7000.000,
ProceedsFromIssuanceOrSaleOfEquity,,,125000.000,,,,,
ProceedsFromNotesPayable,,,15000.000,,,,113000.000,
ProceedsFromOtherDebt,,,0.000,,,,,
ProceedsFromOtherShortTermDebt,80000.000,,,,,,,
ProceedsFromPaymentsForOtherFinancingActivities,-14000.000,,,,,,,
ProceedsFromRepaymentsOfBankOverdrafts,,,60000.000,,,,0.000,
ProceedsFromShortTermDebt,30000.000,,,,,,,
ProvisionForOtherLosses,,,238000.000,,,,114000.000,
Revenues,388000.000,204000.000,199000.000,275000.000,248000.000,419000.000,387000.000,442000.000
SalesRevenueNet,388000.000,204000.000,199000.000,275000.000,248000.000,419000.000,387000.000,442000.000
ShareBasedCompensation,212000.000,,237000.000,,,,252000.000,
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,,,303000.000,,,,,
StockIssuedDuringPeriodSharesIssuedForCash,,,2500000.000,,,,,
StockIssuedDuringPeriodSharesIssuedForNoncashConsideration,,,460000.000,,,,,
StockIssuedDuringPeriodSharesShareBasedCompensationGross,,,1000000.000,,,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,15000.000,,,,,
StockIssuedDuringPeriodValueIssuedForCash,,,125000.000,,,,,
StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,,,37000.000,,,,,
StockIssuedDuringPeriodValueIssuedForServices,,,237000.000,,,,,
StockIssuedDuringPeriodValueShareBasedCompensation,20000.000,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,31010587.000,45826904.000,45826904.000,52853404.000,-92267424.000,63299507.000,89737984.000
