,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,13146000.000,,,,5207000.000,,,,-29705000.000,,,,13570000.000,
AllocatedShareBasedCompensationExpense,,,,791000.000,936000.000,,1400000.000,1000000.000,980000.000,1220000.000,1300000.000,840000.000,850000.000,810000.000,1300000.000,730000.000
AmortizationOfFinancingCostsAndDiscounts,,,680000.000,,,,299000.000,,,,277000.000,,,,252000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,125000.000,145000.000,,83000.000,83.000,83.000,-73166.000,42.000,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,0.560,0.060,,,,0.410,,,1.080,0.060,,0.010,0.510
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,0.560,0.060,,,,0.410,,,1.080,0.060,,0.010,0.510
BusinessAcquisitionsProFormaNetIncomeLoss,,,,24195000.000,3163000.000,,,,20702000.000,,,62283000.000,3673000.000,,420000.000,29577000.000
BusinessAcquisitionsProFormaRevenue,,,,42899000.000,46792000.000,,,,49243000.000,,,48372000.000,48207000.000,,48581000.000,49201000.000
BusinessCombinationAcquisitionRelatedCosts,65000.000,182000.000,0.000,485000.000,282000.000,31000.000,,64000.000,392000.000,,86000.000,27000.000,59000.000,13000.000,62000.000,11000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,,,,,,,,444000.000,0.000
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,133000.000,11000.000,,,,139000.000,,,45000.000,-48000.000,,-252000.000,-534000.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,542000.000,3192000.000,,,,1732000.000,,,161000.000,813000.000,,239000.000,938000.000
CapitalExpendituresIncurredButNotYetPaid,,,-407000.000,,,,141000.000,,,,2537000.000,,,,-3674000.000,
CashAcquiredFromAcquisition,,,,,,,,,,,,,,,-8316000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,2274000.000,,,,14809000.000,,,,7033000.000,,,,2260000.000,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,1000000.000,,,,1400000.000,,,,1200000.000,
CommonStockDividendsPerShareCashPaid,,,,,,,,,,,,,,,0.210,
CommonStockDividendsPerShareDeclared,,,,0.180,0.180,,0.190,0.190,0.190,,0.190,0.190,0.200,,0.210,0.000
ComprehensiveIncomeNetOfTax,,,-2058000.000,22014000.000,1197000.000,6910000.000,10234000.000,4059000.000,19371000.000,29818000.000,42210000.000,61665000.000,4232000.000,36213000.000,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,22010000.000,-1205000.000,,-10251000.000,-4073000.000,-19385000.000,33754000.000,-42210000.000,-61665000.000,-4232000.000,108107000.000,-608000.000,-30550000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesPurchaseOfInterestByParent,,,,,,,,,,,,,,,8400000.000,
ConstructionAndDevelopmentCosts,,,310000.000,297000.000,193000.000,64000.000,262000.000,181000.000,220000.000,249000.000,330000.000,198000.000,162000.000,89000.000,199000.000,133000.000
CostsAndExpenses,39294000.000,40899000.000,35424000.000,34904000.000,36859000.000,34183000.000,36695000.000,36616000.000,37938000.000,35600000.000,41455000.000,38871000.000,38402000.000,37919000.000,41829000.000,43267000.000
DepreciationAndAmortization,13248000.000,13667000.000,13231000.000,13039000.000,14150000.000,13886000.000,14383000.000,14356000.000,14508000.000,14806000.000,16295000.000,15885000.000,15779000.000,15598000.000,15935000.000,16741000.000
DepreciationAndAmortizationDiscontinuedOperations,,,,,,,178000.000,0.000,138000.000,,,,,,,
DepreciationDepletionAndAmortization,,,13231000.000,,,,14561000.000,,,,16295000.000,,,,15935000.000,
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,0.000,0.000,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,,,,0.000,0.000,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,-1655000.000,-896000.000,,,,,,,,,,,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,16101000.000,16686000.000,17444000.000,16736000.000,18270000.000,15781000.000,17092000.000,17617000.000,17872000.000,15298000.000,19368000.000,18132000.000,18073000.000,17428000.000,18910000.000,19162000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,14597000.000,-40000.000,22859000.000,0.000,4030000.000,8796000.000,0.000,18072000.000,25960000.000,0.000,0.000,0.000,0.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,14727000.000,-40000.000,23056000.000,97000.000,4838000.000,9486000.000,0.000,18254000.000,28267000.000,0.000,0.000,0.000,0.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,23056000.000,97000.000,,9486000.000,0.000,18254000.000,28267000.000,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,130000.000,0.000,197000.000,97000.000,808000.000,690000.000,0.000,182000.000,2307000.000,0.000,0.000,0.000,0.000,,
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,,,22859000.000,0.000,,8796000.000,0.000,18072000.000,25960000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,1020000.000,149000.000,,1055000.000,0.000,329000.000,2849000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,,,690000.000,0.000,182000.000,2307000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,1642000.000,312000.000,,1923000.000,0.000,649000.000,6619000.000,,,,,,
DividendsCommonStockCash,,,,,,,0.000,,,,,,,,,
EarningsPerShareBasic,,,,0.550,0.040,,0.210,0.030,0.400,0.540,0.730,1.080,0.060,0.640,0.010,0.510
EarningsPerShareBasicAndDiluted,-0.040,0.290,-0.050,,,,,,,,,,,,,
EarningsPerShareDiluted,,,,0.540,0.040,,0.200,0.030,0.400,0.540,0.730,1.070,0.060,0.630,0.010,0.510
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,,,,,110000.000,100000.000,90000.000,100000.000,100000.000,120000.000,120000.000,110000.000,300000.000,160000.000
EscrowDepositsRelatedToPropertySales,,,,,,,,,,,,,,,43295000.000,
ForwardContractIndexedToIssuersEquityForwardRate,,,,,,,,17.250,,,,,,,,
ForwardContractIndexedToIssuersEquityShares,,,,,,,,7047958.000,,,,,,,,
GainLossOnContractTermination,,,,,,,8000000.000,,,,8000000.000,,,,,
GainLossOnDispositionOfAssets,,,-34000.000,,,,,,,,,,,,0.000,30022000.000
GainLossOnSaleOfProperties,,,,,,,8796000.000,,,,40966000.000,,,,0.000,
GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,,,,,,,,,,,40966000.000,59904000.000,0.000,,,
GainLossOnSaleOfProperty,,,,,,,8800000.000,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,41000000.000,,,,9700000.000,
