,2011-03-31
AccountsPayableCurrent,111100000.000
AccountsReceivableNetCurrent,291800000.000
AccrualForEnvironmentalLossContingencies,1700000.000
AccruedLiabilitiesCurrent,211800000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1423300000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,4300000.000
AdditionalPaidInCapital,2140100000.000
AllowanceForDoubtfulAccountsReceivableCurrent,7300000.000
Assets,6925500000.000
AssetsCurrent,464200000.000
CashAndCashEquivalentsAtCarryingValue,45800000.000
CommonStockParOrStatedValuePerShare,0.010
CommonStockSharesAuthorized,400000000.000
CommonStockSharesIssued,179200000.000
CommonStockSharesOutstanding,178000000.000
CommonStockValue,1800000.000
ConstructionInProgressGross,1332400000.000
DebtInstrumentFairValue,2166900000.000
DeferredTaxAssetsNetCurrent,15500000.000
DeferredTaxLiabilitiesNoncurrent,65600000.000
FairValueLiabilitiesMeasuredOnRecurringBasisDerivativeFinancialInstrumentsLiabilities,200000.000
ForeignCurrencyDerivativeAssetsAtFairValue,200000.000
GuaranteeObligationsMaximumExposure,50300000.000
LiabilitiesAndStockholdersEquity,6925500000.000
LiabilitiesCurrent,353200000.000
LineOfCredit,0.000
LineOfCreditFacilityRemainingBorrowingCapacity,750000000.000
LongTermDebt,1856700000.000
LongTermDebtCurrent,30300000.000
LongTermDebtNoncurrent,1826400000.000
MalpracticeLossContingencyLettersOfCreditAndSuretyBonds,556000000.000
NotionalAmountOfPriceRiskCashFlowHedgeDerivatives,5700000.000
OtherAssetsCurrent,111100000.000
OtherAssetsNoncurrent,88200000.000
OtherLiabilitiesNoncurrent,101300000.000
OtherNotesPayable,158300000.000
PreferredStockParOrStatedValuePerShare,0.010
PreferredStockSharesAuthorized,50000000.000
PreferredStockSharesIssued,0.000
PreferredStockValue,0.000
PropertyPlantAndEquipmentGross,7796400000.000
PropertyPlantAndEquipmentNet,6373100000.000
PropertyPlantAndEquipmentOther,88100000.000
RestructuringReserveCurrent,800000.000
RetainedEarningsAccumulatedDeficit,2460000000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,32.470
StockholdersEquity,4579000000.000
TreasuryStockShares,1200000.000
TreasuryStockValue,27200000.000
