,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccountsPayableAndAccruedLiabilities,,,,,,,,,,31086.000,49491.000,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,57371.000,60000.000,115276.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,3228.000,4551.000
AccountsPayableAndOtherAccruedLiabilities,,,,,,,,,,,,,,140000.000
AccountsPayableCurrent,34199.000,41511.000,41849.000,42436.000,43273.000,43902.000,44802.000,44823.000,69588.000,,,,,
AccountsReceivableNetCurrent,,,,,,,,,,45810.000,71429.000,23251.000,41905.000,22731.000
AccruedBonusesCurrent,,,,,,,,,,,,60000.000,,
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,,,,,1904.000,,
AccruedUtilitiesCurrentAndNoncurrent,,,,,,,,,,,,60000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1717.000,3497.000,5423.000,7380.000,9337.000,10595.000,11698.000,12396.000,12652.000,,,,-29660.000,31323.000
AdditionalPaidInCapital,82751.000,82751.000,82751.000,82751.000,83008.000,83413.000,83413.000,83413.000,83413.000,2209434.000,235021.000,235021.000,259771.000,294207.000
Assets,42633.000,53252.000,37857.000,11062.000,7072.000,4389.000,1824.000,463.000,213.000,2382278.000,334496.000,140655.000,,216280.000
AssetsCurrent,32910.000,44616.000,30421.000,5583.000,3550.000,2125.000,663.000,,6.000,242031.000,306305.000,114162.000,27730.000,190213.000
BankOverdrafts,,,,401.000,,,116.000,120.000,,,,,,
CapitalizedComputerSoftwareGross,,,,,,,,,,,,,11265.000,11265.000
Cash,,,,,,,,,,,,,,96397.000
CashAndCashEquivalentsAtCarryingValue,15351.000,26442.000,13088.000,,145.000,106.000,,,6.000,124197.000,186009.000,65424.000,34336.000,96397.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000
CommonStockSharesIssued,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,38369556.000,42354556.000,42354556.000,42354556.000,43168556.000
CommonStockSharesOutstanding,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,12063381.000,20000000.000,20000000.000,42354556.000,20000000.000,43168556.000
CommonStockSharesSubscriptions,,,,,,,,,,,,,,0.000
CommonStockValue,12063.000,12063.000,12063.000,12063.000,12063.000,12063.000,12063.000,12063.000,12063.000,38369.000,42355.000,42355.000,42605.000,43169.000
DebtInstrumentInterestRateStatedPercentage,,,,0.050,0.050,0.050,0.050,,,,,,,
DebtInstrumentUnamortizedDiscount,1067.000,971.000,875.000,767.000,913.000,1200.000,1048.000,933.000,818.000,,,,,
DeferredRevenueCurrent,59628.000,72584.000,46845.000,12213.000,7430.000,4405.000,1447.000,,0.000,,,,,
DeferredTaxAssetsGross,,,,53026.000,,,,53026.000,,,,210419.000,,
DeferredTaxAssetsNet,,,,,,,,,,,,0.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,-210419.000,,
