,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableCurrent,,500.000,,0.000,1500.000
AccountsReceivableNetCurrent,,,2000.000,,
AdditionalPaidInCapital,,,26430.000,27430.000,25801.000
Assets,,0.000,26767.000,21389.000,20989.000
AssetsCurrent,,,3655.000,498.000,3458.000
Cash,,,1655.000,498.000,3458.000
CashAndCashEquivalentsAtCarryingValue,,,1655.000,,3458.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,10000000.000,10000000.000,10000000.000,10000000.000,10125000.000
CommonStockValue,1000.000,1000.000,1000.000,1000.000,1013.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,4191.000
DeferredTaxAssetsValuationAllowance,,,,,-4191.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-1000.000,-2000.000,-663.000,-12041.000,-12325.000
DueToRelatedPartiesCurrent,,500.000,,5000.000,5000.000
Liabilities,,1000.000,,5000.000,6500.000
LiabilitiesAndStockholdersEquity,,0.000,26767.000,21389.000,20989.000
LiabilitiesCurrent,,1000.000,,5000.000,6500.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,0.000,0.000
PropertyPlantAndEquipmentGross,,,,24430.000,22801.000
PropertyPlantAndEquipmentNet,,,23112.000,20891.000,17531.000
StockholdersEquity,,-1000.000,26767.000,16389.000,14489.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,-1000.000,,16389.000,14489.000
