,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,249363.000,422223.000,396375.000,445755.000,196178.000,232736.000,379517.000
AccountsPayableCurrent,1319477.000,1079089.000,,,,,,,,
AccountsPayableCurrentAndNoncurrent,,,390458.000,,,,,,,
AccumulatedDistributionsInExcessOfNetIncome,,,,,2718480.000,3715354.000,4573835.000,5288400.000,6227832.000,7118177.000
AdditionalPaidInCapital,199992.000,-3005775.000,-3403229.000,-1188254.000,2398277.000,7987656.000,13575862.000,18934263.000,25539970.000,29387550.000
Assets,2867123.000,403489.000,195056.000,47905311.000,50990117.000,45212649.000,45273323.000,47023678.000,52882963.000,56200277.000
CashAndCashEquivalentsAtCarryingValue,232635.000,346078.000,118185.000,1689711.000,5281172.000,356046.000,1018165.000,2848985.000,9038642.000,12784076.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,,,,,,
CommonStockSharesAuthorized,400000000.000,,400000000.000,400000000.000,,,,,,
CommonStockSharesIssued,,,8000.000,0.000,,,,,,
CommonStockSharesOutstanding,8000.000,8000.000,8000.000,0.000,,,,,,
CommonStockValue,8.000,,,,,,,,,
DeferredFinanceCostsNet,,,,136930.000,103046.000,,,,,
DeferredIncomeTaxesAndOtherAssetsCurrent,,135000.000,,,,,,,,
DeferredOfferingCosts,2614621.000,0.000,,,,,,,,
DeferredTaxAssetsGross,,,180088.000,726017.000,726017.000,,,,,
DeferredTaxAssetsValuationAllowance,,,180088.000,726017.000,726017.000,,,,,
DividendsPayableCurrentAndNoncurrent,,,,,23738.000,54282.000,77632.000,103354.000,137207.000,157510.000
DueToAffiliateCurrent,1532667.000,2668579.000,,,,,,,,
DueToRelatedPartiesCurrentAndNoncurrent,,,3658038.000,4889407.000,5064415.000,5140892.000,5367282.000,5571599.000,5684753.000,5893494.000
FiniteLivedIntangibleAssetsNet,,,,601623.000,343785.000,85946.000,,,,
InvestmentBuildingAndBuildingImprovements,,,,38824096.000,38824096.000,38824096.000,38828396.000,38910238.000,38889177.000,38891395.000
Land,,,,6301838.000,6301838.000,6301838.000,6301838.000,6301838.000,6301838.000,6301838.000
Liabilities,,,4048496.000,50908497.000,51310031.000,40939797.000,36270475.000,33376746.000,33569442.000,33929331.000
LiabilitiesAndStockholdersEquity,,,195056.000,47905311.000,50990117.000,45212649.000,45273323.000,47023678.000,52882963.000,56200277.000
LiabilityForUncertainTaxPositionsNoncurrent,,,,,0.000,,,,0.000,
OtherAssets,19867.000,57411.000,76871.000,351113.000,464937.000,348340.000,194048.000,398852.000,458316.000,376435.000
OtherLiabilities,,,,19727.000,49655.000,31207.000,28533.000,56292.000,67287.000,51253.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RealEstateAccumulatedDepreciation,,,,,364520.000,,,,1822971.000,
RealEstateFederalIncomeTaxBasis,,,,,46975000.000,,,,47020129.000,
RealEstateGrossAtCarryingValue,,,,,45125934.000,,,,45191015.000,
RealEstateInvestmentPropertyAccumulatedDepreciation,,,,,364520.000,729041.000,1093561.000,1456916.000,1822971.000,2189758.000
RealEstateInvestmentPropertyAtCost,,,,45125934.000,45125934.000,45125934.000,45130234.000,45212076.000,45191015.000,45193233.000
RealEstateInvestmentPropertyNet,,,,,,44396893.000,44036673.000,43755160.000,43368044.000,43003475.000
RealEstateInvestments,,,,,44761414.000,,,,,
RetainedEarningsAccumulatedDeficit,-185021.000,-338412.000,-450219.000,-1815043.000,,,,,,
SecuredDebt,,,,45750000.000,45750000.000,35317041.000,30351273.000,27449323.000,27447459.000,27447557.000
StockholdersEquity,14979.000,-3344179.000,-3853440.000,-3003186.000,-319914.000,4272852.000,9002848.000,13646932.000,19313521.000,22270946.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,14979.000,-3344179.000,-3853440.000,-3003186.000,-319914.000,4272852.000,9002848.000,13646932.000,19313521.000,22270946.000
UnamortizedDebtIssuanceExpense,,,,,,69142.000,34910.000,677.000,2541.000,2443.000
