,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AdditionsToNoncurrentAssets,,,4760000.000,,,,4731000.000,
AllocatedShareBasedCompensationExpense,,,3217000.000,3031000.000,2357000.000,2385000.000,2957000.000,1028000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,2003000.000,1887000.000,1475000.000,1346000.000,1842000.000,640000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,11773000.000,353215000.000,353215000.000,,3224000.000,143471000.000
AssetImpairmentCharges,,,,,,,985000.000,
CapitalExpendituresIncurredButNotYetPaid,,,600000.000,,,,1500000.000,
CommonStockDividendsPerShareDeclared,,,,0.200,0.200,,,
ComprehensiveIncomeNetOfTax,9421000.000,11741000.000,10357000.000,9790000.000,13190000.000,13625000.000,1299000.000,7432000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,375000.000,73000.000,382000.000,-115000.000,70000.000,403000.000,-78000.000,115000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,9796000.000,11814000.000,10739000.000,9675000.000,13260000.000,14028000.000,-1377000.000,7547000.000
CostOfGoodsSold,33895000.000,38174000.000,37884000.000,37428000.000,43526000.000,48924000.000,47110000.000,44572000.000
CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,30000.000,-488000.000,26000.000,-163000.000,862000.000,,,
Depreciation,,,3400000.000,,,,,
DepreciationDepletionAndAmortization,,,3352000.000,,,,3564000.000,
EarningsPerShareBasic,0.380,0.480,0.420,0.390,0.490,0.530,0.020,0.330
EarningsPerShareDiluted,0.380,0.480,0.410,0.390,0.490,0.530,0.020,0.330
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,-161000.000,,,,85000.000,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,1214000.000,1144000.000,882000.000,1039000.000,1115000.000,388000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,505000.000,,,,186000.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,505000.000,,,,186000.000,
GrossProfit,64368000.000,70190000.000,68901000.000,67481000.000,75023000.000,88118000.000,73685000.000,71991000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,15732000.000,19676000.000,18086000.000,15441000.000,19277000.000,25407000.000,2853000.000,15564000.000
IncomeTaxExpenseBenefit,5966000.000,7374000.000,7373000.000,5603000.000,6928000.000,11609000.000,2470000.000,7138000.000
IncomeTaxesPaid,,,7100000.000,,,,3300000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,1807000.000,,,,5793000.000,
IncreaseDecreaseInAccountsReceivable,,,1851000.000,,,,140000.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,,,-2916000.000,,,,1113000.000,
IncreaseDecreaseInIncomeTaxes,,,,,,,4900000.000,1500000.000
IncreaseDecreaseInInventories,,,4066000.000,,,,-632000.000,
IncreaseDecreaseInOtherDeferredLiability,,,780000.000,,,,601000.000,
IncreaseDecreaseInOtherOperatingAssets,,,304000.000,,,,-53000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-2387000.000,,,,2887000.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,397000.000,138000.000,135000.000,-464000.000,378000.000,64000.000
MinorityInterestInNetIncomeLossJointVenturePartners,,,,,,,143000.000,
NetCashProvidedByUsedInContinuingOperations,,,3831000.000,,,,-5531000.000,
NetCashProvidedByUsedInFinancingActivities,,,-3728000.000,,,,-4772000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-3728000.000,,,,-4772000.000,
NetCashProvidedByUsedInInvestingActivities,,,-4760000.000,,,,-13231000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-4760000.000,,,,-13231000.000,
NetCashProvidedByUsedInOperatingActivities,,,12480000.000,,,,12387000.000,
