,2011-09-30,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentForAmortization,,,,,,,,,184757.000,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,,,,,56723.000,,,,119764.000,,39905.000,,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,,,,,,,,,77031.000,,35014.000,,,
AmortizationOfDebtDiscountPremium,,,,184366.000,,,,0.000,,,,,,,,,
CashAcquiredFromAcquisition,,,,,,,,10505.000,,,,,,,,,
CashPeriodIncreaseDecrease,,,,773771.000,,,,-573274.000,,,,805164.000,,-74952.000,,,
ConversionOfStockAmountConverted1,,,,192500.000,,,,,,,,,,,,,
ConversionOfStockAmountIssued1,,,,,,,,0.000,,,,,,,,,
ConversionOfStockSharesIssued1,,,,427778.000,,,,,,,,,,,,,
CostOfGoodsSold,,,,,,,,11875.000,22106.000,20234.000,67126.000,24033.000,30671.000,25119.000,20893.000,19930.000,42313.000
CostsAndExpensesRelatedParty,,,41150.000,41150.000,31950.000,42150.000,41150.000,20317.000,9900.000,9900.000,8900.000,10900.000,7900.000,6900.000,6900.000,6900.000,6900.000
DebtConversionOriginalDebtAmount1,,,,,,,,0.000,,,,,,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,0.000,,,,,,,,,,,,,
DebtIssuanceCosts,,,78458.000,0.000,0.000,0.000,0.000,,,,,,,,,,
DeferredCompensationArrangementWithIndividualFairValueOfSharesIssued,,,,,,,,,,,,683000.000,,683000.000,,,
EarningsPerShareBasic,,,,,,,,,,,,0.000,,-0.040,-0.090,-0.170,
EarningsPerShareBasicAndDiluted,0.010,0.000,-0.010,-0.020,-0.010,-0.020,-0.020,-0.010,-0.020,-0.020,-0.010,,,,,,
EarningsPerShareDiluted,,,,,,,,,,,,0.000,,-0.040,-0.090,-0.170,
FairValueAdjustmentOfWarrants,,,,,,,,,,,,77031.000,,35014.000,,,
FairValueAssumptionsExpectedDividendRate,,,,0.000,,,,0.000,,0.000,,0.000,0.000,0.000,,,
FairValueAssumptionsExpectedVolatilityRate,,,,0.787,,,,0.882,,0.818,,1.075,1.113,1.263,,,
FairValueAssumptionsRiskFreeInterestRate,,,,0.025,,,,,,,,,,,,,
GainLossOnDerivativeInstrumentsNetPretax,,,234321.000,185021.000,93090.000,275232.000,-359428.000,148257.000,644107.000,-149686.000,81939.000,1113801.000,570797.000,-14953.000,-328008.000,-1587854.000,183994.000
GainsLossesOnExtinguishmentOfDebt,,,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
GeneralAndAdministrativeExpense,75160.000,34886.000,590506.000,726196.000,701318.000,796017.000,642564.000,566666.000,933060.000,655950.000,593477.000,741596.000,535389.000,327874.000,706609.000,669574.000,901040.000
GrossProfit,,,,,,,,29566.000,64589.000,39407.000,-9223.000,37882.000,50147.000,21258.000,24995.000,19752.000,-10897.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-84359.000,-43732.000,,,,,,,,,,,,,,,
IncomeTaxesPaid,,,,0.000,,,,0.000,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,70253.000,,,,31339.000,,,,25801.000,,-11984.000,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,7181.000,,,,6900.000,,,,-1000.000,,6900.000,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,-11570.000,,,,-18267.000,,8807.000,,,
IncreaseDecreaseInAccruedLiabilities,,,,9375.000,,,,0.000,,,,,,,,,
IncreaseDecreaseInDerivativeLiabilities,,,,,,,,,,,,,,14953.000,,,
IncreaseDecreaseInDueFromRelatedPartiesCurrent,,,,,,,,-10413.000,,,,,,,,,
IncreaseDecreaseInInventories,,,,,,,,15866.000,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,-322.000,,,,-1173.000,,,,,,558.000,,,
IncreaseDecreaseInSecurityDeposits,,,,0.000,,,,,,,,,,,,,
InterestExpense,-2651.000,-2915.000,69468.000,193741.000,41346.000,88842.000,80388.000,657.000,4055.000,102.000,1251.000,68.000,147.000,621.000,,,
InterestExpenseDebt,,,,14784.000,,,,,,,,,,,,,
InterestExpenseOther,,,,,,,,,,,,,,,95.000,64.000,
InterestPaid,,,,12075.000,,,,658.000,,,,68.000,,363.000,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,94100.000,,,,115000.000,,,,,
LeaseAndRentalExpense,1000.000,4500.000,,,,,,,,,,,,,,,
LoansAssumed1,,,,0.000,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,1133250.000,,,,5000.000,,,,1291574.000,,265030.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,1133250.000,,,,5000.000,,,,1291574.000,,265030.000,,,
NetCashProvidedByUsedInInvestingActivities,,,,0.000,,,,10505.000,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,0.000,,,,10505.000,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,,-359479.000,,,,-588779.000,,,,-486410.000,,-339982.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,-359479.000,,,,-588779.000,,,,-486410.000,,-339982.000,,,
NetIncomeLoss,-84359.000,-43732.000,-586758.000,-899305.000,-781680.000,-1045037.000,-1426802.000,-655797.000,-1407749.000,-1142081.000,-842746.000,215594.000,-83636.000,-439405.000,-1146519.000,-2499974.000,-1133482.000
NoncashOrPartNoncashAcquisitionAccountsReceivableAcquired1,,,,,,,,39495.000,,,,,,,,,
NoncashOrPartNoncashAcquisitionDebtAssumed1,,,,0.000,,,,,,,,,,,,,
NoninterestExpenseOfferingCost,,,,0.000,,,,,,,,,,,,,
NonoperatingIncomeExpense,,,,,,,,,-321715.000,-149788.000,,1113733.000,570650.000,-15574.000,-328103.000,-1587918.000,183764.000
OfficersCompensation,,,,,,,,95000.000,,,,,,,,,
OperatingExpenses,,,673313.000,890585.000,833424.000,1057603.000,,832963.000,1150623.000,1031700.000,914211.000,936021.000,704433.000,445089.000,843411.000,931808.000,1306349.000
OperatingIncomeLoss,-81708.000,-39386.000,-673313.000,-890585.000,-833424.000,-1057603.000,-815975.000,-803397.000,-1086034.000,-992293.000,-923434.000,-898139.000,-654286.000,-423831.000,-818416.000,-912056.000,-1317246.000
OperatingLeasesRentExpenseNet,,,,,,,,20317.000,,,,10900.000,,,,,
OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTax,,-1431.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,,,-160.000,0.000,0.000,0.000,0.000,,,,,,,,,,
