,2012-01-31,2013-01-31,2014-01-31,2015-01-31
CashPeriodIncreaseDecrease,-1228.000,734.000,-659.000,-154.000
DebtInstrumentDecreaseForgiveness,,-5620.000,0.000,0.000
EarningsPerShareBasic,0.000,,0.000,0.000
ExplorationCosts,6500.000,0.000,0.000,
GainsLossesOnExtinguishmentOfDebt,,5620.000,0.000,0.000
GeneralAndAdministrativeExpense,26373.000,17166.000,8151.000,7980.000
IncomeLossFromContinuingOperations,-26373.000,-56813.000,-23951.000,-24580.000
IncomeTaxesPaid,0.000,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayable,-3655.000,5938.000,1928.000,-7235.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,0.000,0.000
IncreaseDecreaseInDepositOtherAssets,,-264.000,264.000,-339.000
IncreaseDecreaseInInterestPayableNet,172.000,101.000,,
IncreaseDecreaseInNotesPayableRelatedParties,0.000,,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,,35844.000,-900.000,-2000.000
InterestExpense,-172.000,-101.000,0.000,0.000
InterestPaid,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInFinancingActivities,23800.000,51844.000,21100.000,32000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,23800.000,51844.000,21100.000,32000.000
NetCashProvidedByUsedInInvestingActivities,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInOperatingActivities,-25028.000,-51110.000,-21759.000,-32154.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-25028.000,-51110.000,-21759.000,-32154.000
NetIncomeLoss,-26545.000,-51265.000,-23951.000,-24580.000
OperatingExpenses,,56813.000,23951.000,24580.000
OtherComprehensiveIncomeLossNetOfTax,,,0.000,0.000
OtherGeneralAndAdministrativeExpense,13573.000,,,
OtherIncome,,29.000,0.000,0.000
ProceedsFromIssuanceOfCommonStock,25000.000,15000.000,22000.000,34000.000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,5000.000,0.000,0.000,0.000
ProceedsFromNotesPayable,-1200.000,1000.000,0.000,0.000
ProceedsFromRepaymentsOfNotesPayable,,0.000,0.000,0.000
ProfessionalFees,6300.000,39647.000,15800.000,16600.000
RevenueMineralSales,0.000,0.000,0.000,0.000
Revenues,0.000,0.000,0.000,0.000
SalesRevenueNet,0.000,-29.000,0.000,0.000
StockholdersEquityPeriodIncreaseDecrease,-26545.000,-51265.000,,
WeightedAverageNumberOfSharesOutstandingBasic,7924658.000,8523770.000,9048712.000,9587726.000
