,2012-03-31,2013-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-57501.000,-12459.000
CostOfGoodsAndServicesSold,0.000,
CostOfRevenue,,0.000
CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,-2025.000,
CurrentIncomeTaxExpenseBenefit,,0.000
EarningsPerShareBasicAndDiluted,-0.000,0.000
ExplorationExpense,,12707.000
FeesAndCommissionsTransferAgent,-19509.000,
GeneralAndAdministrativeExpense,1515.000,4222.000
GrossProfit,0.000,0.000
IncomeTaxExpenseBenefitContinuingOperations,,30900.000
IncomeTaxesPaidNet,0.000,0.000
IncreaseDecreaseInAccountsPayable,-461.000,3716.000
IncreaseDecreaseInAccountsReceivable,-504.000,-254.000
IncreaseDecreaseInAccruedLiabilities,,194.000
IncreaseDecreaseInPrepaidExpense,1051.000,201.000
InterestExpense,0.000,-194.000
InterestPaid,0.000,0.000
LeaseAndRentalExpense,2388.000,2388.000
NetCashProvidedByUsedInFinancingActivities,0.000,75000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,75000.000
NetCashProvidedByUsedInInvestingActivities,-2025.000,-590.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2025.000,-590.000
NetCashProvidedByUsedInOperatingActivities,-55476.000,-86869.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-55476.000,-86869.000
NetIncomeLoss,-55562.000,-90726.000
NoninterestExpenseDirectorsFees,6000.000,
NonoperatingIncomeExpense,,-194.000
OperatingIncomeLoss,-55562.000,-90532.000
OtherNonoperatingIncomeExpense,0.000,
PaymentsToAcquireOilAndGasProperty,,-590.000
ProceedsFromIssuanceOfCommonStock,0.000,35000.000
ProceedsFromNotesPayable,,40000.000
ProceedsFromRepaymentsOfNotesPayable,,40000.000
ProfessionalFees,26150.000,33805.000
ProfitLoss,,-90726.000
Revenues,0.000,0.000
SalesRevenueNet,0.000,0.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,-30900.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,25991233.000
WeightedAverageNumberOfSharesOutstandingBasic,25740000.000,
