,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,,,,,,,,,,,,,,,,,,,,,,,,23398000.000
AccountsPayableTradeCurrent,13000.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,27752000.000,32826000.000,33275000.000,37777000.000,42642000.000,43384000.000,38084000.000,43777000.000,51959000.000,48364000.000,52641000.000,52541000.000,64657000.000,79796000.000,79452000.000,75418000.000,87653000.000,82825000.000,85183000.000,80879000.000,75326000.000,71336000.000,69974000.000,63283000.000
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,,,,,,,3178000.000,,,,2902000.000,
AccruedLiabilitiesCurrent,10621000.000,12317000.000,12224000.000,11022000.000,8829000.000,9950000.000,9621000.000,9698000.000,7717000.000,8426000.000,7255000.000,9240000.000,4934000.000,7187000.000,4979000.000,6294000.000,6879000.000,8584000.000,6696000.000,9489000.000,6091000.000,6144000.000,7400000.000,6987000.000
AccumulatedAmortizationDeferredFinanceCosts,,,,,,,3033000.000,,,,6009000.000,,,,8982000.000,,,,12751000.000,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,395519000.000,408356000.000,412553000.000,488200000.000,472210000.000,480354000.000,491615000.000,602103000.000,613701000.000,630783000.000,647527000.000,664384000.000,675434000.000,696879000.000,721788000.000,745820000.000,829399000.000,849604000.000,846213000.000,861174000.000,862467000.000,865899000.000,903556000.000,916572000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-7636000.000,-11962000.000,-9313000.000,-9371000.000,-10517000.000,-10950000.000,-10094000.000,-8810000.000,-2709000.000,-3971000.000,-2353000.000,-2308000.000,-3467000.000,-1408000.000,-3438000.000,-8166000.000,-6020000.000,-10224000.000,-5558000.000,-10454000.000,-12875000.000,-9674000.000,-4170000.000,-2495000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1004000.000,1148000.000,985000.000,1277000.000,1231000.000,1055000.000,1135000.000,734000.000,828000.000,557000.000,363000.000,685000.000,838000.000,833000.000,1253000.000,1338000.000,1192000.000,1890000.000,2463000.000,1185000.000,1448000.000,1305000.000,1398000.000,1400000.000
Assets,1000964000.000,1000365000.000,991005000.000,1158155000.000,1124564000.000,1138951000.000,1163536000.000,1354169000.000,1347530000.000,1347340000.000,1368063000.000,1401720000.000,1783371000.000,1960634000.000,2009444000.000,2040312000.000,2166527000.000,2161957000.000,2006236000.000,1983948000.000,1936036000.000,1895633000.000,1903374000.000,1910148000.000
AssetsCurrent,27984000.000,40109000.000,37663000.000,41114000.000,46344000.000,45457000.000,38226000.000,49542000.000,63609000.000,54660000.000,63371000.000,59536000.000,71063000.000,80133000.000,82069000.000,96654000.000,90675000.000,83196000.000,85655000.000,82158000.000,79964000.000,71734000.000,70191000.000,75269000.000
CashAndCashEquivalentsAtCarryingValue,232000.000,374000.000,5000.000,260000.000,596000.000,393000.000,142000.000,302000.000,11650000.000,251000.000,182000.000,185000.000,39000.000,275000.000,295000.000,437000.000,189000.000,371000.000,472000.000,753000.000,159000.000,398000.000,217000.000,8193000.000
CollateralAlreadyPostedAggregateFairValue,,,,,,,,,,,,,,,,,,,,,,,0.000,
DebtInstrumentCarryingAmount,,,,,,,,,,,763000000.000,,,,1310000000.000,,,,1430500000.000,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,,,,9700000.000,,,,8600000.000,,,,7300000.000,
DeferredFinanceCostsGross,,,,,,,7837000.000,,,,19984000.000,,,,26970000.000,,,,28245000.000,,,,,
DeferredFinanceCostsNet,,,,,,,,,,,,,,,,,,,,,,,3238000.000,
DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsNet,,,,,,,,,,,,,,,,,,,,,,,9500000.000,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,,,,,,,,,2500000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,-885000.000,,,,-1132000.000,,,,-1527000.000,,,,,,,,,
DeferredTaxLiabilities,,,,,,,885000.000,,,,1132000.000,,,,1527000.000,,,,1054000.000,,,,2500000.000,
DeferredTaxLiabilitiesNoncurrent,,,,,,,885000.000,946000.000,1007000.000,1072000.000,1132000.000,1125000.000,1267000.000,1293000.000,1527000.000,1625000.000,1210000.000,1255000.000,1054000.000,995000.000,1394000.000,1557000.000,2500000.000,0.000
