,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,6212000.000,,,,12000.000,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,890000.000,,,,618000.000,,,,639000.000
AmortizationOfAboveAndBelowMarketLeases,700000.000,700000.000,700000.000,800000.000,800000.000,900000.000,900000.000,900000.000,900000.000
AmortizationOfFinancingCostsAndDiscounts,-58000.000,,,,-57000.000,,,,-145000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-4718000.000,,,,4082000.000,,,,145309000.000
CommonStockDividendsPerShareCashPaid,0.233,0.233,0.233,0.251,0.250,0.250,0.250,0.260,0.260
CommonStockDividendsPerShareDeclared,0.233,0.233,0.233,,0.250,0.250,0.250,,0.260
ComprehensiveIncomeNetOfTax,7360000.000,9027000.000,12906000.000,9034000.000,4809000.000,504000.000,10214000.000,29303000.000,6683000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,3018000.000,3656000.000,5155000.000,3290000.000,1886000.000,182000.000,4018000.000,11538000.000,2484000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,12683000.000,18061000.000,,6695000.000,686000.000,14232000.000,,9167000.000
ConstructionInProgressExpendituresIncurredButNotYetPaid,205000.000,,,,,,,,
CostOfPropertyRepairsAndMaintenance,2251000.000,2834000.000,3034000.000,3384000.000,2566000.000,2871000.000,3069000.000,4199000.000,2531000.000
CostOfRealEstateRevenue,16620000.000,17205000.000,18985000.000,20377000.000,18453000.000,19590000.000,20591000.000,20919000.000,19859000.000
DepreciationAndAmortization,15107000.000,15286000.000,15761000.000,17238000.000,17453000.000,17714000.000,17992000.000,18160000.000,17986000.000
DepreciationDepletionAndAmortization,15107000.000,,,,17453000.000,,,,17986000.000
DirectCostsOfHotels,5645000.000,5563000.000,6131000.000,5773000.000,5776000.000,5810000.000,6158000.000,5863000.000,6551000.000
Dividends,14350000.000,,,,15827000.000,,,,16723000.000
EarningsPerShareBasic,0.180,0.200,0.300,0.190,0.170,0.170,0.190,0.190,0.160
EarningsPerShareDiluted,0.180,0.200,0.300,0.180,0.170,0.170,0.190,0.190,0.160
ExciseAndSalesTaxes,986000.000,943000.000,1186000.000,1293000.000,1019000.000,976000.000,1255000.000,1261000.000,1025000.000
GainLossOnSaleOfProperties,,,7121000.000,,,,0.000,,
GeneralAndAdministrativeExpense,5016000.000,4788000.000,6357000.000,3913000.000,4549000.000,4394000.000,4513000.000,4441000.000,5082000.000
GrossProfit,43367000.000,43578000.000,45628000.000,45044000.000,45645000.000,45812000.000,47989000.000,47711000.000,46397000.000
IncomeLossFromContinuingOperations,8027000.000,8708000.000,13562000.000,,7651000.000,7599000.000,8474000.000,,7387000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,11379000.000,12284000.000,19026000.000,11226000.000,10721000.000,10650000.000,11858000.000,12408000.000,10308000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.180,0.200,0.300,,0.170,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.180,0.200,0.300,,0.170,,,,
IncomeTaxExpenseBenefit,84000.000,35000.000,356000.000,-180000.000,87000.000,-45000.000,,,
IncomeTaxesPaid,50000.000,,,,75000.000,,,,46000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,4145000.000,,,,4718000.000,,,,5834000.000
IncreaseDecreaseInAccountsReceivable,-874000.000,,,,-12000.000,,,,-1726000.000
IncreaseDecreaseInCustomerAdvancesAndDeposits,353000.000,,,,108000.000,,,,81000.000
IncreaseDecreaseInLeaseAcquisitionCosts,843000.000,,,,617000.000,,,,902000.000
IncreaseDecreaseInOtherDeferredLiability,148000.000,,,,156000.000,,,,279000.000
IncreaseDecreaseInOtherOperatingAssets,1143000.000,,,,698000.000,,,,1038000.000
IncreaseDecreaseInRestrictedCash,201000.000,,,,143000.000,,,,117000.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,-943000.000,,,,-2471000.000,,,,-231000.000
InterestAndOtherIncome,14000.000,12000.000,9000.000,55000.000,15000.000,24000.000,24000.000,9000.000,147000.000
InterestCostsCapitalizedAdjustment,,,,,543000.000,,,,371000.000
InterestCostsIncurred,14128000.000,,,,13489000.000,,,,13702000.000
InterestExpense,11795000.000,,11258000.000,,12946000.000,13153000.000,13049000.000,12788000.000,13331000.000
InterestPaidCapitalized,2333000.000,,,,,,,,
InterestPaidNet,10459000.000,,,,11906000.000,,,,10708000.000
LeaseAndRentalExpense,614000.000,618000.000,573000.000,706000.000,750000.000,718000.000,722000.000,735000.000,757000.000
LossOnContractTerminationForDefault,6600000.000,,,,6900000.000,,,,7400000.000
ManagementFeeExpense,458000.000,450000.000,533000.000,497000.000,475000.000,468000.000,551000.000,485000.000,486000.000
MarketingExpense,385000.000,486000.000,445000.000,788000.000,485000.000,537000.000,432000.000,663000.000,436000.000
NetCashProvidedByUsedInFinancingActivities,7941000.000,,,,-12283000.000,,,,110745000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,7941000.000,,,,-12283000.000,,,,110745000.000
NetCashProvidedByUsedInInvestingActivities,-45169000.000,,,,-17895000.000,,,,-13272000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-45169000.000,,,,-17895000.000,,,,-13272000.000
NetCashProvidedByUsedInOperatingActivities,32510000.000,,,,34260000.000,,,,47836000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,32510000.000,,,,34260000.000,,,,47836000.000
NetIncomeLoss,8027000.000,8708000.000,13562000.000,8212000.000,7651000.000,7599000.000,8474000.000,8861000.000,7387000.000
NetIncomeLossAvailableToCommonStockholdersBasic,8027000.000,8708000.000,13562000.000,8212000.000,7651000.000,7599000.000,8474000.000,8861000.000,7387000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,11336000.000,12244000.000,18994000.000,11173000.000,10678000.000,10607000.000,11816000.000,12347000.000,10248000.000
NoncontrollingInterestInNetIncomeLossOperatingPartnershipsRedeemable,3309000.000,3536000.000,5432000.000,2961000.000,3027000.000,3008000.000,3342000.000,3486000.000,2861000.000
OperatingExpenses,42791000.000,43265000.000,47779000.000,47637000.000,47088000.000,48115000.000,50492000.000,51452000.000,50463000.000
OperatingIncomeLoss,23244000.000,23504000.000,23510000.000,23893000.000,23643000.000,23704000.000,25484000.000,25110000.000,23329000.000
OperatingLeasesIncomeStatementLeaseRevenue,62753000.000,63552000.000,67471000.000,68111000.000,67245000.000,68221000.000,71852000.000,72180000.000,70040000.000
OperatingLeasesRentExpenseNet,6281000.000,6311000.000,7083000.000,7936000.000,7382000.000,8210000.000,8404000.000,7713000.000,8073000.000
OtherComprehensiveIncomeLossNetOfTax,10378000.000,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,58000.000,58000.000,57000.000,58000.000,57000.000,58000.000,58000.000,58000.000,145000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,-943000.000,457000.000,-908000.000,,-3969000.000,-9906000.000,2432000.000,,-996000.000
OtherNoncashIncomeExpense,-180000.000,,,,1403000.000,,,,-796000.000
OtherNonoperatingIncome,,0.000,0.000,,96000.000,30000.000,0.000,0.000,0.000
OtherNonoperatingIncomeExpense,-70000.000,-23000.000,-347000.000,343000.000,24000.000,99000.000,-577000.000,86000.000,310000.000
