,2011-06-30,2011-09-30,2012-09-30,2013-03-31,2013-06-30,2013-12-31
AccountsPayable,216348.000,227348.000,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,453220.000,518242.000,412635.000,
AccountsPayableCurrent,,,,,,102711.000
AccountsReceivableNetCurrent,,,23495.000,4093.000,8733.000,3199.000
AccruedLiabilitiesCurrent,,,,,,338983.000
AccruedPayrollTaxes,29980.000,29980.000,,,,
AccruedProfessionalFeesCurrent,,,,,,44000.000
AccruedSalesCommissionCurrent,,,,,,8483.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,-8339.000,-8339.000,532.000,822.000,967.000,1257.000
AdditionalPaidInCapital,2049385.000,2101322.000,108987.000,108987.000,295879.000,295879.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,0.000
Assets,94971.000,98703.000,51259.000,30169.000,69430.000,114620.000
AssetsCurrent,94971.000,98703.000,50050.000,29250.000,68656.000,114136.000
CashAndCashEquivalentsAtCarryingValue,124.000,3856.000,0.000,0.000,36498.000,12564.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,61029146.000
CommonStockParOrStatedValuePerShare,,,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,,,99000000.000,99000000.000,99000000.000,250000000.000
CommonStockSharesIssued,,,61201483.000,61201483.000,62587409.000,64587409.000
CommonStockSharesOutstanding,,,61201483.000,61201483.000,62587409.000,64587409.000
CommonStockValue,194.000,194.000,9180.000,9180.000,9388.000,9688.000
CreditRiskDerivativeLiabilitiesAtFairValue,,,,,,-45494.000
CustomerAdvancesAndDepositsCurrent,,,,,,39600.000
DeferredCompensationLiabilityCurrent,,,281000.000,,,
DeferredFinanceCostsCurrentNet,,,0.000,0.000,,19076.000
DeferredIncomeTaxLiabilities,,,,,,0.000
DeferredTaxAssetsGross,,,,,,214951.000
DeferredTaxAssetsLiabilitiesNet,,,,,,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,129776.000
DeferredTaxAssetsOther,,,,,,39681.000
DeferredTaxAssetsValuationAllowance,,,,,,214951.000
DerivativeLiabilitiesNoncurrent,,,,,428037.000,283200.000
FurnitureAndFixturesGross,,,1741.000,1741.000,1741.000,1741.000
InventoryNet,94552.000,94552.000,22780.000,19255.000,17523.000,79297.000
Liabilities,721785.000,736591.000,885987.000,969429.000,1205440.000,1368326.000
LiabilitiesAndStockholdersEquity,94971.000,98703.000,51259.000,30169.000,69430.000,114620.000
LiabilitiesCurrent,721785.000,736591.000,570867.000,894429.000,610931.000,770162.000
LiabilitiesNoncurrent,,,315120.000,75000.000,594509.000,598164.000
LongTermNotesPayable,,,315120.000,75000.000,166472.000,314964.000
NotesPayable,213274.000,210280.000,432767.000,451187.000,364768.000,603832.000
NotesPayableCurrent,64765.000,65641.000,117647.000,376187.000,198296.000,288868.000
NotesPayableRelatedPartiesCurrent,197418.000,203342.000,,,,
OperatingLossCarryforwards,,,,,,331000.000
OtherAccruedLiabilitiesCurrent,,,31550.000,286500.000,286500.000,
PreferredStockAdditionalSeriesValue,300000.000,300000.000,,,,
PreferredStockParOrStatedValuePerShare,,,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,,,900000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesIssued,,,0.000,,,
PreferredStockSharesOutstanding,,,0.000,,,
PreferredStockValue,,0.000,0.000,,0.000,0.000
PrepaidExpense,295.000,295.000,,,,
PrepaidExpenseCurrent,,,3775.000,5902.000,5902.000,0.000
PropertyPlantAndEquipmentGross,8339.000,8339.000,,,,
PropertyPlantAndEquipmentNet,,,1209.000,919.000,774.000,484.000
RetainedEarningsAccumulatedDeficit,-2991393.000,-3054404.000,-1267895.000,-1372427.000,-1756277.000,-1874273.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,,600.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,,25.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,,,,,,600.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,,,,,,25.000
StockholdersEquity,-626814.000,-637888.000,-834728.000,-939260.000,-1136010.000,-1253706.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-626814.000,-637888.000,-834728.000,-939260.000,-1136010.000,-1253706.000
