,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,-221000.000,,,,,
AllocatedShareBasedCompensationExpense,,,5400000.000,3700000.000,3700000.000,5500000.000,3800000.000,3800000.000
AmortizationOfFinancingCostsAndDiscounts,,,1349000.000,,,,1333000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,2700000.000,3100000.000,4200000.000,-7300000.000,1100000.000,1100000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,7010000.000,,,,35382000.000,
CasinoExpenses,134310000.000,135164000.000,137102000.000,132254000.000,134122000.000,134384000.000,132225000.000,127306000.000
CasinoRevenue,313860000.000,312595000.000,319707000.000,303356000.000,307397000.000,298498000.000,303978000.000,297723000.000
CommonStockDividendsPerShareDeclared,0.110,0.110,0.125,0.125,0.125,0.125,0.125,0.125
ComprehensiveIncomeNetOfTax,,,41366000.000,17622000.000,16131000.000,,17978000.000,19975000.000
CostsAndExpenses,245723000.000,243370000.000,242876000.000,237231000.000,240620000.000,256334000.000,237030000.000,230175000.000
DepreciationDepletionAndAmortization,26102000.000,26111000.000,26521000.000,26999000.000,27036000.000,25761000.000,25147000.000,25283000.000
DividendsCommonStock,,,-4111000.000,,,,4131000.000,
EarningsPerShareBasic,-1.100,0.580,1.260,0.530,0.490,0.040,0.550,0.600
EarningsPerShareDiluted,-1.100,0.560,1.210,0.510,0.480,0.060,0.510,0.570
EffectiveIncomeTaxRateContinuingOperations,,,0.046,0.415,0.419,-0.612,0.389,0.394
FoodAndBeverageCostOfSales,13876000.000,14815000.000,14131000.000,13050000.000,12854000.000,13599000.000,13702000.000,13617000.000
FoodAndBeverageRevenue,33151000.000,35805000.000,34691000.000,33250000.000,35588000.000,36036000.000,34536000.000,31865000.000
GainLossOnDispositionOfAssets,-10000.000,4000.000,322000.000,-550000.000,28000.000,-208000.000,9000.000,21000.000
GoodwillImpairmentLoss,0.000,0.000,,,,,,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,0.000,0.000,,,,,,
