,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilities,12795000.000,13550000.000,17118000.000,,,,,,,,,,,,,,,,,,
AccruedInvestmentIncomeReceivable,8895000.000,9612000.000,9477000.000,9735000.000,8491000.000,9235000.000,9214000.000,8333000.000,,,,,,,,,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,,,,15414000.000,15321000.000,18116000.000,11685000.000,12766000.000,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,27698000.000,,,,30055000.000,,,29736000.000,,,,28656000.000,,,,31703000.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,8506000.000,7517000.000,,,,-1138000.000,1749000.000,3824000.000,5467000.000,7644000.000,4460000.000,6737000.000,3836000.000,9025000.000,11795000.000,9589000.000,-722000.000,-277000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,1862000.000,-1828000.000,,,,-1356000.000,,-1237000.000,-1637000.000,-1775000.000,-1738000.000,-1702000.000,-1694000.000,-1662000.000,-1629000.000,-1597000.000,-1665000.000,-1625000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,6800000.000,5139000.000,6241000.000,6644000.000,5689000.000,4988000.000,-625000.000,-1452000.000,-2494000.000,454000.000,2587000.000,3830000.000,5869000.000,2722000.000,5035000.000,2142000.000,7363000.000,10166000.000,7992000.000,-2387000.000,-1902000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxAvailableforsaleDebtSecurities,,,,0.000,0.000,,,,,,,,,,,,,,,,
Assets,2827438000.000,2889688000.000,2954616000.000,2952208000.000,3064144000.000,2927702000.000,2975462000.000,3041237000.000,3175764000.000,3233724000.000,3355903000.000,3443284000.000,3477654000.000,3572106000.000,3666250000.000,3766286000.000,3808907000.000,3937304000.000,4197320000.000,4290025000.000,4319103000.000
AssetsFairValueDisclosure,,,,,467760000.000,,,,,,,,,,,,,,,,
