,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1462000.000,,,,1824000.000,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,1314000.000,,,,3549000.000,
AmortizationOfDebtDiscountPremium,10000.000,,,,6000.000,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,-330000.000,,,,29000.000,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,110000.000,90000.000
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,,2055000.000,196000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,2000.000,10000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,6187000.000,,,,11946000.000,
CommonStockDividendsPerShareDeclared,0.060,0.830,0.080,0.080,0.080,0.850
CommunicationsInformationTechnologyAndOccupancy,1185000.000,1330000.000,1114000.000,1315000.000,1736000.000,2333000.000
ComprehensiveIncomeNetOfTax,,5904000.000,6264000.000,,7923000.000,5674000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,4088000.000,,,,,
DeferredIncomeTaxExpenseBenefit,-113000.000,,,,-211000.000,
DepreciationAmortizationAndAccretionNet,,,,,293000.000,
DepreciationAndAmortization,265000.000,,,,,
DistributionAndServicingFees,,,-413000.000,,,
DividendsCommonStockCash,1404000.000,,,,1895000.000,
EarningsPerShareBasic,0.190,0.250,0.260,0.360,0.330,0.240
EarningsPerShareDiluted,0.190,0.250,0.260,0.350,0.330,0.240
EntityWideRevenueMajorCustomerPercentage,,,,,0.150,0.130
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1314000.000,,,,3549000.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,1314000.000,,,,3549000.000,
GainLossOnInvestments,-151000.000,,,,254000.000,
GeneralAndAdministrativeExpense,1084000.000,1187000.000,640000.000,-146000.000,694000.000,793000.000
ImpairmentOfInvestments,,,,,0.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,10390000.000,10766000.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,7904000.000,,,,,
IncomeLossFromEquityMethodInvestments,,,,,102000.000,
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,-74000.000,,,,,
IncomeTaxExpenseBenefit,3486000.000,4527000.000,4687000.000,5976000.000,6028000.000,4382000.000
IncomeTaxExpenseBenefitContinuingOperations,,4527000.000,4687000.000,,,
IncomeTaxesPaid,,,,,6501000.000,
IncomeTaxesPaidNet,4942000.000,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,248000.000,,,,-54000.000,
IncreaseDecreaseInAccountsReceivable,-1303000.000,,,,2775000.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,695000.000,,,,1466000.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,2948000.000,,,,4290000.000,
IncreaseDecreaseInOtherDeferredLiability,-41000.000,,,,266000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2131000.000,,,,2004000.000,
IncreaseDecreaseInSecurityDeposits,-1000.000,,,,-34000.000,
IncreaseDecreaseInTradingSecurities,,,,,-1185000.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,119000.000,15000.000
InvestmentAdvisoryFees,18111000.000,20694000.000,23663000.000,24743000.000,27190000.000,27309000.000
LaborAndRelatedExpense,7817000.000,8353000.000,9954000.000,9514000.000,10395000.000,10512000.000
NetCashProvidedByUsedInFinancingActivities,-1577000.000,,,,1929000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1577000.000,,,,1929000.000,
NetCashProvidedByUsedInInvestingActivities,-162000.000,,,,1754000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-162000.000,,,,1754000.000,
NetCashProvidedByUsedInOperatingActivities,7926000.000,,,,8263000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,7926000.000,,,,8263000.000,
NetIncomeLoss,,,,,7894000.000,5738000.000
NoninterestExpenseDistributionAndServicingFees,,,,,443000.000,403000.000
OperatingExpenses,10911000.000,11675000.000,13640000.000,13249000.000,14110000.000,17967000.000
OperatingIncomeLoss,8098000.000,10059000.000,10061000.000,14689000.000,13513000.000,9836000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentBeforeTaxPortionAttributableToParent,,,,,52000.000,-114000.000
OtherComprehensiveIncomeLossNetOfTax,,,185000.000,,29000.000,-64000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-330000.000,41000.000,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,29000.000,-64000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,,,,,-108000.000,-83000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,,7000.000,,-61000.000,-47000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax,,,,,47000.000,36000.000
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,,,,,-23000.000,50000.000
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,-85000.000,155000.000,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,,,,160000.000,-31000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-415000.000,196000.000,178000.000,-76000.000,90000.000,-17000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,,,,,-70000.000,14000.000
OtherIncome,-194000.000,,,,,
OtherNonoperatingIncomeExpense,,331000.000,705000.000,,409000.000,284000.000
PaymentsForProceedsFromInvestments,,,,,-1974000.000,
PaymentsForRepurchaseOfCommonStock,1588000.000,,,,129000.000,
PaymentsOfDividendsCommonStock,1404000.000,,,,1895000.000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,-801000.000,,,,129000.000,
PaymentsToAcquireInvestments,14000.000,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,147000.000,,,,1186000.000,
PerformanceFees,898000.000,1040000.000,38000.000,3195000.000,433000.000,494000.000
ProceedsAndExcessTaxBenefitFromSharebasedCompensation,-30000.000,,,,,
ProceedsFromSaleOfEquityMethodInvestments,,,,,1000000.000,
ProceedsFromStockOptionsExercised,71000.000,,,,367000.000,
ProfessionalAndContractServicesExpense,,805000.000,1519000.000,,842000.000,3926000.000
ProfessionalFees,825000.000,,,,,
ProfitLoss,4418000.000,5863000.000,6079000.000,8407000.000,7894000.000,5738000.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,,,100000.000,100000.000
ResultsOfOperationsIncomeBeforeIncomeTaxes,,,,,13922000.000,10120000.000
Revenues,19009000.000,21734000.000,23701000.000,27938000.000,27623000.000,27803000.000
SalesRevenueNet,19203000.000,21734000.000,23701000.000,27938000.000,27623000.000,27803000.000
ShareBasedCompensation,1443000.000,,,,1849000.000,
StockIssuedDuringPeriodValueRestrictedStockAwardGross,-19000.000,,,,25000.000,
StockIssuedDuringPeriodValueStockOptionsExercised,71000.000,,,,367000.000,
TreasuryStockValueAcquiredCostMethod,787000.000,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,23537000.000,23471000.000,23606000.000,-47062000.000,23798000.000,23729000.000
WeightedAverageNumberOfSharesOutstandingBasic,23355000.000,23285000.000,23423000.000,-46655000.000,23679000.000,23714000.000
