,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,97732.000,81972.000,85250.000,52612.000,48358.000,52945.000,54557.000,50645.000,48815.000,57265.000,51740.000,54465.000,61915.000
AdditionalPaidInCapitalCommonStock,0.000,,,,0.000,0.000,,,,,,,
Assets,3927.000,1479.000,251.000,161.000,71.000,41.000,41.000,41.000,41.000,29.000,,,
AssetsCurrent,3927.000,1479.000,251.000,161.000,71.000,41.000,41.000,41.000,41.000,29.000,,,
CashAndCashEquivalentsAtCarryingValue,1177.000,997.000,251.000,161.000,71.000,41.000,41.000,41.000,41.000,29.000,,,
CashFDICInsuredAmount,250000.000,250000.000,250000.000,250000.000,,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,
CommonStockNoParValue,0.000,0.000,,,,0.000,,,,0.000,0.000,0.000,0.000
CommonStockSharesIssued,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000
CommonStockSharesOutstanding,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000,2869375.000
CommonStockValue,,,,,,,311372.000,311372.000,311372.000,311372.000,311372.000,311372.000,311372.000
CommonStockValueOutstanding,311372.000,311372.000,311372.000,311372.000,311372.000,311372.000,,,,,,,
DueToAffiliateCurrent,96561.000,159196.000,184270.000,209207.000,240379.000,267309.000,292365.000,323057.000,349112.000,394362.000,424362.000,445862.000,493112.000
DueToAffiliateCurrentAndNoncurrent,,159196.000,184270.000,209207.000,240379.000,267309.000,292364.000,323057.000,349112.000,394362.000,424362.000,445862.000,
Liabilities,194293.000,241168.000,269520.000,261819.000,288737.000,320254.000,,,,,,,
LiabilitiesAndStockholdersEquity,3927.000,1479.000,251.000,161.000,71.000,41.000,41.000,41.000,41.000,29.000,,,
LiabilitiesCurrent,194293.000,241168.000,269520.000,261819.000,288737.000,320254.000,346922.000,373702.000,397927.000,451627.000,476102.000,500327.000,555027.000
PreferredStockNoParValue,0.000,0.000,,,,0.000,,,,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,,,,0.000,,,,,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,,,,0.000,,,,,0.000,0.000,0.000
PreferredStockValueOutstanding,0.000,,,,0.000,0.000,,,,,,,
PrepaidExpenseAndOtherAssetsCurrent,2750.000,482.000,,,0.000,0.000,,,,,,,
RetainedEarningsAccumulatedDeficit,-501738.000,-551061.000,-580641.000,-573030.000,-600038.000,-631585.000,-658253.000,-685033.000,-709258.000,-762970.000,-787474.000,-811699.000,-866399.000
StockholdersEquity,,,,,,,-346881.000,-373661.000,-397886.000,-451598.000,-476102.000,-500327.000,-555027.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-190366.000,-239689.000,-269269.000,-261658.000,-288666.000,-320213.000,,,,,,,
