,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableCurrent,72689000.000,66008000.000,88825000.000,78876000.000,77664000.000,80777000.000,76358000.000,63304000.000,63713000.000,63719000.000,61468000.000,58021000.000,67336000.000,75918000.000,80479000.000,67848000.000,73390000.000,76476000.000,65829000.000,59753000.000,56694000.000,58427000.000
AccountsReceivableNetCurrent,59798000.000,47041000.000,56140000.000,48106000.000,54411000.000,73675000.000,89425000.000,77313000.000,104077000.000,123076000.000,119529000.000,99530000.000,77384000.000,68937000.000,68587000.000,46383000.000,46200000.000,45204000.000,42848000.000,48837000.000,47086000.000,49242000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,170013000.000,,,,186800000.000,,,,197950000.000,,,,224539000.000,,,,236458000.000,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,,,,,,,,,,,,-725000.000,-487000.000,1693000.000,1932000.000,2172000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-4563000.000,-4438000.000,-4498000.000,-9479000.000,-9316000.000,-9147000.000,-8970000.000,-7930000.000,-7835000.000,-7787000.000,-7715000.000,3146000.000,2908000.000,2670000.000,2432000.000,1201000.000,963000.000,725000.000,487000.000,-1693000.000,-1932000.000,-2172000.000
AdditionalPaidInCapitalCommonStock,177594000.000,181954000.000,186009000.000,189573000.000,194027000.000,198812000.000,203095000.000,206703000.000,204219000.000,204731000.000,206714000.000,200040000.000,197954000.000,198806000.000,196105000.000,198883000.000,185936000.000,186501000.000,179922000.000,181160000.000,178134000.000,169037000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,9175000.000,,,,15663000.000,,,,9174000.000,,,,2351000.000,,,,268000.000,,
AllowanceForNotesAndLoansReceivableCurrent,,,,,,,,,,,,0.000,0.000,0.000,,0.000,,,,,,
AllowanceForNotesAndLoansReceivableNoncurrent,,,,,,,,,,,,29349000.000,29349000.000,38420000.000,42931000.000,44392000.000,,,,23612000.000,,
Assets,701515000.000,659152000.000,686754000.000,728818000.000,661304000.000,556641000.000,585050000.000,672230000.000,642986000.000,629473000.000,608961000.000,806851000.000,778431000.000,776219000.000,767506000.000,749160000.000,736580000.000,711300000.000,728471000.000,664014000.000,622391000.000,584875000.000
