,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,,,,,,,,,90444.000,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,,,,,8167.000,0.000,0.000,0.000,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-44963.000,,,,37739.000,,,,-1431.000,,,,,,,,,,
CostOfGoodsSold,2676.000,1500.000,5000.000,6450.000,9000.000,,,,,,,,,,,,,,
CostOfRevenue,,,,,,4100.000,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,0.000,,0.000,,0.000,,
DepreciationDepletionAndAmortization,,,,,,,,,,,,,8167.000,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.010,-0.010,-0.010,-0.020,-0.160,-0.050,-0.010,-0.010,-0.010,-0.020,0.000,,,,,,
GeneralAndAdministrativeExpense,47027.000,70142.000,99570.000,200781.000,236083.000,706851.000,2627071.000,689148.000,327921.000,160888.000,133625.000,303718.000,37330.000,18721.000,1200.000,1200.000,1200.000,1200.000,48309.000
GrossProfit,263.000,-450.000,1245.000,6550.000,31435.000,,,,21827.000,10205.000,36.000,18.000,,,,,,,
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,,,,,,,,,,,18462.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-47512.000,-71338.000,-102080.000,-198925.000,-233316.000,-494574.000,-3358075.000,-997663.000,-314374.000,-159060.000,-145831.000,-449065.000,-37330.000,-37183.000,,,-1200.000,-1200.000,-48309.000
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,,,,29163.000,,,,1200.000,,
InterestExpense,748.000,746.000,3755.000,4694.000,28668.000,109843.000,891139.000,-124490.000,8279.000,8377.000,12242.000,-60023.000,,,,,,,
InterestPaid,,,,,,,,,8279.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,5000.000,,,,406134.000,,,,85000.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,5000.000,,,,406134.000,,,,85000.000,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,,,-25179.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,-25179.000,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-49963.000,,,,-343216.000,,,,-86431.000,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-49963.000,,,,-343216.000,,,,-86431.000,,,,,,,,,,
NetIncomeLoss,-47512.000,-71338.000,-102080.000,-198925.000,-233316.000,-494574.000,-3358075.000,-997663.000,-314374.000,-159060.000,-145831.000,-449065.000,-37330.000,-37183.000,-1200.000,-1200.000,-1200.000,-1200.000,-48309.000
OperatingExpenses,47027.000,70142.000,99570.000,200781.000,,710951.000,2627071.000,,327921.000,160888.000,,,,,,,,,
OperatingIncomeLoss,-46764.000,-70592.000,-98325.000,-194231.000,-204648.000,-384731.000,-2466936.000,-1122153.000,-306094.000,-150683.000,-133589.000,-303700.000,-37330.000,-18721.000,-1200.000,-1200.000,-1200.000,-1200.000,-48309.000
OperatingLeasesRentExpenseNet,,,,,,,,,,,,,0.000,,,,,,
OtherNonoperatingExpense,,,,,,,,,,,,,,18462.000,,,,,
PaymentsToAcquireAssetsInvestingActivities,,,,,1179.000,,,,,,,,,,,,,,
PaymentsToAcquireIntangibleAssets,,,,,24000.000,,,,,,,,,,,,,,
PaymentsToAcquireInterestInJointVenture,,,,,,,,,470000.000,,,,,,,,,,
PresentValueOfFutureInsuranceProfitsAmortizationExpense1,,,,,,,,,,,,,18462.000,,,,,,
ProceedsFromCollectionOfAdvanceToAffiliate,,,,,,,,,,,,,,40000.000,40000.000,,,,
ProceedsFromIssuanceOfCommonStock,,,,,80416.000,,,,,,,,,,,,,,
ProceedsFromNotesPayable,5000.000,,85000.000,,340000.000,,,,85000.000,,,,,,,,,,
ProceedsFromSecuredNotesPayable,,,,,250000.000,,,,,,,,,,,,,,
Revenues,2939.000,1050.000,6245.000,13000.000,40435.000,326220.000,160135.000,-439605.000,21827.000,10205.000,36.000,18.000,,,,,,,
SalesRevenueNet,2939.000,1050.000,6245.000,13000.000,40435.000,326220.000,160135.000,-439605.000,21827.000,10205.000,36.000,18.000,,,,,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,,,,,,,,,1416000.000,,,,,,,,,,
StockIssuedDuringPeriodSharesIssuedForCash,,,,,80500.000,,,,,,,,,,,,,,
StockIssuedDuringPeriodSharesIssuedForServices,,,,,54950.000,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueIssuedForCash,,,,,80416.000,,,,,,,,,,,,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,,,,,,,,,5000.000,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,20126500.000,20126500.000,20126500.000,-40253000.000,20182418.000,20330967.000,21103042.000,-40780377.000,21772567.000,21772567.000,21772567.000,-43249107.000,23082567.000,23082567.000,23082567.000,-46165134.000,23082567.000,23082567.000,23082567.000
