,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,6328000000.000,7013000000.000,7023000000.000,7579000000.000,7294000000.000,7422000000.000,7913000000.000,8453000000.000,7842000000.000,7815000000.000,8366000000.000,8837000000.000,8272000000.000,8692000000.000,8916000000.000,9246000000.000,8469000000.000,7479000000.000,7186000000.000,7727000000.000,6725000000.000,9494000000.000,9439000000.000,10016000000.000,9408000000.000,9444000000.000
AccountsPayableTradeCurrent,,,,3389000000.000,,,,3550000000.000,,,,4155000000.000,,,,4344000000.000,,,,3243000000.000,,,,4004000000.000,,
AccruedIncomeTaxesCurrent,1544000000.000,1210000000.000,1207000000.000,1245000000.000,1411000000.000,1214000000.000,1459000000.000,1426000000.000,1548000000.000,1361000000.000,1471000000.000,1490000000.000,1731000000.000,1529000000.000,1499000000.000,1647000000.000,1631000000.000,1424000000.000,1425000000.000,1203000000.000,1269000000.000,1043000000.000,1092000000.000,1188000000.000,1215000000.000,1159000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,15112000000.000,15983000000.000,16377000000.000,16558000000.000,17080000000.000,17335000000.000,17965000000.000,18388000000.000,18884000000.000,19255000000.000,19743000000.000,20068000000.000,20605000000.000,21163000000.000,21496000000.000,21568000000.000,22039000000.000,22484000000.000,22819000000.000,23705000000.000,24016000000.000,26972000000.000,26955000000.000,27187000000.000,27350000000.000,27715000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,,213000000.000,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,,,-3050000000.000,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,,,-995000000.000,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2643000000.000,-2594000000.000,-2798000000.000,-3557000000.000,-3365000000.000,-3572000000.000,-3325000000.000,-3888000000.000,-3876000000.000,-3920000000.000,-3726000000.000,-2554000000.000,-2555000000.000,-2399000000.000,-2741000000.000,-4206000000.000,-4285000000.000,-4108000000.000,-4193000000.000,-4558000000.000,-4466000000.000,-4478000000.000,-4388000000.000,-4643000000.000,-4529000000.000,-4558000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,177000000.000,203000000.000,182000000.000,177000000.000,171000000.000,169000000.000,187000000.000,202000000.000,207000000.000,194000000.000,254000000.000,384000000.000,367000000.000,407000000.000,282000000.000,275000000.000,292000000.000,282000000.000,308000000.000,333000000.000,333000000.000,381000000.000,371000000.000,397000000.000,356000000.000,345000000.000
Assets,52372000000.000,54019000000.000,55581000000.000,55201000000.000,56366000000.000,57013000000.000,59441000000.000,61547000000.000,61428000000.000,63251000000.000,65123000000.000,67100000000.000,66717000000.000,68086000000.000,68320000000.000,66904000000.000,65411000000.000,64753000000.000,63342000000.000,68005000000.000,69141000000.000,81171000000.000,80594000000.000,77956000000.000,76175000000.000,74862000000.000
AssetsCurrent,18211000000.000,19942000000.000,21260000000.000,20539000000.000,21292000000.000,21040000000.000,22951000000.000,24156000000.000,23727000000.000,23799000000.000,25093000000.000,26225000000.000,25353000000.000,25414000000.000,25473000000.000,24694000000.000,23394000000.000,22861000000.000,21532000000.000,26912000000.000,27700000000.000,27195000000.000,26425000000.000,23927000000.000,21883000000.000,21273000000.000
AvailableForSaleSecurities,,,,,,,,,,,,,,,,,,,,,,,,503000000.000,,
BillingsInExcessOfCost,,,,,,,,,,,,,,,,,,,,,,,,500000000.000,,
BuildingsAndImprovementsGross,,,,2912000000.000,,,,3209000000.000,,,,3534000000.000,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityEquityInterestsIssuedAndIssuable,,,,,,,,9828000000.000,,,,,,,,,,,,,,,,,,
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,,,,,,,,,,,,,213000000.000,213000000.000,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,3174000000.000,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,,,,399000000.000,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsInventory,,,,2013000000.000,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,,,,1831000000.000,,,,,,,,,,,,,,,,,,,,,,
