,2012-03-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,5536476.000,-7162479.000,-5180338.000,-4852140.000,-5460999.000
AdjustmentsToAdditionalPaidInCapitalOther,,,,25343.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,-2580.000,12676.000,12676.000,7912.000
AdvertisingExpense,387079.000,355678.000,484056.000,416322.000,532660.000
AllocatedShareBasedCompensationExpense,,-3000.000,13000.000,12700.000,8000.000
AllowanceForDoubtfulAccountsReceivableRecoveries,,1488048.000,780359.000,1434105.000,544361.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,,-5209830.000,3114833.000,1516468.000,963263.000
AmortizationOfAcquiredIntangibleAssets,60023.000,,,,
AmortizationOfDeferredLoanOriginationFeesNet,-18665.000,-6589.000,-6154.000,-64257.000,-113056.000
AmortizationOfIntangibleAssets,60023.000,50004.000,11970.000,0.000,0.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,2895898.000,-6958904.000,-5003969.000,1214014.000,3082275.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,846344.000,952678.000,203675.000,111314.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,7432333.000,1405211.000,1159154.000,3186027.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,6585989.000,452533.000,955479.000,3074713.000
AvailableForSaleSecuritiesGrossRealizedGains,,1605000.000,1058000.000,1958100.000,1004100.000
AvailableForSaleSecuritiesGrossRealizedLosses,,279000.000,623000.000,72000.000,300000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,8193931.000,10228827.000,7532926.000,4788292.000
AvailableForSaleSecuritiesGrossUnrealizedLoss,,7432333.000,1405211.000,1159154.000,3186027.000
AvailableForSaleSecuritiesIncomeTaxExpenseOnChangeInUnrealizedHoldingGainOrLoss,,4265135.000,3224059.000,15023.000,
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,,221332.000,-66417.000,1375379.000,674668.000
BankOwnedLifeInsuranceIncome,420000.000,339000.000,554364.000,423000.000,528000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,1495734.000,-274179.000,2562931.000,-1810751.000,992598.000
CashDividendsPaidToParentCompany,,1600000.000,2400000.000,6000000.000,6000000.000
CommonStockDividendsPerShareCashPaid,0.320,0.320,0.320,0.320,0.320
ComprehensiveIncomeNetOfTax,,-3167742.000,10814709.000,4901913.000,2842381.000
CurrentFederalTaxExpenseBenefit,,380143.000,1833069.000,1056002.000,1022082.000
CurrentIncomeTaxExpenseBenefit,1911281.000,544634.000,2100973.000,1341701.000,1214081.000
CurrentStateAndLocalTaxExpenseBenefit,,164491.000,267904.000,285699.000,191999.000
