,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,62000.000,,350000.000,3386895.000
AmortizationOfDebtDiscountPremium,,121000.000,,,
AmortizationOfFinancingCosts,,423126.000,968004.000,3549328.000,0.000
AssetImpairmentCharges,,,,,9625000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,7653527.000,-5248361.000,4308175.000,-6776444.000,-1222731.000
DebtInstrumentIncreaseAccruedInterest,,,113366.000,,
DeconsolidationRevaluationOfRetainedInvestmentGainOrLossAmount,,,,911000.000,-81155.000
DeferredRevenuePeriodIncreaseDecrease,,,-27600.000,-57321.000,0.000
Depreciation,,,,392727.000,
DepreciationAndAmortization,,,,,521860.000
DepreciationDepletionAndAmortization,47916.000,145155.000,391595.000,392727.000,521860.000
DerivativeGainLossOnDerivativeNet,,,4466000.000,,
DerivativeGainOnDerivative,,3684000.000,,,
EarningsPerShareBasicAndDiluted,-0.490,-0.310,-2.330,-1.240,-1.980
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-0.347,-0.297,-0.311,-0.244
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,0.000,,-0.030,-0.000
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,-0.047,-0.044,0.028,-0.000
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,136790.000,195259.000,,,
ExpectedAmortizationExpenseOfEndingPresentValueOfFutureInsuranceProfitsYearFive,,,2406000.000,,
ExpectedAmortizationExpenseOfEndingPresentValueOfFutureInsuranceProfitsYearFour,,,2406000.000,,
ExpectedAmortizationExpenseOfEndingPresentValueOfFutureInsuranceProfitsYearThree,,,2406000.000,,
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,-1244000.000,
FairValueAssumptionsExpectedDividendRate,,0.000,,,0.000
FairValueAssumptionsExpectedVolatilityRate,,,1.220,0.780,0.890
