,2011-06-25,2011-09-24,2011-12-31,2012-03-31,2012-06-30
AccountsPayableCurrent,10470000.000,10688000.000,7463000.000,6593000.000,10930000.000
AccruedLiabilitiesCurrent,,,2939000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,13405000.000,14264000.000,15092000.000,15995000.000,16547000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,5574000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,-498000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3624000.000,-3734000.000,-6058000.000,-5906000.000,-6072000.000
AdditionalPaidInCapitalCommonStock,31288000.000,31441000.000,31600000.000,31830000.000,31972000.000
AllowanceForDoubtfulAccountsReceivable,474000.000,660000.000,679000.000,464000.000,431000.000
Assets,99280000.000,112722000.000,102435000.000,91895000.000,93125000.000
AssetsCurrent,72290000.000,85938000.000,75317000.000,64518000.000,65429000.000
CashAndCashEquivalentsAtCarryingValue,622000.000,506000.000,774000.000,402000.000,1026000.000
CashAndCashEquivalentsFairValueDisclosure,,,,,1000000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,6717627.000,6717627.000,6717627.000,6717627.000,6717627.000
CommonStockValue,67000.000,67000.000,67000.000,67000.000,67000.000
DebtInstrumentBasisSpreadOnVariableRate,,,,,0.018
DeferredRentCreditNoncurrent,811000.000,868000.000,895000.000,923000.000,912000.000
DeferredRevenueNoncurrent,549000.000,531000.000,550000.000,565000.000,578000.000
DeferredTaxAssetsNetCurrent,1754000.000,1813000.000,1771000.000,1711000.000,1738000.000
DeferredTaxLiabilitiesNoncurrent,3142000.000,3136000.000,1450000.000,1189000.000,902000.000
EmployeeRelatedLiabilitiesCurrent,1806000.000,1621000.000,1789000.000,1977000.000,1300000.000
Goodwill,10753000.000,10753000.000,10753000.000,10753000.000,10753000.000
InventoryFinishedGoods,,,,,40172000.000
InventoryGross,,,,,44457000.000
InventoryNet,53400000.000,57970000.000,48648000.000,43070000.000,43717000.000
InventoryRawMaterials,,,,,3812000.000
InventoryValuationReserves,,,,,740000.000
InventoryWorkInProcess,,,,,473000.000
LeaseholdImprovementsGross,,,7206000.000,,
Liabilities,36250000.000,48785000.000,39307000.000,28618000.000,31913000.000
LiabilitiesAndStockholdersEquity,99280000.000,112722000.000,102435000.000,91895000.000,93125000.000
LiabilitiesCurrent,27608000.000,40345000.000,29060000.000,18853000.000,22659000.000
LongTermDebtNoncurrent,201000.000,174000.000,138000.000,107000.000,78000.000
MachineryAndEquipmentGross,,,24029000.000,,
OtherAssets,,,10975000.000,,
OtherAssetsNoncurrent,235000.000,229000.000,222000.000,271000.000,272000.000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,3939000.000,3731000.000,7214000.000,6981000.000,6784000.000
PrepaidExpenseCurrent,1156000.000,789000.000,1398000.000,1276000.000,1379000.000
ProductWarrantyAccrual,1928000.000,2347000.000,,1640000.000,1645000.000
PropertyPlantAndEquipmentGross,,,31235000.000,,
PropertyPlantAndEquipmentNet,16002000.000,15802000.000,16143000.000,16353000.000,16672000.000
ReceivablesNetCurrent,15358000.000,24860000.000,22726000.000,18059000.000,17569000.000
RetainedEarningsAccumulatedDeficit,36329000.000,37187000.000,38538000.000,38284000.000,36242000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,636850.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,12.060
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,,600000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,1014876.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,12.750
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,,600000.000
ShortTermBorrowings,13404000.000,25689000.000,16869000.000,8643000.000,8784000.000
StockholdersEquity,63030000.000,63937000.000,63128000.000,63277000.000,61212000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,63030000.000,63937000.000,63128000.000,63277000.000,61212000.000
TreasuryStockShares,215784.000,214178.000,213003.000,208065.000,207878.000
TreasuryStockValue,1030000.000,1024000.000,1019000.000,998000.000,997000.000
