,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AmortizationOfDebtDiscountPremium,,,,,,,,,,,115000.000,
AmortizationOfIntangibleAssets,,,,,,,,,,,300000.000,500000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,3371301.000,3409083.000,,3579814.000,4093296.000,4219918.000,,,
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,,,,,,,10400000.000,,,,,
BusinessCombinationIntegrationRelatedCosts,,,,,,,100000.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-257000.000,,,,-6855000.000,,,,-7084000.000,
ComprehensiveIncomeNetOfTax,,,-5758000.000,,,,-7101000.000,-8530000.000,-7960000.000,-8434000.000,-9110000.000,-5868000.000
CostOfRevenue,1173000.000,1044000.000,997000.000,912000.000,838000.000,1562000.000,1031000.000,1295000.000,1506000.000,1806000.000,1263000.000,1417000.000
Depreciation,,,207000.000,,,,359000.000,,,,,
DepreciationAndAmortization,,,,,,,,,,,818000.000,
EarningsPerShareBasicAndDiluted,-0.210,-0.160,-0.210,-0.230,-0.220,-0.440,-0.260,-0.260,-0.180,-0.150,-0.190,-0.120
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,-1000.000,,,,-1000.000,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,0.726,
FairValueAssumptionsRiskFreeInterestRate,,,,,,,,,,,0.017,
GainLossOnDispositionOfAssets,,,-30000.000,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,0.000,,,,-4000.000,
GeneralAndAdministrativeExpense,1610000.000,1298000.000,1881000.000,2224000.000,2297000.000,-230000.000,1550000.000,1860000.000,2769000.000,2213000.000,2548000.000,2567000.000
GrossProfit,4164000.000,3652000.000,2785000.000,2548000.000,2360000.000,2568000.000,2068000.000,2582000.000,4144000.000,4150000.000,3149000.000,3239000.000
IncreaseDecreaseInAccountsPayable,,,-689000.000,,,,398000.000,,,,-811000.000,
IncreaseDecreaseInAccountsReceivable,,,-173000.000,,,,-259000.000,,,,-917000.000,
IncreaseDecreaseInAccruedLiabilities,,,109000.000,,,,83000.000,,,,,
IncreaseDecreaseInInventories,,,162000.000,,,,56000.000,,,,420000.000,
IncreaseDecreaseInPrepaidExpense,,,-195000.000,,,,263000.000,,,,28000.000,
IncreaseDecreaseInRestrictedCash,,,,,,,62000.000,,,,-41000.000,
InterestExpense,,,,,,,,,,,376000.000,759000.000
InventoryWriteDown,,,,,,,20000.000,,,,,
LegalFees,,,,,,,100000.000,69000.000,,,,
LitigationSettlementGross,,,,,,,6000000.000,,,,,
NetCashProvidedByUsedInFinancingActivities,,,6000.000,,,,9000.000,,,,1814000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,6000.000,,,,9000.000,,,,1814000.000,
NetCashProvidedByUsedInInvestingActivities,,,5330000.000,,,,-458000.000,,,,-132000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,5330000.000,,,,-458000.000,,,,-132000.000,
NetCashProvidedByUsedInOperatingActivities,,,-5593000.000,,,,-6405000.000,,,,-8765000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-5593000.000,,,,-6405000.000,,,,-8765000.000,
NetIncomeLoss,-4309000.000,-3327000.000,-5758000.000,-6293000.000,-5865000.000,-11972000.000,-7100000.000,-8531000.000,-7959000.000,-8436000.000,-9109000.000,-5867000.000
OperatingExpenses,8493000.000,6947000.000,8513000.000,8839000.000,8111000.000,14539000.000,9166000.000,11053000.000,11999000.000,12188000.000,11828000.000,11033000.000
OperatingIncomeLoss,-4329000.000,-3295000.000,-5728000.000,-6291000.000,-5751000.000,-11971000.000,-7098000.000,-8471000.000,-7855000.000,-8038000.000,-8679000.000,-7794000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,0.000,1000.000,,-1000.000,1000.000,-1000.000,2000.000,-1000.000,-1000.000
OtherComprehensiveIncomeLossNetOfTax,,,,-6293000.000,-5864000.000,,,,,,,
OtherNonoperatingIncomeExpense,20000.000,-32000.000,-30000.000,-2000.000,-114000.000,-1000.000,-2000.000,-60000.000,-104000.000,182000.000,-2000.000,10000.000
PaymentsForMergerRelatedCosts,,,,,,,1200000.000,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,697000.000,,,,396000.000,,,,173000.000,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,1814000.000,
ProceedsFromIssuanceOfPrivatePlacement,,,,,,,17200000.000,,,,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,,,,,0.000,,,,,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,,,6027000.000,,,,,,,,,
ProceedsFromStockOptionsExercised,,,6000.000,,,,9000.000,,,,0.000,
ProvisionForDoubtfulAccounts,,,-41000.000,,,,11000.000,,,,-5000.000,
ResearchAndDevelopmentExpense,1212000.000,1047000.000,1333000.000,1244000.000,1361000.000,1519000.000,1285000.000,1509000.000,1904000.000,2221000.000,1987000.000,2465000.000
Revenues,5337000.000,4696000.000,3782000.000,3460000.000,3198000.000,,3099000.000,3877000.000,5650000.000,5956000.000,4412000.000,4656000.000
SalesRevenueNet,5337000.000,4696000.000,3782000.000,3460000.000,3198000.000,,3099000.000,3877000.000,5650000.000,5956000.000,4412000.000,4656000.000
SellingAndMarketingExpense,5671000.000,4602000.000,5299000.000,5371000.000,4453000.000,4926000.000,4927000.000,6032000.000,6764000.000,7592000.000,7274000.000,6001000.000
ShareBasedCompensation,,,331000.000,,,,317000.000,,,,385000.000,300000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,,,,,,,,0.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,0.796,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,,,,,,,0.016,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,,,,,,,,,,42564.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,,,,,,197060.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,,,,,,,122000.000,
StockIssuedDuringPeriodSharesNewIssues,,,,,,,7522009.000,,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,,,,,,0.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,27255.000,27275000.000,,27317000.000,33408.000,45198000.000,-34653408.000,47058000.000,48520000.000
WeightedAverageNumberOfSharesOutstandingBasic,20915000.000,,,,,,,,,,,
