,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,15000.000,,18000.000,,,,-24000.000,,,,-31000.000,,,,-67000.000,,
AdjustmentForAmortization,,,,,,,,,,,,,1100000.000,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,9000.000,,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,17000.000,,,,282000.000,,,,156000.000,,
AllowanceForLoanAndLeaseLossesPeriodIncreaseDecrease,,,,,,,,,,,,,300000.000,,,,0.000,,
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,,400000.000,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,,85000.000,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,190000.000,,,,161000.000,,,,148000.000,,,,59000.000,,
AmortizationOfDebtDiscountPremium,,,18000.000,,19000.000,,,,0.000,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,507842.000,426981.000,0.000,32070.000,-376617.000,70620.000,70620.000,61620.000,-127640.000,75220.000,26570.000,0.000,,,0.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,38000.000,,,,11000.000,,,,7000.000,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,553000.000,,,,54000.000,,,,15000.000,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,515000.000,,,,43000.000,,,,8000.000,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,1697000.000,,,,1903000.000,,,,1518000.000,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,350000.000,,,,28000.000,,,,15000.000,,
BusinessCombinationIntegrationRelatedCosts,,,,,,,,,,,,,,,,,,585000.000,154000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,7919000.000,,63757000.000,,,,-15383000.000,,,,12950000.000,,,,16928000.000,,
ComprehensiveIncomeNetOfTax,279000.000,896000.000,1582000.000,1941000.000,1714000.000,564000.000,1245000.000,-641000.000,535000.000,954000.000,870000.000,1507000.000,1727000.000,1326000.000,1571000.000,714000.000,1383000.000,1362000.000,1421000.000
DeferredIncomeTaxExpenseBenefit,,,-202000.000,,-341000.000,,,,-269000.000,,,,-75000.000,,,,-100000.000,,
