,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,3961000.000,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,16302000.000,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,,3644000.000,,,,9982000.000,,,,18491000.000,,,,3551000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,50814.000,38083.000,,136513.000,234323.000,291517.000,-424143.000,357333.000,599630.000,675216.000,-1092497.000,1012919.000,1886.000,1727.000,506468.000,2135196.000,2650893.000,2371794.000
AssetImpairmentCharges,,,,,,,1106715000.000,,,,,,,,,,,2897928000.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-200740000.000,,,,9770000.000,,,,119190000.000,,,,143897000.000,,,,-33826000.000,,
CommonStockDividendsPerShareCashPaid,0.125,,,,0.125,,,,0.125,,,,0.010,,0.010,,0.000,0.000,0.000
CommonStockDividendsPerShareDeclared,0.125,0.125,0.125,,0.125,0.125,0.125,,0.125,0.125,0.010,,0.010,0.010,,,,,
ComprehensiveIncomeNetOfTax,,94600000.000,82000000.000,,45281000.000,30637000.000,-1054336000.000,-123331000.000,-59644000.000,-30770000.000,-81505000.000,-78492000.000,-84816000.000,-136629000.000,-117597000.000,-187316000.000,-94822000.000,-2429944000.000,-168558000.000
ContractualInterestExpenseOnPrepetitionLiabilitiesNotRecognizedInStatementOfOperations,,,,,,,,,,,,,,,,,,,69200000.000
CostOfCoalProductsAndServices,,,,,,,,,,,,,,,297925000.000,,284693000.000,225867000.000,216647000.000
CostsAndExpenses,288967000.000,619351000.000,541419000.000,563018000.000,547487000.000,609601000.000,1683739000.000,572194000.000,554963000.000,472049000.000,514877000.000,489707000.000,460947000.000,477790000.000,384379000.000,391165000.000,377269000.000,3218281000.000,290916000.000
DebtorReorganizationItemsLegalAndAdvisoryProfessionalFees,,,,,,,,,,,,,,,,,,,17722000.000
DebtorReorganizationItemsOtherExpenseIncome,,,,,,,,,,,,,,,,,,,-705000.000
DeferredIncomeTaxExpenseBenefit,,,,,-10894000.000,,,,-61941000.000,,,,-33369000.000,,,,-25596000.000,,
