,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,-1504000.000,,-2720000.000,,,,-1490000.000,,-1193000.000,,,,-695000.000,,,,-715000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,428000.000,,439000.000,,,,597000.000,,353000.000,,,,784000.000,,,,1559000.000
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,5347000.000,,13862000.000,,,,4982000.000,,5340000.000,,,,6187000.000,,,,6246000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,186000.000,465000.000,,91000.000,1051000.000,123000.000,134000.000,106000.000,158000.000,139000.000,260000.000,379000.000,235000.000,359000.000
AllowanceForLoanAndLeaseLossesPeriodIncreaseDecrease,,,690000000.000,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,0.000,0.000,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,578000.000,579000.000,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,-483000.000,1206000.000,369000.000,1296000.000,1181000.000,2751000.000,269000.000,708000.000,995000.000,228000.000,1242000.000,465000.000,297000.000,773000.000,520000.000,503000.000
AllowanceForLoanAndLeaseLossesWriteoffsNet,,,,,,,,,-782000.000,,,,,,,,,
AmortizationOfIntangibleAssets,,13000.000,,12000.000,,,,0.000,,,,,,,,,,
AmortizationOfMortgageServicingRightsMSRs,,170000.000,,168000.000,,,,130000.000,,142000.000,,,,145000.000,,,,158000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,0.000,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,2280000.000,,723000.000,,,,315000.000,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,6559000.000,,1082000.000,,,,429000.000,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,4279000.000,,359000.000,,,,114000.000,,,,
