,2011-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,4110.000
GainsLossesOnSalesOfAssets,-46574.000
GeneralAndAdministrativeExpense,35353.000
IncomeLossFromContinuingOperations,-46574.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-46574.000
IncreaseDecreaseInAccountsAndOtherReceivables,8184.000
IncreaseDecreaseInNotesPayableRelatedParties,22500.000
InterestExpense,660.000
LeaseAndRentalExpense,6878.000
LegalFees,3683.000
NetCashProvidedByUsedInFinancingActivities,20000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,20000.000
NetIncomeLoss,-660.000
OperatingCostsAndExpenses,45914.000
OperatingIncomeLoss,-15890.000
OriginationOfNotesReceivableFromRelatedParties,22500.000
ProceedsFromRepaymentsOfRelatedPartyDebt,20000.000
WeightedAverageNumberOfDilutedSharesOutstanding,-0.020
WeightedAverageNumberOfSharesCommonStockSubjectToRepurchaseOrCancellation,2963000.000
