,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableAndOtherAccruedLiabilitiesCurrent,60360000.000,81781000.000,81146000.000,99832000.000,129139000.000,150721000.000,165257000.000,159065000.000,147961000.000,125596000.000
AccountsReceivableNetCurrent,50028000.000,31986000.000,58258000.000,96938000.000,117713000.000,103811000.000,111312000.000,117469000.000,119161000.000,89461000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-931000.000,-1637000.000,-2609000.000,-786000.000,-2949000.000,22900000.000,6186000.000,4182000.000,10596000.000,22912000.000
AdditionalPaidInCapital,317482000.000,497556000.000,758518000.000,1274450000.000,1260616000.000,1267484000.000,1459923000.000,1465350000.000,1473244000.000,1467108000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,2700000.000,,,,3200000.000
AssetRetirementObligation,,76111000.000,,,,215146000.000,,,,148575000.000
AssetRetirementObligationsNoncurrent,44749000.000,76111000.000,117966000.000,145877000.000,153651000.000,215146000.000,177199000.000,184274000.000,186701000.000,148575000.000
Assets,2613080000.000,3378018000.000,4365618000.000,5173169000.000,5534512000.000,8228223000.000,8199553000.000,8104745000.000,7994979000.000,7705865000.000
AssetsCurrent,428678000.000,612404000.000,337186000.000,593047000.000,891342000.000,954367000.000,947085000.000,962936000.000,934216000.000,893016000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,55725000.000,61579000.000,70905000.000,61523000.000
BusinessCombinationAcquisitionOfLessThan100PercentNoncontrollingInterestFairValue,74460000.000,105258000.000,220459000.000,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,1155977000.000,1541503000.000,2550638000.000,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,15807000.000,27379000.000,32784000.000,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,33875000.000,38148000.000,40726000.000,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,240697000.000,341287000.000,442472000.000,,,,,,,
