,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,920000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,36020.000,3200.000
BenefitsLossesAndExpenses,50947000.000,97105000.000,78547000.000,77258000.000,65624000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-23235000.000,,
CededPremiumsWritten,1157000.000,1578000.000,1310000.000,1244000.000,1165000.000
ComprehensiveIncomeNetOfTax,,,-34209000.000,-33621000.000,-31392000.000
DeferredIncomeTaxExpenseBenefit,0.000,,,,
Depreciation,,,219000.000,,
DirectPremiumsWritten,35982000.000,50270000.000,36149000.000,37948000.000,26653000.000
EarningsPerShareBasicAndDiluted,-0.290,-2.460,-2.470,-2.050,-2.170
ExtraordinaryItemGainOrLossNetOfTaxAttributableToReportingEntity,,0.000,,,
GainLossOnSaleOfInvestments,,,-173000.000,,
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,-37529000.000,,,
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerDilutedShare,,-2.460,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-4398000.000,-38663000.000,-37725000.000,-31304000.000,-33335000.000
IncomeLossFromExtraordinaryItemsNetOfTaxPerDilutedShare,,0.000,,,
IncomeTaxExpenseBenefit,,-1134000.000,0.000,0.000,0.000
IncomeTaxesPaid,,,0.000,,
IncreaseDecreaseInAccruedInvestmentIncomeReceivable,,,-542000.000,,
IncreaseDecreaseInAccruedLiabilities,,,1558000.000,,
IncreaseDecreaseInIncomeTaxesReceivable,,,0.000,,
IncreaseDecreaseInLossAndLossAdjustmentExpenseReserve,,,-32376000.000,,
IncreaseDecreaseInOtherOperatingAssets,,,2641000.000,,
IncreaseDecreaseInReinsuranceRecoverable,,,3276000.000,,
IncreaseDecreaseInUnearnedPremiums,-569000.000,-1027000.000,302000.000,-56000.000,-1239000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,0.000,0.000
InterestExpense,4469000.000,4813000.000,-4981000.000,4938000.000,5147000.000
InterestPaid,,,0.000,,
NetCashProvidedByUsedInInvestingActivities,,,-5528000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-5528000.000,,
NetCashProvidedByUsedInOperatingActivities,,,-17707000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-17707000.000,,
NetIncomeLoss,-4398000.000,-37529000.000,-37725000.000,-31304000.000,-33335000.000
NetInvestmentIncome,8126000.000,7364000.000,6109000.000,5874000.000,5455000.000
OtherComprehensiveIncomeLossNetOfTax,,,,-2300000.000,1900000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,3516000.000,-2317000.000,1943000.000
OtherIncome,29000.000,10000.000,3000.000,2513000.000,4000.000
OtherNoncashIncomeExpense,,,4000.000,,
OtherUnderwritingExpense,5178000.000,4450000.000,-5584000.000,4136000.000,6451000.000
PaymentsForProceedsFromOtherInvestingActivities,,,-217000.000,,
PaymentsForProceedsFromShortTermInvestments,,,13970000.000,,
PaymentsToAcquireAvailableForSaleSecuritiesDebt,,,19837000.000,,
PolicyholderBenefitsAndClaimsIncurredNet,41300000.000,87842000.000,-67982000.000,68184000.000,54026000.000
PremiumsEarnedNetPropertyAndCasualty,35394000.000,49719000.000,34537000.000,36760000.000,26727000.000
PremiumsWrittenNet,34825000.000,48692000.000,34839000.000,36704000.000,25488000.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,,19581000.000,,
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,,,8481000.000,,
RealizedInvestmentGainsLosses,3000000.000,1349000.000,173000.000,807000.000,103000.000
Revenues,46549000.000,58442000.000,40822000.000,45954000.000,32289000.000
SalesRevenueNet,35394000.000,49719000.000,34537000.000,36760000.000,26727000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,,15258128.000,15292743.000,15328128.000
