,2012-03-31,2012-06-30,2012-09-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01
AmortizationOfFinancingCosts,1112000.000,,,1126000.000,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,939000.000,,,906000.000,,,,914000.000,,
AmortizationOfIntangibleAssets,,,,6500000.000,6500000.000,6500000.000,6500000.000,6400000.000,4300000.000,6400000.000,6300000.000,6200000.000,6300000.000,6200000.000,6200000.000,6200000.000,6200000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,211000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-6160000.000,,,-3462000.000,,,,-16710000.000,,,-1904000.000,,,,-3323000.000,,
ComprehensiveIncomeNetOfTax,-29916000.000,-6116000.000,12208000.000,-36734000.000,-12716000.000,8496000.000,6792000.000,-55400000.000,-392000.000,-230405000.000,-49760000.000,-6366000.000,-13718000.000,-6552000.000,-16977000.000,3132000.000,-3358000.000
CostOfGoodsAndServicesSold,171860000.000,233685000.000,243430000.000,164230000.000,242380000.000,257959000.000,223229000.000,162174000.000,247862000.000,279131000.000,178463000.000,250234000.000,258083000.000,221995000.000,183228000.000,237784000.000,244743000.000
DeferredIncomeTaxExpenseBenefit,-1147000.000,,,946000.000,,,,1634000.000,,,727000.000,,,,767000.000,,
DepreciationDepletionAndAmortization,13124000.000,,,10883000.000,,,,10578000.000,,,9879000.000,,,,9806000.000,,
EffectOfExchangeRateOnCashAndCashEquivalents,101000.000,,,-47000.000,,,,-500000.000,,,9000.000,,,,29000.000,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,0.430,,-0.032,-0.142,0.112,-0.014,-0.767,-0.685,1.452,-0.042,0.494,1.065
ForeignCurrencyTransactionGainLossBeforeTax,-38000.000,-199000.000,17000.000,-253000.000,-178000.000,-124000.000,-199000.000,-338000.000,-278000.000,-220000.000,-516000.000,-601000.000,-806000.000,45000.000,383000.000,-548000.000,-305000.000
GainLossOnSaleOfPropertyPlantEquipment,-22000.000,,,-32000.000,,,,-11000.000,,,0.000,,,,11000.000,,
GoodwillImpairmentLoss,,,,,,,,,,148504000.000,,,0.000,,,,
GoodwillTranslationAdjustments,,,,-2980000.000,,,,-4675000.000,,,-5459000.000,,,,5231000.000,,
GrossProfit,41094000.000,80706000.000,81604000.000,44754000.000,82195000.000,81946000.000,72905000.000,34415000.000,72013000.000,74611000.000,41903000.000,81015000.000,81704000.000,71572000.000,53053000.000,86005000.000,87739000.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,,,,,,,89687000.000,,,0.000,,,,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,0.000,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-37101000.000,2040000.000,3085000.000,-31175000.000,-1177000.000,4379000.000,-3013000.000,-44908000.000,-9290000.000,-246803000.000,-37789000.000,-2908000.000,-3088000.000,-7020000.000,-26880000.000,3335000.000,2814000.000
IncomeLossFromEquityMethodInvestments,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IncomeTaxExpenseBenefit,769000.000,1667000.000,2555000.000,169000.000,1962000.000,1884000.000,-1508000.000,1441000.000,1318000.000,-27627000.000,533000.000,2230000.000,2116000.000,-5572000.000,1132000.000,1649000.000,2996000.000
IncomeTaxesPaid,6856000.000,,,2800000.000,,,,41000.000,,,44000.000,,,,3000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,58877000.000,,,63227000.000,,,,27491000.000,,,20729000.000,,,,13296000.000,,
IncreaseDecreaseInAccountsReceivable,-2858000.000,,,-446000.000,,,,-5962000.000,,,2141000.000,,,,3640000.000,,
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,,,,,,,,,,,-164000.000,,,,350000.000,,
IncreaseDecreaseInInventories,36335000.000,,,52422000.000,,,,43320000.000,,,17839000.000,,,,7869000.000,,
IncreaseDecreaseInOtherOperatingCapitalNet,935000.000,,,4473000.000,,,,4667000.000,,,1242000.000,,,,1554000.000,,
InterestIncomeExpenseNet,-18687000.000,-18925000.000,-19085000.000,-18841000.000,-20391000.000,-20328000.000,-20191000.000,-20320000.000,-20759000.000,-20749000.000,-20706000.000,-21156000.000,-20808000.000,-20824000.000,-20883000.000,-21618000.000,-21386000.000
InterestPaid,1152000.000,,,982000.000,,,,311000.000,,,952000.000,,,,1080000.000,,
NetCashProvidedByUsedInFinancingActivities,-1407000.000,,,12294000.000,,,,34604000.000,,,30821000.000,,,,13765000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1407000.000,,,12294000.000,,,,34604000.000,,,30821000.000,,,,13765000.000,,
NetCashProvidedByUsedInInvestingActivities,-734000.000,,,-1708000.000,,,,-3619000.000,,,-6063000.000,,,,-1889000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-734000.000,,,-1708000.000,,,,-3619000.000,,,-6063000.000,,,,-1889000.000,,
NetCashProvidedByUsedInOperatingActivities,-4120000.000,,,-14001000.000,,,,-47195000.000,,,-26671000.000,,,,-15228000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-4120000.000,,,-14001000.000,,,,-47195000.000,,,-26671000.000,,,,-15228000.000,,
NetIncomeLoss,-37870000.000,373000.000,530000.000,-31344000.000,-3139000.000,2495000.000,-1505000.000,-46349000.000,-10608000.000,-219176000.000,-38322000.000,-5138000.000,-5204000.000,-1448000.000,-28012000.000,1686000.000,-182000.000
NumberOfOperatingSegments,,,,,,,,,,,1.000,,,,1.000,,
NumberOfReportableSegments,,,,,,,,,,,1.000,,,,1.000,,
OperatingIncomeLoss,-18376000.000,21164000.000,22153000.000,-12081000.000,19392000.000,24831000.000,17377000.000,-24250000.000,11747000.000,-225834000.000,-16567000.000,18849000.000,18526000.000,13759000.000,-6380000.000,25501000.000,24505000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,,,,-153000.000,-152000.000,-173000.000,-19296000.000,-3000.000,-5000.000,-3000.000,-148000.000,-151000.000,-145000.000,-4436000.000,-17000.000,-17000.000,-17000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-7954000.000,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,-5543000.000,-9729000.000,5828000.000,,-9054000.000,10211000.000,-11232000.000,-11586000.000,-1379000.000,-8659000.000,,11018000.000,1429000.000,-3193000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,-5543000.000,,5828000.000,,-9054000.000,,,-11586000.000,,,,11018000.000,,
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax,,,,,,5000.000,,,,,,,,,,,
OtherComprehensiveIncomeLossAmortizationPensionAndOtherPostretirementBenefitPlansNetPriorServiceCostRecognizedInNetPeriodicBenefitCostBeforeTax,,,,5000.000,5000.000,,,,,,,,,,,,
OtherComprehensiveIncomeLossBeforeReclassificationsTax,,,,,,,,,,,,,,,0.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,-6513000.000,11662000.000,-5543000.000,-9729000.000,5828000.000,-10999000.000,-9054000.000,10211000.000,-11232000.000,-11586000.000,-1379000.000,-8659000.000,-9540000.000,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,,,,,,0.000,,0.000,,,0.000,,,,0.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentRealizedUponSaleOrLiquidationNetOfTax,,,,0.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,-24000.000,-16000.000,0.000,,0.000,,0.000,,,0.000,,,,0.000,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,,,,,,-202000.000,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansNetOfTax,,,,,,,,,,,148000.000,,,,17000.000,,
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostBeforeTax,,,,-184000.000,-182000.000,,,,,,,,,,,,
OtherNoncashIncomeExpense,,,,44000.000,,,,277000.000,,,,,,,,,
OtherOperatingIncome,,,,,,,,,,,,,,,,732000.000,158000.000
PaymentsForRestructuring,,,,,,,,,,,,,0.000,,,,
PaymentsOfFinancingCosts,,,,,,,,,,,,,,,1624000.000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,348000.000,,,,0.000,,,,,,,,,
PaymentsToAcquireProductiveAssets,738000.000,,,1361000.000,,,,3619000.000,,,6069000.000,,,,1975000.000,,
ProceedsFromContributionsFromAffiliates,80000.000,,,0.000,,,,,,,,,,,,,
ProceedsFromLinesOfCredit,,,,44672000.000,,,,37508000.000,,,44570000.000,,,,38789000.000,,
ProceedsFromNotesPayable,,,,,,,,,,,,,,,27500000.000,,
ProceedsFromRepaymentsOfLinesOfCredit,-1487000.000,,,,,,,,,,,,,,,,
ProceedsFromSaleOfOtherAssets,4000.000,,,,,,,,,,,,,,,,
ProceedsFromSaleOfProductiveAssets,,,,1000.000,,,,,,,,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,,,6000.000,,,,86000.000,,
ProductWarrantyAccrualCurrencyTranslationIncreaseDecrease,,-276000.000,499000.000,-254000.000,-444000.000,261000.000,-484000.000,-388000.000,434000.000,-537000.000,-616000.000,-67000.000,-449000.000,-481000.000,566000.000,73000.000,-158000.000
ProductWarrantyAccrualPayments,,1892000.000,2297000.000,1725000.000,2033000.000,1967000.000,1658000.000,1460000.000,1728000.000,1885000.000,1328000.000,1735000.000,1689000.000,1750000.000,1503000.000,1708000.000,1739000.000
ProductWarrantyExpense,,,3035000.000,1519000.000,1851000.000,1785000.000,-1115000.000,1279000.000,1547000.000,2104000.000,1250000.000,1457000.000,1513000.000,-933000.000,1327000.000,1530000.000,1556000.000
ProvisionForDoubtfulAccounts,974000.000,,,1109000.000,,,,483000.000,,,771000.000,,,,682000.000,,
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,,,,,,,,,,,,,,,,,17000.000
ReclassificationFromAociCurrentPeriodTax,,,,,,,,,,,,,,,14000.000,,
RepaymentsOfLinesOfCredit,,,,32378000.000,,,,2904000.000,,,13749000.000,,,,50900000.000,,
RestructuringCharges,,,,,,,,-331000.000,0.000,0.000,,,1787000.000,,,74000.000,0.000
Revenues,212954000.000,314391000.000,325034000.000,208984000.000,324575000.000,339905000.000,296134000.000,196589000.000,319875000.000,353742000.000,220366000.000,331249000.000,339787000.000,293567000.000,236281000.000,324521000.000,332640000.000
SalesRevenueNet,212954000.000,314391000.000,325034000.000,208984000.000,324575000.000,339905000.000,296134000.000,196589000.000,319875000.000,353742000.000,220366000.000,331249000.000,339787000.000,293567000.000,236281000.000,323789000.000,332482000.000
SellingGeneralAndAdministrativeExpense,59470000.000,59542000.000,59451000.000,56835000.000,62803000.000,57115000.000,55528000.000,58996000.000,60266000.000,62254000.000,58470000.000,62166000.000,61391000.000,57763000.000,59433000.000,61162000.000,63392000.000
ShareBasedCompensation,,,,,,,,,,,25000.000,,,,43000.000,,
