,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,10000.000,415000.000,1849000.000,5924000.000,15389000.000,19778000.000,27061000.000,101917000.000,105586000.000,97872000.000,99600000.000,105145000.000,102882000.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,201000.000,,,,,,,,,,,
AccountsReceivableNet,,1978000.000,2420000.000,40314000.000,3869000.000,6100000.000,7662000.000,120970000.000,129975000.000,120892000.000,118865000.000,127684000.000,109408000.000
AccruedInsuranceCurrentAndNoncurrent,,,,,,,,21689000.000,22660000.000,20575000.000,17277000.000,19136000.000,22790000.000
AccumulatedAmortizationDeferredFinanceCosts,,,21000.000,87000.000,172000.000,266000.000,380000.000,714000.000,805000.000,1709000.000,2611000.000,3519000.000,4439000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,-160000.000,-506000.000,-1007000.000,-1995000.000,-2422000.000,-3029000.000,
AdditionalPaidInCapital,215000.000,40354000.000,187163000.000,821043000.000,1673070000.000,1688680000.000,1703080000.000,1718423000.000,1732179000.000,1744940000.000,1752386000.000,1754160000.000,1762412000.000
AllowanceForDoubtfulAccountsReceivable,,,,,42000.000,42000.000,76000.000,8021000.000,10355000.000,10720000.000,10409000.000,9597000.000,9530000.000
Assets,355000.000,40995000.000,187039000.000,831684000.000,1676618000.000,1685272000.000,1708624000.000,2526219000.000,2569708000.000,2761744000.000,2810140000.000,2794518000.000,2802668000.000
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,225000.000,1396000.000,7345000.000,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,598000.000,1393000.000,1393000.000,5264000.000,5280000.000,5309000.000,5912000.000,5196000.000,5820000.000,16559000.000,8992000.000,8993000.000
CapitalLeaseObligations,,,,,,,,47158000.000,45901000.000,44627000.000,44940000.000,45295000.000,20080000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,26179000.000,,,,23280000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,8864000.000,,,,9796000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,1180000.000,,,,661000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,2660000.000,,,,2002000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,5239000.000,,,,3987000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,8236000.000,,,,6834000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,,3521000.000,,,,2484000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,,22658000.000,,,,20796000.000,
Cash,202000.000,32361000.000,141159000.000,504894000.000,1026387000.000,728026000.000,587294000.000,,,,,,
CashAndCashEquivalentsAtCarryingValue,,32361000.000,141159000.000,504894000.000,1026387000.000,728026000.000,587294000.000,48953000.000,43197000.000,119627000.000,37147000.000,29123000.000,29085000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000
CommonStockSharesIssued,22222.000,4586312.000,21048223.000,91623241.000,186324917.000,187987190.000,189519428.000,191135158.000,192581701.000,193931460.000,194725178.000,195780039.000,196718030.000
CommonStockSharesOutstanding,22222.000,4586312.000,21048223.000,91623241.000,186324917.000,187987190.000,189519428.000,191135158.000,192581701.000,193931460.000,194725178.000,195780039.000,196718030.000
CommonStockValue,0.000,46000.000,210000.000,916000.000,1863000.000,1879000.000,1895000.000,1911000.000,1926000.000,1939000.000,1947000.000,1957000.000,1967000.000
DebtInstrumentCarryingAmount,,,,,,52098000.000,99795000.000,312240000.000,327020000.000,420512000.000,502222000.000,517057000.000,506813000.000
DebtInstrumentUnamortizedDiscount,,,,,,,-510000.000,17686000.000,17414000.000,17173000.000,16915000.000,19157000.000,18458000.000
DebtInstrumentUnamortizedPremium,,,,595000.000,543000.000,1916000.000,2050000.000,1916000.000,2188000.000,2018000.000,1848000.000,1678000.000,1552000.000
DebtWeightedAverageInterestRate,,,,0.056,0.052,0.052,0.047,0.040,,,,,
DeferredCostsLeasingAccumulatedAmortization,,,,,,1000.000,7000.000,17000.000,32000.000,65000.000,115000.000,175000.000,250000.000
DeferredCostsLeasingNet,,,,,,103000.000,175000.000,309000.000,490000.000,3162000.000,3198000.000,3834000.000,4337000.000
DeferredFinanceCostsNet,,,715000.000,899000.000,963000.000,1286000.000,1751000.000,7544000.000,11632000.000,11377000.000,10488000.000,9624000.000,8878000.000
DeferredRentReceivablesNet,,1000.000,72000.000,240000.000,628000.000,1239000.000,2374000.000,3028000.000,2877000.000,4968000.000,9666000.000,11804000.000,13172000.000
DeferredRevenue,,,,,,,,15219000.000,,,,,
DeferredTaxAssetsEquityMethodInvestments,,,,,,,,,,,,1189000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,,7823000.000,8295000.000,8858000.000
DeferredTaxAssetsNet,,,,,,0.000,0.000,0.000,,,,8294000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,647000.000,3577000.000,557000.000,,,,6947000.000,
DeferredTaxAssetsTaxDeferredExpenseOther,,,,,,,,,,,,6586000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,,,,1050000.000,,,,2361000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,,,,,,2891000.000,
DeferredTaxAssetsValuationAllowance,,,,,,647000.000,3577000.000,7447000.000,,,,24695000.000,
