,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-03-31,2013-06-20,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,741000.000,494000.000,1000000.000,1156000.000,1953000.000,2543000.000,2256000.000,2642000.000,2005000.000,3009000.000,2944000.000
AccountsPayableCurrent,56687.000,101331.000,49981.000,63029.000,83905.000,28979.000,,6761.000,540435.000,718000.000,1302000.000,1102000.000,2129000.000,2364000.000,1741000.000,1552000.000,2623000.000,2673000.000,1789000.000,2400000.000,992000.000,1263000.000
AccruedInvestmentIncomeReceivable,,,,,,,,10959880.000,11959384.000,12420000.000,,,,,,,,,,,,
AccruedRoyaltiesCurrent,,,,,,,,,68555.000,65000.000,63000.000,61000.000,0.000,,,,,,,,,
AccruedRoyaltiesCurrentAndNoncurrent,,,,,,,,,81888.000,78000.000,76000.000,74000.000,13000.000,13000.000,13000.000,13000.000,127000.000,58000.000,,,,
AccumulatedCapitalizedInterestCosts,,,,1462472.000,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,336534.000,,377564.000,,532339.000,626771.000,728000.000,845000.000,1063000.000,-1311000.000,-1603000.000,-1973000.000,-2405000.000,2622000.000,3164000.000,3769000.000,4367000.000,4836000.000,5343000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,,,,97.000,,,,,21000.000,,,,77000.000,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-10921321.000,-11244500.000,-11632892.000,-15801522.000,-17466573.000,-21751045.000,,-29324203.000,-34483567.000,-39686000.000,-47838000.000,-56652000.000,,,,,,,69000.000,-9000.000,-204000.000,-137000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxDebtSecurities,,,,,,,,10907.000,21730.000,26000.000,28000.000,11000.000,7000.000,12000.000,3000.000,1000.000,12000.000,9000.000,,,,
AcquiredIndefiniteLivedIntangibleAssetAmount,,,,184262.000,,,,,,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,1519393.000,1535222.000,1594478.000,7924880.000,8093399.000,51805215.000,,74266169.000,75936969.000,78427000.000,126469000.000,128873000.000,131356000.000,133079000.000,135868000.000,137893000.000,243894000.000,245608000.000,248776000.000,252295000.000,255257000.000,261362000.000
AlternativeInvestmentsFairValueDisclosure,,,,4250000.000,,,,,,,,,,,,,,,,,,
Assets,6251615.000,6013388.000,5679051.000,17213742.000,15864157.000,31229045.000,,45932950.000,43430377.000,41417000.000,81804000.000,75153000.000,69801000.000,63337000.000,53347000.000,44755000.000,139324000.000,125648000.000,110515000.000,96632000.000,82852000.000,74404000.000
AssetsCurrent,1386739.000,1180291.000,868054.000,15042386.000,13968452.000,30142324.000,,44634032.000,42142935.000,39571000.000,79668000.000,72698000.000,67098000.000,59664000.000,49433000.000,40920000.000,134151000.000,120276000.000,105403000.000,91681000.000,78448000.000,70349000.000
AssetsFairValueDisclosure,,,,1486459.000,,,,,,,,,,,,,,,,,,
AssetsFairValueDisclosureRecurring,,,,,,,,,,,,,,,,,17060000.000,84399000.000,102438000.000,90153000.000,69489000.000,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,,,,,64849000.000,61424000.000,58595000.000,54095000.000
AvailableForSaleSecurities,,,,,,,,,,,,,,,,,,,64919000.000,61422000.000,58519000.000,54029000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,,,81000.000,31000.000,7000.000,1000.000
