,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,,,8600000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,159845155.000,,,,-18561298.000,,,,-31427923.000
ComprehensiveIncomeNetOfTax,,,,,,-28601985.000,-32690353.000,,-53184757.000
Depreciation,370570.000,,,,744058.000,,,,1031404.000
EarningsPerShareBasicAndDiluted,-0.580,-0.600,-0.700,-0.220,-0.950,-1.040,-1.070,-1.230,-1.700
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,6320.000
GeneralAndAdministrativeExpense,3684880.000,6333123.000,6461675.000,6872493.000,8873861.000,10676752.000,12049954.000,16469750.000,21413818.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,870391.000,,,,-1146536.000,,,,-2690064.000
IncreaseDecreaseInDeferredRevenue,-2274467.000,,,,-1288628.000,,,,-1274467.000
IncreaseDecreaseInOtherReceivables,,,,,-15726138.000,,,,-10700763.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,939021.000,,,,860829.000,,,,1969377.000
InterestExpense,,,,,,,6067.000,,
InvestmentIncomeInterest,11014.000,51624.000,54781.000,74614.000,260422.000,333544.000,574934.000,,585052.000
NetCashProvidedByUsedInFinancingActivities,170470842.000,,,,-461151.000,,,,3359346.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,170470842.000,,,,-461151.000,,,,3359346.000
NetCashProvidedByUsedInInvestingActivities,-1685771.000,,,,-10381816.000,,,,-1675530.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1685771.000,,,,-10381816.000,,,,-1675530.000
NetCashProvidedByUsedInOperatingActivities,-8939916.000,,,,-7718331.000,,,,-33118059.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-8939916.000,,,,-7718331.000,,,,-33118059.000
NetIncomeLoss,-9733507.000,-14336842.000,-16900560.000,-6154869.000,-25576711.000,-28676115.000,-32562407.000,-36837294.000,-52289332.000
NetIncomeLossAvailableToCommonStockholdersBasic,-10368301.000,-14336842.000,-16900560.000,-6154869.000,-25576711.000,-28676115.000,-32562407.000,-36837294.000,
OperatingExpenses,12018988.000,15677095.000,18258130.000,23427272.000,27125761.000,30298288.000,34434063.000,53723756.000,54148851.000
OperatingIncomeLoss,-9744521.000,-14388466.000,-16955341.000,-6229483.000,-25837133.000,-29009659.000,-33131274.000,-37420967.000,-52874384.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,-594717.000
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,,,,,,3253.000,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,-1003.000,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,,,-126943.000,,-300708.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,,,,,,70877.000,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,5907850.000,,,,0.000
PaymentsToAcquireMarketableSecurities,,,,,,,,,24225338.000
PaymentsToAcquirePropertyPlantAndEquipment,1685771.000,,,,4473966.000,,,,2230192.000
PreferredStockDividendsIncomeStatementImpact,634794.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
ProceedsFromIssuanceInitialPublicOffering,,,,,-657331.000,,,,
ProceedsFromIssuanceOfCommonStock,170470842.000,,,,,,,,0.000
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,,,,,,,24780000.000
ProceedsFromStockOptionsExercised,,,,,196180.000,,,,3433933.000
RepaymentsOfLongTermDebt,,,,,,,,,74587.000
ResearchAndDevelopmentExpense,8334108.000,9343972.000,11796455.000,,18251900.000,19621536.000,22384109.000,,32735033.000
ResearchAndDevelopmentInProcess,,,,,,,,,386784.000
Revenues,2274467.000,1288629.000,1302789.000,,1288628.000,1288629.000,1302789.000,,1274467.000
SalesRevenueNet,2274467.000,1288629.000,1302789.000,,1288628.000,1288629.000,1302789.000,,1274467.000
ShareBasedCompensation,2558091.000,,,,4865169.000,,,,9028829.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0.000,0.000,0.000,,0.000,0.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,0.753,0.763,0.768,,0.735,0.742,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0.017,0.017,0.017,,0.018,0.018,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,763450.000,,,,989050.000,,,,547700.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,40.270,,,,25.490,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,6.260,,,,16.090
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,,,,,33.700
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,60.150,,,,38.880,,,,56.430
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedNumberOfShares,,,,,,,,,114954.000
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,80100.000,,,,899333.000,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,31319.000,,,,213379.000
StockIssuedDuringPeriodValueIssuedForServices,193909.000,,,,,,,,
StockIssuedDuringPeriodValueNewIssues,168892493.000,,,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensation,2364182.000,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,17925296.000,24080420.000,24138020.000,-43433631.000,26807380.000,27456954.000,30368354.000,-55828555.000,30771867.000
