,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,37900000.000,28300000.000,26300000.000,20600000.000,17600000.000,17000000.000,38400000.000,35300000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,8600000.000,14000000.000,12000000.000,14600000.000,10800000.000,9400000.000,7600000.000,12300000.000
AccruedLiabilitiesCurrent,94800000.000,100500000.000,102200000.000,106400000.000,104200000.000,107800000.000,114400000.000,111700000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,416700000.000,452000000.000,482900000.000,510200000.000,539400000.000,573500000.000,528200000.000,560900000.000
AllowanceForDoubtfulAccountsReceivable,,,8800000.000,,,,6200000.000,
AllowanceForDoubtfulAccountsReceivableCurrent,9300000.000,9200000.000,8800000.000,8900000.000,5000000.000,5000000.000,6200000.000,6500000.000
Assets,3026400000.000,3035500000.000,2999100000.000,2999800000.000,2974900000.000,2990900000.000,2984200000.000,3006500000.000
AssetsCurrent,169300000.000,200600000.000,177100000.000,203500000.000,200000000.000,244400000.000,240300000.000,271600000.000
CashAndCashEquivalentsAtCarryingValue,109900000.000,119800000.000,98100000.000,119500000.000,124000000.000,159300000.000,164600000.000,182800000.000
CostMethodInvestments,23500000.000,24100000.000,26500000.000,27200000.000,26900000.000,28300000.000,29100000.000,28600000.000
CustomerAdvancesAndDepositsCurrent,26200000.000,29200000.000,32900000.000,36500000.000,31400000.000,34700000.000,38300000.000,36500000.000
DebtInstrumentCarryingAmount,2023300000.000,2015300000.000,2009000000.000,2005800000.000,2001900000.000,1997500000.000,1993500000.000,1990100000.000
DebtInstrumentFaceAmount,2101400000.000,2076600000.000,2070100000.000,2035800000.000,2016000000.000,2010600000.000,2006000000.000,2002300000.000
DeferredCreditsAndOtherLiabilitiesNoncurrent,5700000.000,5100000.000,4600000.000,3700000.000,2900000.000,1900000.000,1500000.000,1400000.000
DueToRelatedPartiesCurrent,14500000.000,24400000.000,12100000.000,18000000.000,15000000.000,15000000.000,22100000.000,28900000.000
