,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30
AccountsPayableAndAccruedLiabilitiesCurrent,27507.000,40650.000,61381.000,97711.000,
AccountsPayableCurrent,,,,,21535.000
AccountsReceivableNetCurrent,,,25.000,0.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,224.000,270.000,315.000,360.000,
AdditionalPaidInCapitalCommonStock,147206.000,154406.000,169596.000,174796.000,269149.000
Assets,18199.000,9117.000,5052.000,1460.000,5.000
AssetsCurrent,17527.000,8491.000,4471.000,924.000,
CashAndCashEquivalentsAtCarryingValue,17527.000,8491.000,4446.000,924.000,5.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,
CommonStockSharesIssued,6437500.000,6437500.000,6537500.000,6537500.000,
CommonStockSharesOutstanding,6437500.000,6437500.000,6537500.000,6537500.000,
CommonStockValue,644.000,644.000,654.000,654.000,1308.000
DeferredTaxAssetsGross,,62568.000,,,
DeferredTaxAssetsGrossCurrent,,0.000,,,
DeferredTaxAssetsNet,,0.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,62568.000,,,
DeferredTaxAssetsValuationAllowance,,62568.000,,,
DeferredTaxLiabilities,,0.000,,,
DueToRelatedPartiesCurrent,100.000,100.000,100.000,100.000,
Liabilities,27607.000,40750.000,61481.000,97811.000,
LiabilitiesAndStockholdersEquity,18199.000,9117.000,5052.000,1460.000,5.000
LiabilitiesCurrent,,,,,26535.000
LoansPayableCurrent,0.000,0.000,,,5000.000
MachineryAndEquipmentGross,896.000,896.000,896.000,896.000,
OperatingLossCarryforwards,,162297.000,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,
PreferredStockValue,0.000,0.000,0.000,0.000,
PropertyPlantAndEquipmentGross,896.000,896.000,896.000,896.000,
PropertyPlantAndEquipmentNet,672.000,626.000,581.000,536.000,
RetainedEarningsAccumulatedDeficit,-157258.000,-186683.000,-226679.000,-271801.000,-296987.000
SaleOfStockPricePerShare,,,0.100,0.100,
StockholdersEquity,-9408.000,-31633.000,-56429.000,-96351.000,-26530.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-9408.000,-31633.000,-56429.000,-96351.000,
