,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableCurrent,33714000.000,29705000.000,37857000.000,35413000.000,29709000.000,34773000.000,36846000.000,34417000.000,28115000.000
AccountsReceivableNetCurrent,74465000.000,68570000.000,76024000.000,76100000.000,64986000.000,77462000.000,77172000.000,71097000.000,68904000.000
AccruedIncomeTaxesCurrent,,,,792000.000,312000.000,1157000.000,985000.000,794000.000,2977000.000
AccruedIncomeTaxesPayable,4259000.000,2875000.000,2480000.000,,,,,,
AccruedLiabilitiesCurrent,44040000.000,43560000.000,36451000.000,41149000.000,36717000.000,36442000.000,33459000.000,33896000.000,39763000.000
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,,,,1770000.000,4232000.000,4878000.000,5540000.000,6217000.000,6361000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,12308000.000,12308000.000,18153000.000,23942000.000,26515000.000,29237000.000,30199000.000,32784000.000,35232000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,861000.000,-2281000.000,-2000.000,-156000.000,-1743000.000,-338000.000,-7406000.000,-6109000.000,-3849000.000
AdditionalPaidInCapital,176448000.000,177790000.000,83981000.000,84847000.000,85492000.000,85798000.000,86056000.000,86483000.000,86763000.000
AllowanceForDoubtfulAccountsReceivable,,,,,910000.000,,,,823000.000
AllowanceForDoubtfulAccountsReceivableCurrent,600000.000,600000.000,670000.000,670000.000,910000.000,867000.000,738000.000,785000.000,823000.000
Assets,621119000.000,610705000.000,630155000.000,642309000.000,628739000.000,644322000.000,633236000.000,649586000.000,636246000.000
AssetsCurrent,215412000.000,200232000.000,215052000.000,227841000.000,212889000.000,234667000.000,246848000.000,262575000.000,213037000.000
AssetsHeldForSaleCurrent,,,,,,2293000.000,11430000.000,11574000.000,1500000.000
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,1.000,,,,,
CapitalLeasedAssetsGross,,,,,6769000.000,,,,4703000.000
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,3337000.000,,,,1639000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,4073000.000,,,,2363000.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,1782000.000,,,,1388000.000
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,25000.000,,,,2000.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,172000.000,,,,32000.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,694000.000,,,,187000.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,1400000.000,,,,754000.000
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,0.000,,,,0.000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,353000.000,,,,136000.000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,3720000.000,,,,2227000.000
CashAndCashEquivalentsAtCarryingValue,17619000.000,20856000.000,23625000.000,32616000.000,32379000.000,38276000.000,40114000.000,59291000.000,30610000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesIssued,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesOutstanding,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockValue,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DebtAndCapitalLeaseObligations,,,,360053000.000,359083000.000,358721000.000,358552000.000,358502000.000,348036000.000
DebtCurrent,,1715000.000,,,,,,,
DeferredFinanceCostsNoncurrentGross,,,,17888000.000,19718000.000,19718000.000,19718000.000,19718000.000,18205000.000
DeferredFinanceCostsNoncurrentNet,13900000.000,13416000.000,17290000.000,16118000.000,15486000.000,14840000.000,14178000.000,13501000.000,11844000.000
DeferredIncomeTaxLiabilities,,,,,130278000.000,,,,129644000.000
DeferredTaxAssetsGross,,,,,56760000.000,,,,46214000.000
DeferredTaxAssetsNet,,,,,47978000.000,,,,44245000.000
DeferredTaxAssetsNetCurrent,2644000.000,2823000.000,2823000.000,2823000.000,2423000.000,2423000.000,2423000.000,2423000.000,2011000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,47070000.000,,,,41136000.000
DeferredTaxAssetsOther,,,,,2970000.000,,,,133000.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsOther,,,,,2798000.000,,,,2215000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,3922000.000,,,,2730000.000
DeferredTaxAssetsValuationAllowance,,,,,8782000.000,,,,1969000.000
DeferredTaxLiabilities,,,,,82300000.000,,,,85399000.000
DeferredTaxLiabilitiesCurrent,6014000.000,3584000.000,3584000.000,3584000.000,4436000.000,4436000.000,4436000.000,4436000.000,7115000.000
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts,,,,,7185000.000,,,,8088000.000
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,45694000.000,,,,48355000.000
DeferredTaxLiabilitiesInvestmentInNoncontrolledAffiliates,,,,,69919000.000,,,,66786000.000
DeferredTaxLiabilitiesNoncurrent,74251000.000,78927000.000,81405000.000,81949000.000,80767000.000,82053000.000,78618000.000,77857000.000,80718000.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,7480000.000,,,,6415000.000
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,,23900000.000,,,,21140000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,4643000.000,,,,4254000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,11577000.000,13258000.000,14903000.000,16546000.000,18188000.000,20068000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,6600000.000,,,,7812000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,6600000.000,,,,7812000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,6600000.000,,,,7812000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,6600000.000,,,,7812000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,6600000.000,,,,7812000.000
FiniteLivedIntangibleAssetsGross,,,,,130705000.000,130785000.000,130916000.000,131072000.000,153360000.000
FiniteLivedIntangibleAssetsNet,,,,,117447000.000,115882000.000,114370000.000,112884000.000,133292000.000
Goodwill,165243000.000,182429000.000,183927000.000,188369000.000,187123000.000,187202000.000,181322000.000,183936000.000,195743000.000
IntangibleAssetsNetExcludingGoodwill,150375000.000,140265000.000,138786000.000,136013000.000,136788000.000,135223000.000,133711000.000,132225000.000,152633000.000
InterestAndDividendsPayableCurrent,6935000.000,1081000.000,9581000.000,9667000.000,1479000.000,9581000.000,1477000.000,9577000.000,1389000.000
InventoryFinishedGoods,,,,66797000.000,60911000.000,60890000.000,63456000.000,67508000.000,60699000.000
InventoryGross,,,,106442000.000,100022000.000,98699000.000,100773000.000,103725000.000,94951000.000
InventoryLIFOReserve,,,,2818000.000,-587000.000,-294000.000,-863000.000,-1252000.000,-2032000.000
InventoryNet,106055000.000,96011000.000,100767000.000,103624000.000,100609000.000,98993000.000,101636000.000,104977000.000,96983000.000
InventoryRawMaterials,,,,35401000.000,34919000.000,33496000.000,33139000.000,32816000.000,30004000.000
InventoryWorkInProcess,,,,4244000.000,4192000.000,4313000.000,4178000.000,3401000.000,4248000.000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,0.000,0.000,0.000,0.000,0.000,0.000
LIFOInventoryAmount,,,,73822000.000,76819000.000,73268000.000,72620000.000,76081000.000,70109000.000
Liabilities,447115000.000,443135000.000,548903000.000,548986000.000,531304000.000,544467000.000,530436000.000,534731000.000,517319000.000
LiabilitiesAndStockholdersEquity,621119000.000,610705000.000,630155000.000,642309000.000,628739000.000,644322000.000,633236000.000,649586000.000,636246000.000
LiabilitiesCurrent,96576000.000,82520000.000,91657000.000,92241000.000,74216000.000,87779000.000,78522000.000,84439000.000,102979000.000
LinesOfCreditCurrent,,,,,,,,,22336000.000
